,Player,Profile,Time,Event
0,atpqp,Profile-Visual+Weste+Thermal+Sound,2022-12-16 13:36:52.913772,hp 460
1,atpqp,Profile-Visual+Weste+Thermal+Sound,2022-12-16 13:36:52.914769,armor 73
2,atpqp,Profile-Visual+Weste+Thermal+Sound,2022-12-16 13:36:52.922748,hp 460
3,atpqp,Profile-Visual+Weste+Thermal+Sound,2022-12-16 13:36:52.924742,armor 73
4,atpqp,Profile-Visual+Weste+Thermal+Sound,2022-12-16 13:36:52.932722,hp 460
5,atpqp,Profile-Visual+Weste+Thermal+Sound,2022-12-16 13:36:52.934716,armor 73
6,atpqp,Profile-Visual+Weste+Thermal+Sound,2022-12-16 13:36:52.939703,hp 460
7,atpqp,Profile-Visual+Weste+Thermal+Sound,2022-12-16 13:36:52.942695,armor 73
8,atpqp,Profile-Visual+Weste+Thermal+Sound,2022-12-16 13:36:54.747118,hp 460
9,atpqp,Profile-Visual+Weste+Thermal+Sound,2022-12-16 13:36:54.749112,armor 71
10,atpqp,Profile-Visual+Weste+Thermal+Sound,2022-12-16 13:36:54.756094,shielded hit
11,atpqp,Profile-Visual+Weste+Thermal+Sound,2022-12-16 13:36:54.763074,hp 460
12,atpqp,Profile-Visual+Weste+Thermal+Sound,2022-12-16 13:36:54.767064,armor 71
13,atpqp,Profile-Visual+Weste+Thermal+Sound,2022-12-16 13:36:54.770057,hp 460
14,atpqp,Profile-Visual+Weste+Thermal+Sound,2022-12-16 13:36:54.774045,armor 71
15,atpqp,Profile-Visual+Weste+Thermal+Sound,2022-12-16 13:36:54.777038,health_subtracted 0
16,atpqp,Profile-Visual+Weste+Thermal+Sound,2022-12-16 13:36:55.494404,stance_crouched 0
17,atpqp,Profile-Visual+Weste+Thermal+Sound,2022-12-16 13:36:56.074363,stance_crouched 0
18,atpqp,Profile-Visual+Weste+Thermal+Sound,2022-12-16 13:36:56.346634,weapon_fired 0
19,atpqp,Profile-Visual+Weste+Thermal+Sound,2022-12-16 13:36:56.505717,hp 460
20,atpqp,Profile-Visual+Weste+Thermal+Sound,2022-12-16 13:36:56.508709,armor 51
21,atpqp,Profile-Visual+Weste+Thermal+Sound,2022-12-16 13:36:56.511701,shielded hit
22,atpqp,Profile-Visual+Weste+Thermal+Sound,2022-12-16 13:36:56.521674,hp 460
23,atpqp,Profile-Visual+Weste+Thermal+Sound,2022-12-16 13:36:56.523668,armor 51
