,Player,Profile,Time,Event
0,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:34:44.250799,stance_crouched 0
1,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:34:45.471390,activate_objective Inspect_the_second_floor
2,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:34:47.380486,stance_crouched 0
3,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:00.349200,killed an enemy
4,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:00.353190,weapon_fired 1
5,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:00.429496,weapon_fired 0
6,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:00.517260,weapon_fired 0
7,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:00.582087,weapon_fired 0
8,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:00.645917,weapon_fired 0
9,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:06.073925,complete_objective Inspect_the_second_floor
10,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:07.082375,activate_objective Cut_a_hole_in_the_floor
11,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:12.886878,complete_objective Cut_a_hole_in_the_floor
12,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:13.849079,activate_objective Defend_the_cutter
13,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:17.462424,stance_crouched 0
14,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:17.723235,killed an enemy
15,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:17.726227,weapon_fired 1
16,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:17.808008,weapon_fired 0
17,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:17.872834,weapon_fired 0
18,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:17.944642,weapon_fired 0
19,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:18.002487,weapon_fired 0
20,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:18.082274,weapon_fired 0
21,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:18.159069,hp 460
22,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:18.161064,armor 91
23,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:18.164057,enemy_headshot
24,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:18.167048,killed an enemy
25,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:18.170039,weapon_fired 1
26,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:18.229880,weapon_fired 0
27,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:18.307671,weapon_fired 0
28,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:18.383469,weapon_fired 0
29,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:18.444306,weapon_fired 0
30,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:18.504146,weapon_fired 0
31,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:18.575465,weapon_fired 0
32,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:19.480345,stance_crouched 0
33,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:20.752786,stance_crouched 0
34,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:21.855194,weapon_fired 0
35,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:21.929995,weapon_fired 0
36,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:21.995820,weapon_fired 0
37,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:22.068570,weapon_fired 0
38,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:22.135392,weapon_fired 0
39,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:22.215178,weapon_fired 0
40,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:22.282191,weapon_fired 0
41,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:22.353002,killed an enemy
42,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:22.357988,weapon_fired 1
43,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:22.767402,stance_crouched 0
44,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:26.734209,stance_crouched 1
45,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:34.359521,stance_crouched 1
46,atpqp,Profile-Visual+Weste+Thermal,2022-12-16 14:35:34.608442,stance_crouched 1
