,Player,Profile,Time,Event
0,atpqp,Profile-Visual+Weste,2022-12-16 14:18:59.067582,stance_crouched 0
1,atpqp,Profile-Visual+Weste,2022-12-16 14:19:02.141358,stance_crouched 0
2,atpqp,Profile-Visual+Weste,2022-12-16 14:19:02.199708,activate_objective Enter_the_bank
3,atpqp,Profile-Visual+Weste,2022-12-16 14:19:08.780619,complete_objective Enter_the_bank
4,atpqp,Profile-Visual+Weste,2022-12-16 14:19:09.788921,activate_objective Saw_open_the_door
5,atpqp,Profile-Visual+Weste,2022-12-16 14:19:21.713840,stance_crouched 0
6,atpqp,Profile-Visual+Weste,2022-12-16 14:19:22.972477,killed an enemy
7,atpqp,Profile-Visual+Weste,2022-12-16 14:19:22.977464,weapon_fired 1
8,atpqp,Profile-Visual+Weste,2022-12-16 14:19:23.051267,weapon_fired 0
9,atpqp,Profile-Visual+Weste,2022-12-16 14:19:23.124378,weapon_fired 0
10,atpqp,Profile-Visual+Weste,2022-12-16 14:19:23.190235,weapon_fired 0
11,atpqp,Profile-Visual+Weste,2022-12-16 14:19:23.252036,weapon_fired 0
12,atpqp,Profile-Visual+Weste,2022-12-16 14:19:24.052895,stance_crouched 0
13,atpqp,Profile-Visual+Weste,2022-12-16 14:19:24.902052,stance_crouched 0
14,atpqp,Profile-Visual+Weste,2022-12-16 14:19:25.359827,killed an enemy
15,atpqp,Profile-Visual+Weste,2022-12-16 14:19:25.364827,weapon_fired 1
16,atpqp,Profile-Visual+Weste,2022-12-16 14:19:25.437652,weapon_fired 0
17,atpqp,Profile-Visual+Weste,2022-12-16 14:19:25.511273,weapon_fired 0
18,atpqp,Profile-Visual+Weste,2022-12-16 14:19:25.579069,weapon_fired 0
19,atpqp,Profile-Visual+Weste,2022-12-16 14:19:25.647914,weapon_fired 0
20,atpqp,Profile-Visual+Weste,2022-12-16 14:19:26.034130,stance_crouched 0
21,atpqp,Profile-Visual+Weste,2022-12-16 14:19:45.812637,complete_objective Saw_open_the_door
22,atpqp,Profile-Visual+Weste,2022-12-16 14:19:46.815481,activate_objective Defend_the_saw
23,atpqp,Profile-Visual+Weste,2022-12-16 14:20:14.272027,stance_crouched 0
24,atpqp,Profile-Visual+Weste,2022-12-16 14:20:14.894364,weapon_fired 0
25,atpqp,Profile-Visual+Weste,2022-12-16 14:20:14.970161,weapon_fired 0
26,atpqp,Profile-Visual+Weste,2022-12-16 14:20:15.046785,weapon_fired 0
27,atpqp,Profile-Visual+Weste,2022-12-16 14:20:15.127543,weapon_fired 0
28,atpqp,Profile-Visual+Weste,2022-12-16 14:20:17.397117,stance_crouched 0
29,atpqp,Profile-Visual+Weste,2022-12-16 14:20:20.501052,stance_crouched 0
30,atpqp,Profile-Visual+Weste,2022-12-16 14:20:21.332251,weapon_fired 0
31,atpqp,Profile-Visual+Weste,2022-12-16 14:20:21.411069,weapon_fired 0
32,atpqp,Profile-Visual+Weste,2022-12-16 14:20:21.475895,shielded hit
33,atpqp,Profile-Visual+Weste,2022-12-16 14:20:21.479885,hp 460
34,atpqp,Profile-Visual+Weste,2022-12-16 14:20:21.482877,armor 91
35,atpqp,Profile-Visual+Weste,2022-12-16 14:20:21.489859,hp 460
36,atpqp,Profile-Visual+Weste,2022-12-16 14:20:21.492851,armor 91
37,atpqp,Profile-Visual+Weste,2022-12-16 14:20:21.496840,health_subtracted 0
38,atpqp,Profile-Visual+Weste,2022-12-16 14:20:21.502824,hp 460
39,atpqp,Profile-Visual+Weste,2022-12-16 14:20:21.505816,armor 91
40,atpqp,Profile-Visual+Weste,2022-12-16 14:20:21.508807,weapon_fired 0
41,atpqp,Profile-Visual+Weste,2022-12-16 14:20:21.557678,weapon_fired 0
42,atpqp,Profile-Visual+Weste,2022-12-16 14:20:21.628088,weapon_fired 0
43,atpqp,Profile-Visual+Weste,2022-12-16 14:20:21.861924,weapon_fired 1
44,atpqp,Profile-Visual+Weste,2022-12-16 14:20:21.942709,weapon_fired 0
45,atpqp,Profile-Visual+Weste,2022-12-16 14:20:22.009530,killed an enemy
46,atpqp,Profile-Visual+Weste,2022-12-16 14:20:22.013519,weapon_fired 1
47,atpqp,Profile-Visual+Weste,2022-12-16 14:20:22.083333,weapon_fired 0
48,atpqp,Profile-Visual+Weste,2022-12-16 14:20:22.145167,weapon_fired 0
49,atpqp,Profile-Visual+Weste,2022-12-16 14:20:22.217972,weapon_fired 0
50,atpqp,Profile-Visual+Weste,2022-12-16 14:20:22.332666,shielded hit
51,atpqp,Profile-Visual+Weste,2022-12-16 14:20:22.337652,hp 460
52,atpqp,Profile-Visual+Weste,2022-12-16 14:20:22.339647,armor 71
53,atpqp,Profile-Visual+Weste,2022-12-16 14:20:22.343636,hp 460
54,atpqp,Profile-Visual+Weste,2022-12-16 14:20:22.345630,armor 71
55,atpqp,Profile-Visual+Weste,2022-12-16 14:20:22.347625,health_subtracted 0
56,atpqp,Profile-Visual+Weste,2022-12-16 14:20:22.351615,hp 460
57,atpqp,Profile-Visual+Weste,2022-12-16 14:20:22.353642,armor 71
58,atpqp,Profile-Visual+Weste,2022-12-16 14:20:22.717637,stance_crouched 0
59,atpqp,Profile-Visual+Weste,2022-12-16 14:20:24.809749,auto regenerate armor
60,atpqp,Profile-Visual+Weste,2022-12-16 14:20:24.815734,hp 460
61,atpqp,Profile-Visual+Weste,2022-12-16 14:20:24.817728,armor 51
62,atpqp,Profile-Visual+Weste,2022-12-16 14:20:25.888864,stance_crouched 0
63,atpqp,Profile-Visual+Weste,2022-12-16 14:20:27.054875,weapon_fired 0
64,atpqp,Profile-Visual+Weste,2022-12-16 14:20:27.125686,weapon_fired 0
65,atpqp,Profile-Visual+Weste,2022-12-16 14:20:27.190514,weapon_fired 0
66,atpqp,Profile-Visual+Weste,2022-12-16 14:20:28.246565,stance_crouched 0
67,atpqp,Profile-Visual+Weste,2022-12-16 14:20:28.846959,stance_crouched 0
68,atpqp,Profile-Visual+Weste,2022-12-16 14:20:32.231284,stance_crouched 0
69,atpqp,Profile-Visual+Weste,2022-12-16 14:20:33.976535,stance_crouched 0
70,atpqp,Profile-Visual+Weste,2022-12-16 14:20:34.746011,weapon_fired 0
71,atpqp,Profile-Visual+Weste,2022-12-16 14:20:34.822779,weapon_fired 0
72,atpqp,Profile-Visual+Weste,2022-12-16 14:20:34.896582,weapon_fired 0
73,atpqp,Profile-Visual+Weste,2022-12-16 14:20:34.965906,enemy_headshot
74,atpqp,Profile-Visual+Weste,2022-12-16 14:20:34.969896,hp 460
75,atpqp,Profile-Visual+Weste,2022-12-16 14:20:34.974883,armor 91
76,atpqp,Profile-Visual+Weste,2022-12-16 14:20:34.977874,killed an enemy
77,atpqp,Profile-Visual+Weste,2022-12-16 14:20:34.981864,weapon_fired 1
78,atpqp,Profile-Visual+Weste,2022-12-16 14:20:35.262576,auto regenerate armor
79,atpqp,Profile-Visual+Weste,2022-12-16 14:20:35.268561,hp 460
80,atpqp,Profile-Visual+Weste,2022-12-16 14:20:35.270555,armor 91
81,atpqp,Profile-Visual+Weste,2022-12-16 14:20:35.354331,stance_crouched 0
82,atpqp,Profile-Visual+Weste,2022-12-16 14:20:38.951803,hp 460
83,atpqp,Profile-Visual+Weste,2022-12-16 14:20:38.954795,armor 91
84,atpqp,Profile-Visual+Weste,2022-12-16 14:20:38.963771,shielded hit
85,atpqp,Profile-Visual+Weste,2022-12-16 14:20:38.967761,health_subtracted 0
86,atpqp,Profile-Visual+Weste,2022-12-16 14:20:38.973744,hp 460
87,atpqp,Profile-Visual+Weste,2022-12-16 14:20:38.976736,armor 91
88,atpqp,Profile-Visual+Weste,2022-12-16 14:20:38.980726,hp 460
89,atpqp,Profile-Visual+Weste,2022-12-16 14:20:38.984715,armor 91
90,atpqp,Profile-Visual+Weste,2022-12-16 14:20:41.428841,auto regenerate armor
91,atpqp,Profile-Visual+Weste,2022-12-16 14:20:41.432831,hp 460
92,atpqp,Profile-Visual+Weste,2022-12-16 14:20:41.434825,armor 61
93,atpqp,Profile-Visual+Weste,2022-12-16 14:20:42.768253,stance_crouched 0
94,atpqp,Profile-Visual+Weste,2022-12-16 14:20:42.953777,killed an enemy
95,atpqp,Profile-Visual+Weste,2022-12-16 14:20:42.957738,weapon_fired 1
96,atpqp,Profile-Visual+Weste,2022-12-16 14:20:43.030597,weapon_fired 0
97,atpqp,Profile-Visual+Weste,2022-12-16 14:20:43.106395,weapon_fired 0
98,atpqp,Profile-Visual+Weste,2022-12-16 14:20:43.168222,weapon_fired 0
99,atpqp,Profile-Visual+Weste,2022-12-16 14:20:43.719371,weapon_fired 1
100,atpqp,Profile-Visual+Weste,2022-12-16 14:20:43.794171,killed an enemy
101,atpqp,Profile-Visual+Weste,2022-12-16 14:20:43.798162,weapon_fired 1
102,atpqp,Profile-Visual+Weste,2022-12-16 14:20:43.870966,weapon_fired 0
103,atpqp,Profile-Visual+Weste,2022-12-16 14:20:43.946763,weapon_fired 0
104,atpqp,Profile-Visual+Weste,2022-12-16 14:20:44.025553,weapon_fired 0
105,atpqp,Profile-Visual+Weste,2022-12-16 14:20:44.088408,weapon_fired 0
106,atpqp,Profile-Visual+Weste,2022-12-16 14:20:44.158198,weapon_fired 0
107,atpqp,Profile-Visual+Weste,2022-12-16 14:20:44.226017,weapon_fired 0
108,atpqp,Profile-Visual+Weste,2022-12-16 14:20:44.403542,stance_crouched 0
109,atpqp,Profile-Visual+Weste,2022-12-16 14:20:58.925293,stance_crouched 0
110,atpqp,Profile-Visual+Weste,2022-12-16 14:20:59.462506,weapon_fired 0
111,atpqp,Profile-Visual+Weste,2022-12-16 14:20:59.547281,weapon_fired 0
112,atpqp,Profile-Visual+Weste,2022-12-16 14:20:59.618082,weapon_fired 0
113,atpqp,Profile-Visual+Weste,2022-12-16 14:20:59.694856,weapon_fired 0
114,atpqp,Profile-Visual+Weste,2022-12-16 14:20:59.754333,weapon_fired 0
115,atpqp,Profile-Visual+Weste,2022-12-16 14:20:59.935307,hp 460
116,atpqp,Profile-Visual+Weste,2022-12-16 14:20:59.937332,armor 91
117,atpqp,Profile-Visual+Weste,2022-12-16 14:20:59.940294,auto regenerate armor
118,atpqp,Profile-Visual+Weste,2022-12-16 14:21:00.313296,stance_crouched 0
119,atpqp,Profile-Visual+Weste,2022-12-16 14:21:03.574822,stance_crouched 0
120,atpqp,Profile-Visual+Weste,2022-12-16 14:21:04.420070,enemy_headshot
121,atpqp,Profile-Visual+Weste,2022-12-16 14:21:04.425056,hp 460
122,atpqp,Profile-Visual+Weste,2022-12-16 14:21:04.428048,armor 91
123,atpqp,Profile-Visual+Weste,2022-12-16 14:21:04.432037,weapon_fired 1
124,atpqp,Profile-Visual+Weste,2022-12-16 14:21:04.494396,killed an enemy
125,atpqp,Profile-Visual+Weste,2022-12-16 14:21:04.500381,weapon_fired 1
126,atpqp,Profile-Visual+Weste,2022-12-16 14:21:04.572383,weapon_fired 0
127,atpqp,Profile-Visual+Weste,2022-12-16 14:21:05.298441,stance_crouched 0
128,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.015712,stance_crouched 0
129,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.029674,auto regenerate armor
130,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.032668,hp 460
131,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.034661,armor 91
132,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.256070,shielded hit
133,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.260058,hp 460
134,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.262080,armor 91
135,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.267040,health_subtracted 0
136,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.273024,hp 460
137,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.276016,armor 91
138,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.279008,hp 460
139,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.281999,armor 91
140,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.467509,weapon_fired 0
141,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.553301,weapon_fired 1
142,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.622091,weapon_fired 0
143,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.679935,shielded hit
144,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.682927,hp 460
145,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.685920,armor 87
146,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.689908,hp 460
147,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.691903,armor 87
148,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.694895,health_subtracted 0
149,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.703871,hp 460
150,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.705866,armor 87
151,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.709856,hp 460
152,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.711850,armor 85
153,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.714841,enemy_headshot
154,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.718831,killed an enemy
155,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.723818,weapon_fired 1
156,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.760720,weapon_fired 0
157,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.828540,weapon_fired 0
158,atpqp,Profile-Visual+Weste,2022-12-16 14:21:08.898354,weapon_fired 0
159,atpqp,Profile-Visual+Weste,2022-12-16 14:21:09.108720,weapon_fired 0
160,atpqp,Profile-Visual+Weste,2022-12-16 14:21:09.196155,weapon_fired 0
161,atpqp,Profile-Visual+Weste,2022-12-16 14:21:09.262978,weapon_fired 0
162,atpqp,Profile-Visual+Weste,2022-12-16 14:21:09.333323,weapon_fired 0
163,atpqp,Profile-Visual+Weste,2022-12-16 14:21:10.179034,stance_crouched 0
164,atpqp,Profile-Visual+Weste,2022-12-16 14:21:11.276636,auto regenerate armor
165,atpqp,Profile-Visual+Weste,2022-12-16 14:21:11.280626,hp 460
166,atpqp,Profile-Visual+Weste,2022-12-16 14:21:11.282620,armor 91
167,atpqp,Profile-Visual+Weste,2022-12-16 14:21:12.486704,hp 460
168,atpqp,Profile-Visual+Weste,2022-12-16 14:21:12.488671,armor 91
169,atpqp,Profile-Visual+Weste,2022-12-16 14:21:12.496650,shielded hit
170,atpqp,Profile-Visual+Weste,2022-12-16 14:21:12.500639,hp 460
