,Player,Profile,Time,Event
0,atpqp,Profile-Visual,2022-12-16 14:01:00.633431,stance_crouched 0
1,atpqp,Profile-Visual,2022-12-16 14:01:04.074148,stance_crouched 0
2,atpqp,Profile-Visual,2022-12-16 14:01:04.087113,activate_objective Enter_the_bank
3,atpqp,Profile-Visual,2022-12-16 14:01:12.413604,stance_crouched 0
4,atpqp,Profile-Visual,2022-12-16 14:01:12.730443,weapon_fired 0
5,atpqp,Profile-Visual,2022-12-16 14:01:12.807239,weapon_fired 0
6,atpqp,Profile-Visual,2022-12-16 14:01:12.878049,weapon_fired 0
7,atpqp,Profile-Visual,2022-12-16 14:01:12.936918,weapon_fired 0
8,atpqp,Profile-Visual,2022-12-16 14:01:13.013686,weapon_fired 0
9,atpqp,Profile-Visual,2022-12-16 14:01:13.082502,weapon_fired 0
10,atpqp,Profile-Visual,2022-12-16 14:01:13.153313,weapon_fired 0
11,atpqp,Profile-Visual,2022-12-16 14:01:14.079389,stance_crouched 0
12,atpqp,Profile-Visual,2022-12-16 14:01:29.288676,complete_objective Enter_the_bank
13,atpqp,Profile-Visual,2022-12-16 14:01:30.288307,activate_objective Saw_open_the_door
14,atpqp,Profile-Visual,2022-12-16 14:01:40.452755,complete_objective Saw_open_the_door
15,atpqp,Profile-Visual,2022-12-16 14:01:41.456799,activate_objective Defend_the_saw
16,atpqp,Profile-Visual,2022-12-16 14:01:43.690676,stance_crouched 0
17,atpqp,Profile-Visual,2022-12-16 14:01:44.041550,stance_crouched 0
18,atpqp,Profile-Visual,2022-12-16 14:01:46.860759,stance_crouched 0
19,atpqp,Profile-Visual,2022-12-16 14:01:47.564660,stance_crouched 0
20,atpqp,Profile-Visual,2022-12-16 14:02:08.660886,stance_crouched 0
21,atpqp,Profile-Visual,2022-12-16 14:02:08.991005,weapon_fired 0
22,atpqp,Profile-Visual,2022-12-16 14:02:09.067799,weapon_fired 0
23,atpqp,Profile-Visual,2022-12-16 14:02:09.143596,weapon_fired 0
24,atpqp,Profile-Visual,2022-12-16 14:02:09.205430,weapon_fired 1
25,atpqp,Profile-Visual,2022-12-16 14:02:09.283223,weapon_fired 0
26,atpqp,Profile-Visual,2022-12-16 14:02:09.352043,weapon_fired 0
27,atpqp,Profile-Visual,2022-12-16 14:02:09.419861,weapon_fired 0
28,atpqp,Profile-Visual,2022-12-16 14:02:09.485686,weapon_fired 0
29,atpqp,Profile-Visual,2022-12-16 14:02:09.669194,stance_crouched 0
30,atpqp,Profile-Visual,2022-12-16 14:02:10.526902,stance_crouched 0
31,atpqp,Profile-Visual,2022-12-16 14:02:10.722378,killed an enemy
32,atpqp,Profile-Visual,2022-12-16 14:02:10.728361,weapon_fired 1
