,Player,Profile,Time,Event
0,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:08.894203,stance_crouched 0
1,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:11.785392,stance_crouched 0
2,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:11.867411,activate_objective Enter_the_bank
3,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:14.952233,weapon_fired 0
4,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:15.035251,weapon_fired 0
5,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:15.112106,weapon_fired 0
6,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:15.187513,weapon_fired 1
7,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:15.193513,killed an enemy
8,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:15.254527,weapon_fired 0
9,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:15.316174,weapon_fired 0
10,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:15.381179,weapon_fired 0
11,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:15.465197,weapon_fired 0
12,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:15.519210,weapon_fired 0
13,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:15.594227,weapon_fired 0
14,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:16.340396,complete_objective Enter_the_bank
15,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:17.344687,activate_objective Inspect_the_second_floor
16,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:24.179162,hp 460
17,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:24.182163,armor 91
18,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:24.197167,hp 460
19,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:24.200167,armor 91
20,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:24.204168,shielded hit
21,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:24.209169,hp 460
22,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:24.211170,armor 91
23,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:24.214170,health_subtracted 0
24,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:24.590256,weapon_fired 0
25,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:24.606259,hp 460
26,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:24.609260,armor 61
27,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:24.624263,shielded hit
28,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:24.637267,hp 460
29,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:24.640267,armor 61
30,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:24.644268,hp 460
31,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:24.646268,armor 61
32,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:24.650269,health_subtracted 0
33,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:24.698280,weapon_fired 0
34,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:24.763294,killed an enemy
35,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:24.767296,weapon_fired 1
36,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:24.840312,weapon_fired 0
37,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:24.900326,weapon_fired 0
38,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:24.954338,weapon_fired 0
39,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:25.021353,weapon_fired 0
40,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:25.089369,weapon_fired 0
41,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:25.157384,weapon_fired 0
42,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:25.228806,weapon_fired 0
43,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:25.295821,weapon_fired 0
44,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:25.364837,weapon_fired 0
45,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:25.437853,weapon_fired 0
46,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:25.505868,weapon_fired 0
47,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:25.573884,weapon_fired 0
48,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:25.639899,weapon_fired 0
49,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:25.714916,weapon_fired 0
50,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:25.783932,weapon_fired 0
51,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:25.851947,weapon_fired 0
52,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:26.666475,hp 460
53,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:26.668475,armor 11
54,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:26.672475,auto regenerate armor
55,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:28.560391,complete_objective Inspect_the_second_floor
56,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:29.560981,activate_objective Saw_open_the_door
57,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:35.789217,complete_objective Saw_open_the_door
58,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:36.798055,activate_objective Defend_the_saw
59,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:37.327176,weapon_fired 0
60,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:37.400192,weapon_fired 0
61,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:37.482758,weapon_fired 0
62,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:37.554280,weapon_fired 0
63,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:37.626296,weapon_fired 0
64,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:37.689311,weapon_fired 0
65,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:37.760327,weapon_fired 0
66,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:37.837344,weapon_fired 1
67,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:37.903359,weapon_fired 0
68,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:37.970375,weapon_fired 0
69,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:38.049392,killed an enemy
70,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:38.053393,weapon_fired 1
71,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:38.119408,weapon_fired 0
72,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:38.193426,weapon_fired 0
73,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:38.259440,weapon_fired 0
74,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:38.326455,weapon_fired 0
75,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:38.389469,weapon_fired 0
76,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:38.454484,weapon_fired 0
77,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:38.527407,weapon_fired 0
78,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:38.593422,weapon_fired 0
79,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:39.580304,stance_crouched 1
80,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:40.678910,stance_crouched 0
81,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:43.383263,weapon_fired 0
82,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:43.461281,hp 460
83,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:43.464282,armor 91
84,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:43.468282,enemy_headshot
85,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:43.471284,weapon_fired 1
86,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:43.534298,weapon_fired 0
87,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:43.601313,weapon_fired 0
88,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:43.678330,weapon_fired 0
89,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:43.740345,weapon_fired 1
90,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:43.748346,killed an enemy
91,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:43.815361,weapon_fired 0
92,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:43.885377,weapon_fired 0
93,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:43.955393,weapon_fired 0
94,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:44.712480,stance_crouched 1
95,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:45.135576,stance_crouched 0
96,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:45.871866,stance_crouched 1
97,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:46.612581,stance_crouched 0
98,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:48.768062,weapon_fired 0
99,auffz,Profile-Visual+Weste+Thermal+Sound,2022-12-07 15:09:48.849080,weapon_fired 0
