,Player,Profile,Time,Event
0,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:15.554337,stance_crouched 0
1,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:16.537559,activate_objective Saw_open_the_door
2,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:18.444992,stance_crouched 0
3,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:21.260786,weapon_fired 0
4,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:21.333803,weapon_fired 0
5,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:21.400818,weapon_fired 0
6,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:21.469298,weapon_fired 0
7,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:23.168386,stance_crouched 1
8,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:26.819872,complete_objective Saw_open_the_door
9,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:27.825899,activate_objective Defend_the_saw
10,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:29.777340,stance_crouched 0
11,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:35.473893,stance_crouched 0
12,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:37.217289,stance_crouched 0
13,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:45.326588,weapon_fired 0
14,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:45.401606,weapon_fired 0
15,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:45.478623,weapon_fired 0
16,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:45.547639,weapon_fired 0
17,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:45.610653,weapon_fired 0
18,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:45.676668,weapon_fired 0
19,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:45.754686,weapon_fired 0
20,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:45.826702,weapon_fired 0
21,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:45.893717,weapon_fired 0
22,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:45.962733,weapon_fired 0
23,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:46.036750,weapon_fired 0
24,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:46.108767,weapon_fired 1
25,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:46.166779,weapon_fired 0
26,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:46.237795,weapon_fired 0
27,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:46.304811,weapon_fired 0
28,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:47.195012,stance_crouched 1
29,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:47.830156,stance_crouched 0
30,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:52.090142,weapon_fired 0
31,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:52.170160,weapon_fired 0
32,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:52.235175,weapon_fired 0
33,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:52.311192,weapon_fired 0
34,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:52.380208,weapon_fired 0
35,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:52.449224,weapon_fired 0
36,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:52.516239,weapon_fired 0
37,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:52.594257,weapon_fired 0
38,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:52.663272,weapon_fired 0
39,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:52.733288,weapon_fired 0
40,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:52.800770,weapon_fired 0
41,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:52.876787,weapon_fired 0
42,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:52.939801,weapon_fired 0
43,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:53.004635,weapon_fired 0
44,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:53.084654,weapon_fired 0
45,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:53.153466,hp 460
46,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:53.156467,armor 91
47,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:53.160468,enemy_headshot
48,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:53.164469,killed an enemy
49,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:53.167469,weapon_fired 1
50,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:53.235485,weapon_fired 0
51,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:53.304500,weapon_fired 0
52,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:53.363514,weapon_fired 0
53,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:53.435530,weapon_fired 0
54,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:53.509547,weapon_fired 0
55,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:53.584565,weapon_fired 0
56,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:53.647578,weapon_fired 0
57,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:53.713593,stance_crouched 1
58,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:53.717594,weapon_fired 0
59,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:54.427529,weapon_fired 0
60,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:54.505991,weapon_fired 0
61,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:54.573007,weapon_fired 0
62,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:54.639020,weapon_fired 0
63,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:54.717038,weapon_fired 0
64,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:54.785054,weapon_fired 0
65,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:54.865072,weapon_fired 0
66,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:54.919085,weapon_fired 0
67,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:54.960094,stance_crouched 0
68,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:55.000103,weapon_fired 0
69,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:55.067118,weapon_fired 1
70,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:55.134133,weapon_fired 0
71,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:55.200148,weapon_fired 0
72,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:55.275165,weapon_fired 0
73,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:55.344181,weapon_fired 0
74,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:55.408196,weapon_fired 0
75,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:55.479211,weapon_fired 0
76,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:55.917775,stance_crouched 1
77,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:53:59.728883,stance_crouched 0
78,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:54:06.881882,stance_crouched 0
79,auffz,Profile-Visual+Weste+Thermal,2022-12-07 14:54:07.573039,stance_crouched 0
