,Player,Profile,Time,Event
0,auffz,Profile-Visual+Weste,2022-12-07 14:32:27.450308,stance_crouched 0
1,auffz,Profile-Visual+Weste,2022-12-07 14:32:30.332147,stance_crouched 0
2,auffz,Profile-Visual+Weste,2022-12-07 14:32:30.425168,activate_objective Enter_the_bank
3,auffz,Profile-Visual+Weste,2022-12-07 14:32:33.850495,stance_crouched 1
4,auffz,Profile-Visual+Weste,2022-12-07 14:32:34.117397,complete_objective Enter_the_bank
5,auffz,Profile-Visual+Weste,2022-12-07 14:32:35.120640,activate_objective Inspect_the_second_floor
6,auffz,Profile-Visual+Weste,2022-12-07 14:32:35.230883,stance_crouched 1
7,auffz,Profile-Visual+Weste,2022-12-07 14:32:36.372142,stance_crouched 1
8,auffz,Profile-Visual+Weste,2022-12-07 14:32:36.548183,stance_crouched 0
9,auffz,Profile-Visual+Weste,2022-12-07 14:32:40.402730,stance_crouched 0
10,auffz,Profile-Visual+Weste,2022-12-07 14:32:40.819824,stance_crouched 1
11,auffz,Profile-Visual+Weste,2022-12-07 14:32:41.104513,stance_crouched 0
12,auffz,Profile-Visual+Weste,2022-12-07 14:32:41.557614,stance_crouched 0
13,auffz,Profile-Visual+Weste,2022-12-07 14:32:42.125257,stance_crouched 1
14,auffz,Profile-Visual+Weste,2022-12-07 14:32:42.930469,stance_crouched 0
15,auffz,Profile-Visual+Weste,2022-12-07 14:32:54.924127,complete_objective Inspect_the_second_floor
16,auffz,Profile-Visual+Weste,2022-12-07 14:32:55.932355,activate_objective Cut_a_hole_in_the_floor
17,auffz,Profile-Visual+Weste,2022-12-07 14:33:01.918144,complete_objective Cut_a_hole_in_the_floor
18,auffz,Profile-Visual+Weste,2022-12-07 14:33:02.917462,activate_objective Defend_the_cutter
19,auffz,Profile-Visual+Weste,2022-12-07 14:33:06.353400,hp 460
20,auffz,Profile-Visual+Weste,2022-12-07 14:33:06.355401,armor 91
21,auffz,Profile-Visual+Weste,2022-12-07 14:33:06.358401,shielded hit
22,auffz,Profile-Visual+Weste,2022-12-07 14:33:06.363403,hp 460
23,auffz,Profile-Visual+Weste,2022-12-07 14:33:06.365403,armor 91
24,auffz,Profile-Visual+Weste,2022-12-07 14:33:06.368403,hp 460
25,auffz,Profile-Visual+Weste,2022-12-07 14:33:06.370404,armor 91
26,auffz,Profile-Visual+Weste,2022-12-07 14:33:06.373405,health_subtracted 0
27,auffz,Profile-Visual+Weste,2022-12-07 14:33:06.405412,weapon_fired 0
28,auffz,Profile-Visual+Weste,2022-12-07 14:33:06.433418,stance_crouched 1
29,auffz,Profile-Visual+Weste,2022-12-07 14:33:06.491432,weapon_fired 0
30,auffz,Profile-Visual+Weste,2022-12-07 14:33:06.541443,weapon_fired 0
31,auffz,Profile-Visual+Weste,2022-12-07 14:33:06.614459,weapon_fired 0
32,auffz,Profile-Visual+Weste,2022-12-07 14:33:06.673473,weapon_fired 0
33,auffz,Profile-Visual+Weste,2022-12-07 14:33:06.741489,weapon_fired 0
34,auffz,Profile-Visual+Weste,2022-12-07 14:33:06.812504,weapon_fired 0
35,auffz,Profile-Visual+Weste,2022-12-07 14:33:06.882651,weapon_fired 0
36,auffz,Profile-Visual+Weste,2022-12-07 14:33:08.368697,stance_crouched 1
37,auffz,Profile-Visual+Weste,2022-12-07 14:33:08.682768,stance_crouched 0
38,auffz,Profile-Visual+Weste,2022-12-07 14:33:08.839804,hp 460
39,auffz,Profile-Visual+Weste,2022-12-07 14:33:08.841804,armor 61
40,auffz,Profile-Visual+Weste,2022-12-07 14:33:08.844805,auto regenerate armor
41,auffz,Profile-Visual+Weste,2022-12-07 14:33:09.154992,weapon_fired 0
42,auffz,Profile-Visual+Weste,2022-12-07 14:33:09.476065,stance_crouched 1
43,auffz,Profile-Visual+Weste,2022-12-07 14:33:10.011290,stance_crouched 0
44,auffz,Profile-Visual+Weste,2022-12-07 14:33:10.274349,weapon_fired 0
45,auffz,Profile-Visual+Weste,2022-12-07 14:33:10.715449,hp 460
46,auffz,Profile-Visual+Weste,2022-12-07 14:33:10.717450,armor 91
47,auffz,Profile-Visual+Weste,2022-12-07 14:33:10.721451,shielded hit
48,auffz,Profile-Visual+Weste,2022-12-07 14:33:10.726452,hp 460
49,auffz,Profile-Visual+Weste,2022-12-07 14:33:10.729452,armor 91
50,auffz,Profile-Visual+Weste,2022-12-07 14:33:10.732454,hp 460
51,auffz,Profile-Visual+Weste,2022-12-07 14:33:10.735454,armor 91
52,auffz,Profile-Visual+Weste,2022-12-07 14:33:10.738455,health_subtracted 0
53,auffz,Profile-Visual+Weste,2022-12-07 14:33:11.244885,killed an enemy
54,auffz,Profile-Visual+Weste,2022-12-07 14:33:11.248886,weapon_fired 0
55,auffz,Profile-Visual+Weste,2022-12-07 14:33:11.599966,hp 460
56,auffz,Profile-Visual+Weste,2022-12-07 14:33:11.601966,armor 61
57,auffz,Profile-Visual+Weste,2022-12-07 14:33:11.604967,shielded hit
58,auffz,Profile-Visual+Weste,2022-12-07 14:33:11.609968,hp 460
59,auffz,Profile-Visual+Weste,2022-12-07 14:33:11.611968,armor 61
60,auffz,Profile-Visual+Weste,2022-12-07 14:33:11.615969,hp 460
61,auffz,Profile-Visual+Weste,2022-12-07 14:33:11.617970,armor 61
62,auffz,Profile-Visual+Weste,2022-12-07 14:33:11.620971,health_subtracted 0
63,auffz,Profile-Visual+Weste,2022-12-07 14:33:11.928341,weapon_fired 0
64,auffz,Profile-Visual+Weste,2022-12-07 14:33:12.154392,hp 460
65,auffz,Profile-Visual+Weste,2022-12-07 14:33:12.157393,armor 41
66,auffz,Profile-Visual+Weste,2022-12-07 14:33:12.161393,shielded hit
67,auffz,Profile-Visual+Weste,2022-12-07 14:33:12.166395,hp 460
68,auffz,Profile-Visual+Weste,2022-12-07 14:33:12.169395,armor 41
