,Player,Profile,Time,Event
0,auffz,Profile-Visual,2022-12-07 14:08:03.442913,stance_crouched 0
1,auffz,Profile-Visual,2022-12-07 14:08:06.460817,stance_crouched 0
2,auffz,Profile-Visual,2022-12-07 14:08:06.489823,activate_objective Enter_the_bank
3,auffz,Profile-Visual,2022-12-07 14:08:08.976663,stance_crouched 0
4,auffz,Profile-Visual,2022-12-07 14:08:10.095212,stance_crouched 0
5,auffz,Profile-Visual,2022-12-07 14:08:15.470187,complete_objective Enter_the_bank
6,auffz,Profile-Visual,2022-12-07 14:08:16.140082,stance_crouched 1
7,auffz,Profile-Visual,2022-12-07 14:08:16.477158,activate_objective Inspect_the_second_floor
8,auffz,Profile-Visual,2022-12-07 14:08:21.564557,stance_crouched 1
9,auffz,Profile-Visual,2022-12-07 14:08:22.721819,stance_crouched 1
10,auffz,Profile-Visual,2022-12-07 14:08:24.364191,stance_crouched 0
11,auffz,Profile-Visual,2022-12-07 14:08:31.659999,stance_crouched 0
12,auffz,Profile-Visual,2022-12-07 14:08:33.682538,stance_crouched 0
13,auffz,Profile-Visual,2022-12-07 14:09:03.776373,complete_objective Inspect_the_second_floor
14,auffz,Profile-Visual,2022-12-07 14:09:04.778314,activate_objective Cut_a_hole_in_the_floor
15,auffz,Profile-Visual,2022-12-07 14:09:11.418322,complete_objective Cut_a_hole_in_the_floor
16,auffz,Profile-Visual,2022-12-07 14:09:12.417549,activate_objective Defend_the_cutter
17,auffz,Profile-Visual,2022-12-07 14:09:14.645944,stance_crouched 0
18,auffz,Profile-Visual,2022-12-07 14:09:15.350487,weapon_fired 0
19,auffz,Profile-Visual,2022-12-07 14:09:15.425504,weapon_fired 0
20,auffz,Profile-Visual,2022-12-07 14:09:16.951295,stance_crouched 0
21,auffz,Profile-Visual,2022-12-07 14:09:18.862728,stance_crouched 0
22,auffz,Profile-Visual,2022-12-07 14:09:20.079261,killed an enemy
23,auffz,Profile-Visual,2022-12-07 14:09:20.083262,weapon_fired 1
24,auffz,Profile-Visual,2022-12-07 14:09:20.160279,weapon_fired 0
25,auffz,Profile-Visual,2022-12-07 14:09:20.227294,weapon_fired 0
26,auffz,Profile-Visual,2022-12-07 14:09:20.296309,weapon_fired 0
27,auffz,Profile-Visual,2022-12-07 14:09:20.363325,weapon_fired 0
28,auffz,Profile-Visual,2022-12-07 14:09:20.433341,weapon_fired 0
29,auffz,Profile-Visual,2022-12-07 14:09:20.498355,weapon_fired 0
30,auffz,Profile-Visual,2022-12-07 14:09:20.565370,weapon_fired 0
31,auffz,Profile-Visual,2022-12-07 14:09:20.630385,weapon_fired 0
32,auffz,Profile-Visual,2022-12-07 14:09:20.710403,weapon_fired 0
33,auffz,Profile-Visual,2022-12-07 14:09:20.777419,weapon_fired 0
34,auffz,Profile-Visual,2022-12-07 14:09:20.844434,weapon_fired 0
35,auffz,Profile-Visual,2022-12-07 14:09:20.923452,weapon_fired 0
36,auffz,Profile-Visual,2022-12-07 14:09:21.647616,stance_crouched 0
37,auffz,Profile-Visual,2022-12-07 14:09:23.815288,stance_crouched 0
38,auffz,Profile-Visual,2022-12-07 14:09:24.111355,weapon_fired 1
39,auffz,Profile-Visual,2022-12-07 14:09:24.187372,hp 460
40,auffz,Profile-Visual,2022-12-07 14:09:24.190373,armor 91
41,auffz,Profile-Visual,2022-12-07 14:09:24.193373,enemy_headshot
42,auffz,Profile-Visual,2022-12-07 14:09:24.196374,killed an enemy
43,auffz,Profile-Visual,2022-12-07 14:09:24.199375,weapon_fired 1
44,auffz,Profile-Visual,2022-12-07 14:09:24.265389,weapon_fired 0
45,auffz,Profile-Visual,2022-12-07 14:09:24.334405,weapon_fired 0
46,auffz,Profile-Visual,2022-12-07 14:09:24.403421,weapon_fired 0
47,auffz,Profile-Visual,2022-12-07 14:09:24.472437,weapon_fired 0
48,auffz,Profile-Visual,2022-12-07 14:09:24.541452,weapon_fired 0
