,Player,Profile,Time,Event
0,dycnh,Profile-Visual+Weste+Thermal+Sound,2022-11-30 22:52:47.105800,stance_crouched 0
1,dycnh,Profile-Visual+Weste+Thermal+Sound,2022-11-30 22:52:49.901434,stance_crouched 0
2,dycnh,Profile-Visual+Weste+Thermal+Sound,2022-11-30 22:52:50.141489,stance_crouched 0
3,dycnh,Profile-Visual+Weste+Thermal+Sound,2022-11-30 22:52:50.344534,stance_crouched 0
4,dycnh,Profile-Visual+Weste+Thermal+Sound,2022-11-30 22:52:50.413550,activate_objective Enter_the_bank
5,dycnh,Profile-Visual+Weste+Thermal+Sound,2022-11-30 22:52:51.437782,stance_crouched 0
6,dycnh,Profile-Visual+Weste+Thermal+Sound,2022-11-30 22:52:51.726848,stance_crouched 0
7,dycnh,Profile-Visual+Weste+Thermal+Sound,2022-11-30 22:52:55.398681,stance_crouched 0
8,dycnh,Profile-Visual+Weste+Thermal+Sound,2022-11-30 22:52:55.993817,stance_crouched 0
9,dycnh,Profile-Visual+Weste+Thermal+Sound,2022-11-30 22:52:56.467923,weapon_fired 0
10,dycnh,Profile-Visual+Weste+Thermal+Sound,2022-11-30 22:52:56.470924,weapon_fired 1
11,dycnh,Profile-Visual+Weste+Thermal+Sound,2022-11-30 22:52:56.631960,stance_crouched 0
12,dycnh,Profile-Visual+Weste+Thermal+Sound,2022-11-30 22:52:59.866694,shielded hit
13,dycnh,Profile-Visual+Weste+Thermal+Sound,2022-11-30 22:52:59.869694,hp 460
14,dycnh,Profile-Visual+Weste+Thermal+Sound,2022-11-30 22:52:59.872695,armor 91
15,dycnh,Profile-Visual+Weste+Thermal+Sound,2022-11-30 22:52:59.876696,hp 460
16,dycnh,Profile-Visual+Weste+Thermal+Sound,2022-11-30 22:52:59.878696,armor 91
17,dycnh,Profile-Visual+Weste+Thermal+Sound,2022-11-30 22:52:59.881697,hp 460
18,dycnh,Profile-Visual+Weste+Thermal+Sound,2022-11-30 22:52:59.883699,armor 91
19,dycnh,Profile-Visual+Weste+Thermal+Sound,2022-11-30 22:52:59.887698,health_subtracted 0
20,dycnh,Profile-Visual+Weste+Thermal+Sound,2022-11-30 22:53:00.417819,hp 460
21,dycnh,Profile-Visual+Weste+Thermal+Sound,2022-11-30 22:53:00.420819,armor 71
22,dycnh,Profile-Visual+Weste+Thermal+Sound,2022-11-30 22:53:00.427821,shielded hit
23,dycnh,Profile-Visual+Weste+Thermal+Sound,2022-11-30 22:53:00.432822,hp 460
24,dycnh,Profile-Visual+Weste+Thermal+Sound,2022-11-30 22:53:00.435823,armor 71
25,dycnh,Profile-Visual+Weste+Thermal+Sound,2022-11-30 22:53:00.440824,hp 460
