,Player,Profile,Time,Event
0,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:32:35.898845,stance_crouched 0
1,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:32:39.010550,stance_crouched 0
2,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:32:39.066563,activate_objective Enter_the_bank
3,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:32:41.555127,complete_objective Enter_the_bank
4,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:32:42.553869,activate_objective Inspect_the_second_floor
5,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:32:53.873019,complete_objective Inspect_the_second_floor
6,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:32:54.875246,activate_objective Cut_a_hole_in_the_floor
7,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:32:55.172314,stance_crouched 1
8,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:32:59.489292,complete_objective Cut_a_hole_in_the_floor
9,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:32:59.654330,stance_crouched 0
10,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:00.414502,activate_objective Defend_the_cutter
11,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:00.965628,stance_crouched 1
12,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:01.510750,stance_crouched 0
13,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:01.986859,stance_crouched 1
14,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:02.167899,weapon_fired 1
15,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:02.170900,killed an enemy
16,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:02.241916,weapon_fired 0
17,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:02.308931,weapon_fired 0
18,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:02.383948,weapon_fired 0
19,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:02.450964,weapon_fired 0
20,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:02.518979,weapon_fired 0
21,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:02.900065,stance_crouched 0
22,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:03.669240,stance_crouched 1
23,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:03.842279,weapon_fired 0
24,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:03.912295,weapon_fired 0
25,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:03.982311,weapon_fired 0
26,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:04.052327,weapon_fired 0
27,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:04.115342,weapon_fired 0
28,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:04.185357,weapon_fired 0
29,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:04.255372,weapon_fired 0
30,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:04.327390,weapon_fired 0
31,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:04.395404,weapon_fired 0
32,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:04.467420,weapon_fired 0
33,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:04.501429,hp 460
34,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:04.503430,armor 91
35,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:04.507430,shielded hit
36,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:04.511431,hp 460
37,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:04.514432,armor 91
38,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:04.518433,hp 460
39,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:04.520433,armor 91
40,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:04.523434,health_subtracted 0
41,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:04.555441,weapon_fired 0
42,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:05.618261,hp 460
43,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:05.620261,armor 56
44,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:05.624262,shielded hit
45,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:05.629263,hp 460
46,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:05.632264,armor 56
47,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:05.635264,hp 460
48,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:05.637265,armor 56
49,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:05.640266,health_subtracted 0
50,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:05.675273,weapon_fired 0
51,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:05.745289,weapon_fired 0
52,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:05.815305,weapon_fired 0
53,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:05.879320,weapon_fired 0
54,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:05.951336,weapon_fired 0
55,dycnh,Profile-Visual+Weste+Thermal,2022-11-30 22:33:06.013350,weapon_fired 0
