,Player,Profile,Time,Event
0,dycnh,Profile-Visual+Weste,2022-11-30 22:21:51.896449,auto regenerate armor
1,dycnh,Profile-Visual+Weste,2022-11-30 22:21:51.984469,stance_crouched 0
2,dycnh,Profile-Visual+Weste,2022-11-30 22:21:52.961981,hp 460
3,dycnh,Profile-Visual+Weste,2022-11-30 22:21:52.964982,armor 91
4,dycnh,Profile-Visual+Weste,2022-11-30 22:21:52.968983,shielded hit
5,dycnh,Profile-Visual+Weste,2022-11-30 22:21:52.974985,hp 460
6,dycnh,Profile-Visual+Weste,2022-11-30 22:21:52.977986,armor 91
7,dycnh,Profile-Visual+Weste,2022-11-30 22:21:52.985987,hp 460
8,dycnh,Profile-Visual+Weste,2022-11-30 22:21:52.988988,armor 91
9,dycnh,Profile-Visual+Weste,2022-11-30 22:21:52.992988,health_subtracted 0
10,dycnh,Profile-Visual+Weste,2022-11-30 22:21:52.996990,activate_objective Saw_open_the_door
11,dycnh,Profile-Visual+Weste,2022-11-30 22:21:53.739158,hp 460
12,dycnh,Profile-Visual+Weste,2022-11-30 22:21:53.742158,armor 81
13,dycnh,Profile-Visual+Weste,2022-11-30 22:21:53.745159,shielded hit
14,dycnh,Profile-Visual+Weste,2022-11-30 22:21:53.751162,hp 460
15,dycnh,Profile-Visual+Weste,2022-11-30 22:21:53.754162,armor 81
16,dycnh,Profile-Visual+Weste,2022-11-30 22:21:53.758163,hp 460
17,dycnh,Profile-Visual+Weste,2022-11-30 22:21:53.760162,armor 81
18,dycnh,Profile-Visual+Weste,2022-11-30 22:21:53.763164,health_subtracted 0
19,dycnh,Profile-Visual+Weste,2022-11-30 22:21:54.184259,hp 460
20,dycnh,Profile-Visual+Weste,2022-11-30 22:21:54.186260,armor 71
21,dycnh,Profile-Visual+Weste,2022-11-30 22:21:54.189261,shielded hit
22,dycnh,Profile-Visual+Weste,2022-11-30 22:21:54.196262,hp 460
23,dycnh,Profile-Visual+Weste,2022-11-30 22:21:54.198263,armor 71
24,dycnh,Profile-Visual+Weste,2022-11-30 22:21:54.202264,hp 460
25,dycnh,Profile-Visual+Weste,2022-11-30 22:21:54.204264,armor 71
26,dycnh,Profile-Visual+Weste,2022-11-30 22:21:54.208264,health_subtracted 0
27,dycnh,Profile-Visual+Weste,2022-11-30 22:21:54.651364,hp 460
28,dycnh,Profile-Visual+Weste,2022-11-30 22:21:54.653366,armor 61
29,dycnh,Profile-Visual+Weste,2022-11-30 22:21:54.656367,shielded hit
30,dycnh,Profile-Visual+Weste,2022-11-30 22:21:54.661367,hp 460
31,dycnh,Profile-Visual+Weste,2022-11-30 22:21:54.664367,armor 61
32,dycnh,Profile-Visual+Weste,2022-11-30 22:21:54.668369,hp 460
33,dycnh,Profile-Visual+Weste,2022-11-30 22:21:54.670370,armor 61
34,dycnh,Profile-Visual+Weste,2022-11-30 22:21:54.673370,health_subtracted 0
35,dycnh,Profile-Visual+Weste,2022-11-30 22:21:54.882419,stance_crouched 0
36,dycnh,Profile-Visual+Weste,2022-11-30 22:21:54.907423,stance_crouched 0
37,dycnh,Profile-Visual+Weste,2022-11-30 22:21:54.968437,stance_crouched 1
38,dycnh,Profile-Visual+Weste,2022-11-30 22:21:55.116471,shielded hit
39,dycnh,Profile-Visual+Weste,2022-11-30 22:21:55.121471,hp 460
40,dycnh,Profile-Visual+Weste,2022-11-30 22:21:55.124473,armor 51
41,dycnh,Profile-Visual+Weste,2022-11-30 22:21:55.127472,hp 460
