,Player,Profile,Time,Event
0,dycnh,Profile-Visual,2022-11-30 22:03:56.119144,stance_crouched 0
1,dycnh,Profile-Visual,2022-11-30 22:03:59.159663,stance_crouched 0
2,dycnh,Profile-Visual,2022-11-30 22:03:59.208673,stance_crouched 0
3,dycnh,Profile-Visual,2022-11-30 22:03:59.236679,activate_objective Enter_the_bank
4,dycnh,Profile-Visual,2022-11-30 22:03:59.288691,stance_crouched 0
5,dycnh,Profile-Visual,2022-11-30 22:03:59.469732,stance_crouched 0
6,dycnh,Profile-Visual,2022-11-30 22:03:59.541748,stance_crouched 0
7,dycnh,Profile-Visual,2022-11-30 22:03:59.837816,stance_crouched 0
8,dycnh,Profile-Visual,2022-11-30 22:03:59.981848,stance_crouched 0
9,dycnh,Profile-Visual,2022-11-30 22:04:00.265913,stance_crouched 0
10,dycnh,Profile-Visual,2022-11-30 22:04:00.514969,stance_crouched 0
11,dycnh,Profile-Visual,2022-11-30 22:04:00.730228,stance_crouched 0
12,dycnh,Profile-Visual,2022-11-30 22:04:00.915271,stance_crouched 0
13,dycnh,Profile-Visual,2022-11-30 22:04:02.073532,stance_crouched 1
14,dycnh,Profile-Visual,2022-11-30 22:04:02.611655,stance_crouched 0
15,dycnh,Profile-Visual,2022-11-30 22:04:03.507858,stance_crouched 1
16,dycnh,Profile-Visual,2022-11-30 22:04:04.554095,stance_crouched 0
17,dycnh,Profile-Visual,2022-11-30 22:04:08.578008,stance_crouched 0
18,dycnh,Profile-Visual,2022-11-30 22:04:08.941090,stance_crouched 0
19,dycnh,Profile-Visual,2022-11-30 22:04:14.282134,stance_crouched 1
20,dycnh,Profile-Visual,2022-11-30 22:04:15.111088,stance_crouched 0
21,dycnh,Profile-Visual,2022-11-30 22:04:15.207110,complete_objective Enter_the_bank
22,dycnh,Profile-Visual,2022-11-30 22:04:16.206337,activate_objective Inspect_the_second_floor
23,dycnh,Profile-Visual,2022-11-30 22:04:31.228743,complete_objective Inspect_the_second_floor
24,dycnh,Profile-Visual,2022-11-30 22:04:32.221968,activate_objective Cut_a_hole_in_the_floor
25,dycnh,Profile-Visual,2022-11-30 22:04:32.842108,stance_crouched 1
26,dycnh,Profile-Visual,2022-11-30 22:04:33.241199,stance_crouched 0
27,dycnh,Profile-Visual,2022-11-30 22:04:39.606533,complete_objective Cut_a_hole_in_the_floor
28,dycnh,Profile-Visual,2022-11-30 22:04:40.586755,activate_objective Defend_the_cutter
29,dycnh,Profile-Visual,2022-11-30 22:04:42.448177,hp 460
30,dycnh,Profile-Visual,2022-11-30 22:04:42.450178,armor 91
31,dycnh,Profile-Visual,2022-11-30 22:04:42.454178,shielded hit
32,dycnh,Profile-Visual,2022-11-30 22:04:42.459180,hp 460
33,dycnh,Profile-Visual,2022-11-30 22:04:42.462179,armor 91
34,dycnh,Profile-Visual,2022-11-30 22:04:42.465181,hp 460
35,dycnh,Profile-Visual,2022-11-30 22:04:42.468181,armor 91
36,dycnh,Profile-Visual,2022-11-30 22:04:42.471182,health_subtracted 0
37,dycnh,Profile-Visual,2022-11-30 22:04:43.220352,hp 460
38,dycnh,Profile-Visual,2022-11-30 22:04:43.223352,armor 61
39,dycnh,Profile-Visual,2022-11-30 22:04:43.234355,shielded hit
40,dycnh,Profile-Visual,2022-11-30 22:04:43.240356,hp 460
41,dycnh,Profile-Visual,2022-11-30 22:04:43.243357,armor 61
42,dycnh,Profile-Visual,2022-11-30 22:04:43.246359,hp 460
43,dycnh,Profile-Visual,2022-11-30 22:04:43.249358,armor 61
44,dycnh,Profile-Visual,2022-11-30 22:04:43.253359,health_subtracted 0
45,dycnh,Profile-Visual,2022-11-30 22:04:43.832513,stance_crouched 1
46,dycnh,Profile-Visual,2022-11-30 22:04:44.461700,stance_crouched 0
47,dycnh,Profile-Visual,2022-11-30 22:04:44.867572,stance_crouched 1
48,dycnh,Profile-Visual,2022-11-30 22:04:45.037980,stance_crouched 1
49,dycnh,Profile-Visual,2022-11-30 22:04:45.141865,stance_crouched 1
50,dycnh,Profile-Visual,2022-11-30 22:04:45.518861,stance_crouched 1
51,dycnh,Profile-Visual,2022-11-30 22:04:45.630024,stance_crouched 1
52,dycnh,Profile-Visual,2022-11-30 22:04:45.798933,hp 460
53,dycnh,Profile-Visual,2022-11-30 22:04:45.800933,armor 31
54,dycnh,Profile-Visual,2022-11-30 22:04:45.804934,shielded hit
55,dycnh,Profile-Visual,2022-11-30 22:04:45.810935,hp 460
56,dycnh,Profile-Visual,2022-11-30 22:04:45.813935,armor 31
57,dycnh,Profile-Visual,2022-11-30 22:04:45.816937,hp 460
58,dycnh,Profile-Visual,2022-11-30 22:04:45.818936,armor 31
59,dycnh,Profile-Visual,2022-11-30 22:04:45.821939,health_subtracted 0
60,dycnh,Profile-Visual,2022-11-30 22:04:45.862947,stance_crouched 1
61,dycnh,Profile-Visual,2022-11-30 22:04:46.114038,weapon_fired 0
62,dycnh,Profile-Visual,2022-11-30 22:04:46.180053,weapon_fired 0
63,dycnh,Profile-Visual,2022-11-30 22:04:46.248068,weapon_fired 0
64,dycnh,Profile-Visual,2022-11-30 22:04:46.321090,weapon_fired 0
65,dycnh,Profile-Visual,2022-11-30 22:04:46.386105,weapon_fired 0
66,dycnh,Profile-Visual,2022-11-30 22:04:46.471123,weapon_fired 0
67,dycnh,Profile-Visual,2022-11-30 22:04:46.528169,weapon_fired 0
68,dycnh,Profile-Visual,2022-11-30 22:04:46.602185,weapon_fired 0
69,dycnh,Profile-Visual,2022-11-30 22:04:47.931311,stance_crouched 1
70,dycnh,Profile-Visual,2022-11-30 22:04:48.551556,stance_crouched 1
71,dycnh,Profile-Visual,2022-11-30 22:04:49.204704,hp 460
72,dycnh,Profile-Visual,2022-11-30 22:04:49.206704,armor 1
73,dycnh,Profile-Visual,2022-11-30 22:04:49.210704,shielded hit
74,dycnh,Profile-Visual,2022-11-30 22:04:49.215706,hp 460
75,dycnh,Profile-Visual,2022-11-30 22:04:49.217707,armor 1
76,dycnh,Profile-Visual,2022-11-30 22:04:49.221707,hp 460
77,dycnh,Profile-Visual,2022-11-30 22:04:49.224708,armor 1
78,dycnh,Profile-Visual,2022-11-30 22:04:49.227708,health_subtracted 0
79,dycnh,Profile-Visual,2022-11-30 22:04:49.490768,weapon_fired 0
80,dycnh,Profile-Visual,2022-11-30 22:04:49.559784,weapon_fired 0
81,dycnh,Profile-Visual,2022-11-30 22:04:49.626799,weapon_fired 0
82,dycnh,Profile-Visual,2022-11-30 22:04:49.792836,stance_crouched 1
83,dycnh,Profile-Visual,2022-11-30 22:04:50.423980,stance_crouched 0
84,dycnh,Profile-Visual,2022-11-30 22:04:51.134141,stance_crouched 1
85,dycnh,Profile-Visual,2022-11-30 22:04:51.415205,stance_crouched 0
86,dycnh,Profile-Visual,2022-11-30 22:04:52.208385,stance_crouched 1
87,dycnh,Profile-Visual,2022-11-30 22:04:53.015567,stance_crouched 0
88,dycnh,Profile-Visual,2022-11-30 22:04:53.497676,hp 460
89,dycnh,Profile-Visual,2022-11-30 22:04:53.499678,armor 0
90,dycnh,Profile-Visual,2022-11-30 22:04:53.503677,hp 460
91,dycnh,Profile-Visual,2022-11-30 22:04:53.506678,armor 0
92,dycnh,Profile-Visual,2022-11-30 22:04:53.509681,auto regenerate armor
93,dycnh,Profile-Visual,2022-11-30 22:04:53.657713,stance_crouched 1
94,dycnh,Profile-Visual,2022-11-30 22:04:59.102947,stance_crouched 0
95,dycnh,Profile-Visual,2022-11-30 22:04:59.593059,stance_crouched 1
96,dycnh,Profile-Visual,2022-11-30 22:04:59.860120,stance_crouched 1
97,dycnh,Profile-Visual,2022-11-30 22:04:59.964143,stance_crouched 1
98,dycnh,Profile-Visual,2022-11-30 22:05:00.200197,stance_crouched 1
99,dycnh,Profile-Visual,2022-11-30 22:05:00.290217,stance_crouched 1
100,dycnh,Profile-Visual,2022-11-30 22:05:00.783329,stance_crouched 0
101,dycnh,Profile-Visual,2022-11-30 22:05:01.513494,hp 460
102,dycnh,Profile-Visual,2022-11-30 22:05:01.515494,armor 91
103,dycnh,Profile-Visual,2022-11-30 22:05:01.519496,shielded hit
104,dycnh,Profile-Visual,2022-11-30 22:05:01.524497,hp 460
105,dycnh,Profile-Visual,2022-11-30 22:05:01.527497,armor 91
106,dycnh,Profile-Visual,2022-11-30 22:05:01.532498,hp 460
107,dycnh,Profile-Visual,2022-11-30 22:05:01.535499,armor 91
108,dycnh,Profile-Visual,2022-11-30 22:05:01.540500,health_subtracted 0
109,dycnh,Profile-Visual,2022-11-30 22:05:01.985602,stance_crouched 1
110,dycnh,Profile-Visual,2022-11-30 22:05:02.186647,killed an enemy
111,dycnh,Profile-Visual,2022-11-30 22:05:02.192648,weapon_fired 1
112,dycnh,Profile-Visual,2022-11-30 22:05:02.276667,weapon_fired 0
113,dycnh,Profile-Visual,2022-11-30 22:05:02.340682,weapon_fired 0
114,dycnh,Profile-Visual,2022-11-30 22:05:02.419700,weapon_fired 0
115,dycnh,Profile-Visual,2022-11-30 22:05:02.471711,weapon_fired 0
116,dycnh,Profile-Visual,2022-11-30 22:05:02.551730,weapon_fired 0
117,dycnh,Profile-Visual,2022-11-30 22:05:02.613744,weapon_fired 0
