,Player,Profile,Time,Event
0,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:00.884780,hp 460
1,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:00.885777,armor 0
2,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:01.000470,stance_crouched 0
3,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:04.089736,stance_crouched 0
4,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:04.164532,activate_objective Enter_the_bank
5,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:08.883842,killed an enemy
6,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:08.896808,weapon_fired 1
7,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:08.967619,weapon_fired 0
8,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:09.041421,weapon_fired 0
9,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:09.115224,weapon_fired 0
10,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:10.844559,complete_objective Enter_the_bank
11,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:11.860524,activate_objective Saw_open_the_door
12,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:17.147505,weapon_fired 0
13,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:17.217321,weapon_fired 0
14,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:17.298102,weapon_fired 0
15,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:17.369910,weapon_fired 0
16,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:17.431744,weapon_fired 0
17,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:17.713221,weapon_fired 0
18,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:17.784082,killed an enemy
19,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:17.789069,weapon_fired 1
20,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:17.853667,weapon_fired 0
21,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:17.934726,weapon_fired 0
22,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:27.241577,hp 460
23,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:27.245566,armor 91
24,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:27.248558,killed an enemy
25,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:27.255539,enemy_headshot
26,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:27.258531,weapon_fired 1
27,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:27.325584,weapon_fired 0
28,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:27.399387,weapon_fired 0
29,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:27.462218,weapon_fired 0
30,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:27.541008,killed an enemy
31,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:27.544998,weapon_fired 1
32,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:27.604993,weapon_fired 0
33,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:27.667825,weapon_fired 0
34,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:37.973700,stance_crouched 1
35,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:41.559345,complete_objective Saw_open_the_door
36,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:42.554319,activate_objective Defend_the_saw
37,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:58.980331,enemy_headshot
38,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:58.983324,hp 460
39,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:58.985320,armor 91
40,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:58.989307,killed an enemy
41,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:58.992299,weapon_fired 1
42,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:59.063109,weapon_fired 0
43,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:59.134917,weapon_fired 0
44,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:59.208746,weapon_fired 0
45,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:59.269557,weapon_fired 0
46,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:59.342363,enemy_headshot
47,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:59.348347,killed an enemy
48,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:59.355328,weapon_fired 1
49,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:59.414169,weapon_fired 0
50,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:59.481988,weapon_fired 0
51,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:59.552800,weapon_fired 0
52,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:59.620619,weapon_fired 0
53,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:59.674502,weapon_fired 0
54,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:23:59.751778,weapon_fired 0
55,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:24:23.013766,stance_crouched 1
56,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:24:24.223531,killed an enemy
57,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:24:24.230512,weapon_fired 1
58,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:24:24.305312,weapon_fired 0
59,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:24:24.650389,stance_crouched 1
60,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:24:31.144064,stance_crouched 1
61,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:24:31.675643,weapon_fired 0
62,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:24:31.748449,weapon_fired 0
63,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:24:32.120906,killed an enemy
64,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:24:32.126892,weapon_fired 1
65,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:24:32.207706,weapon_fired 0
66,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:24:32.647708,stance_crouched 1
67,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:24:39.860437,stance_crouched 0
68,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:24:43.012251,weapon_fired 1
69,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:24:43.083094,killed an enemy
70,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:24:43.089047,weapon_fired 1
71,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:24:43.162875,weapon_fired 0
72,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:24:43.241639,weapon_fired 0
73,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:24:44.348397,hp 460
74,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:24:44.349359,armor 91
75,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:24:44.353349,hp 460
76,easva,Profile-Visual+Weste+Thermal+Sound,2022-12-16 12:24:44.356341,armor 91
