,Player,Profile,Time,Event
0,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:54:23.554016,stance_crouched 0
1,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:54:26.766843,stance_crouched 0
2,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:54:26.804742,activate_objective Enter_the_bank
3,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:55:06.311041,stance_crouched 0
4,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:55:06.817686,stance_crouched 0
5,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:55:07.119909,stance_crouched 0
6,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:55:07.484885,weapon_fired 0
7,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:55:07.950640,stance_crouched 0
8,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:55:07.972581,stance_crouched 0
9,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:55:08.433349,stance_crouched 0
10,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:55:08.491701,stance_crouched 0
11,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:55:21.487863,stance_crouched 0
12,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:55:47.556245,stance_crouched 0
13,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:55:48.458044,stance_crouched 0
14,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:55:51.863600,stance_crouched 0
15,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:55:53.025150,stance_crouched 0
16,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:55:54.083384,stance_crouched 0
17,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:55:55.595926,stance_crouched 0
18,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:56:03.509540,stance_crouched 0
19,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:56:06.469112,stance_crouched 1
20,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:56:07.004672,stance_crouched 0
21,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:56:08.664040,stance_crouched 0
22,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:56:08.691965,stance_crouched 0
23,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:56:09.369878,stance_crouched 0
24,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:56:09.915418,stance_crouched 0
25,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:56:14.653382,complete_objective Enter_the_bank
26,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:56:15.636302,stance_crouched 1
27,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:56:15.666222,activate_objective Inspect_the_second_floor
28,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:56:16.621176,stance_crouched 0
29,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:56:55.199566,stance_crouched 1
30,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:56:56.673583,stance_crouched 0
31,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:56:59.358553,complete_objective Inspect_the_second_floor
32,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:57:00.362067,activate_objective Cut_a_hole_in_the_floor
33,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:57:02.817530,weapon_fired 0
34,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:57:03.078831,shielded hit
35,easva,Profile-Visual+Weste+Thermal,2022-12-16 11:57:03.088805,hp 460
