,Player,Profile,Time,Event
0,easva,Profile-Visual+Weste,2022-12-16 12:55:44.458767,hp 460
1,easva,Profile-Visual+Weste,2022-12-16 12:55:44.459766,armor 0
2,easva,Profile-Visual+Weste,2022-12-16 12:55:44.572463,stance_crouched 0
3,easva,Profile-Visual+Weste,2022-12-16 12:55:47.892470,stance_crouched 0
4,easva,Profile-Visual+Weste,2022-12-16 12:55:48.008161,activate_objective Enter_the_bank
5,easva,Profile-Visual+Weste,2022-12-16 12:55:50.437647,killed an enemy
6,easva,Profile-Visual+Weste,2022-12-16 12:55:50.442634,weapon_fired 1
7,easva,Profile-Visual+Weste,2022-12-16 12:55:50.521423,weapon_fired 0
8,easva,Profile-Visual+Weste,2022-12-16 12:55:50.603236,weapon_fired 0
9,easva,Profile-Visual+Weste,2022-12-16 12:55:50.677008,weapon_fired 0
10,easva,Profile-Visual+Weste,2022-12-16 12:55:50.748815,weapon_fired 0
11,easva,Profile-Visual+Weste,2022-12-16 12:55:50.808654,killed an enemy
12,easva,Profile-Visual+Weste,2022-12-16 12:55:50.812644,weapon_fired 1
13,easva,Profile-Visual+Weste,2022-12-16 12:55:50.872483,weapon_fired 0
14,easva,Profile-Visual+Weste,2022-12-16 12:55:50.945796,weapon_fired 0
15,easva,Profile-Visual+Weste,2022-12-16 12:55:51.017604,weapon_fired 0
16,easva,Profile-Visual+Weste,2022-12-16 12:55:51.078441,weapon_fired 0
17,easva,Profile-Visual+Weste,2022-12-16 12:55:51.143946,weapon_fired 0
18,easva,Profile-Visual+Weste,2022-12-16 12:55:51.212760,weapon_fired 0
19,easva,Profile-Visual+Weste,2022-12-16 12:55:51.286564,weapon_fired 0
20,easva,Profile-Visual+Weste,2022-12-16 12:55:51.611819,weapon_fired 0
21,easva,Profile-Visual+Weste,2022-12-16 12:55:51.694598,killed an enemy
22,easva,Profile-Visual+Weste,2022-12-16 12:55:51.699584,weapon_fired 1
23,easva,Profile-Visual+Weste,2022-12-16 12:55:51.763413,weapon_fired 0
24,easva,Profile-Visual+Weste,2022-12-16 12:55:51.832229,weapon_fired 0
25,easva,Profile-Visual+Weste,2022-12-16 12:55:52.072586,complete_objective Enter_the_bank
26,easva,Profile-Visual+Weste,2022-12-16 12:55:53.090540,activate_objective Inspect_the_second_floor
27,easva,Profile-Visual+Weste,2022-12-16 12:56:06.103434,complete_objective Inspect_the_second_floor
28,easva,Profile-Visual+Weste,2022-12-16 12:56:07.091794,activate_objective Saw_open_the_door
29,easva,Profile-Visual+Weste,2022-12-16 12:56:11.102960,stance_crouched 1
30,easva,Profile-Visual+Weste,2022-12-16 12:56:15.160667,complete_objective Saw_open_the_door
31,easva,Profile-Visual+Weste,2022-12-16 12:56:15.972330,stance_crouched 0
32,easva,Profile-Visual+Weste,2022-12-16 12:56:16.172764,activate_objective Defend_the_saw
33,easva,Profile-Visual+Weste,2022-12-16 12:56:17.260273,hp 460
34,easva,Profile-Visual+Weste,2022-12-16 12:56:17.262268,armor 91
35,easva,Profile-Visual+Weste,2022-12-16 12:56:17.267254,shielded hit
36,easva,Profile-Visual+Weste,2022-12-16 12:56:17.271244,hp 460
37,easva,Profile-Visual+Weste,2022-12-16 12:56:17.273238,armor 91
38,easva,Profile-Visual+Weste,2022-12-16 12:56:17.277228,health_subtracted 0
