,Player,Profile,Time,Event
0,easva,Profile-Visual,2022-12-16 12:41:14.619361,stance_crouched 0
1,easva,Profile-Visual,2022-12-16 12:41:18.046033,stance_crouched 0
2,easva,Profile-Visual,2022-12-16 12:41:18.118838,activate_objective Enter_the_bank
3,easva,Profile-Visual,2022-12-16 12:41:20.209908,complete_objective Enter_the_bank
4,easva,Profile-Visual,2022-12-16 12:41:20.818844,weapon_fired 0
5,easva,Profile-Visual,2022-12-16 12:41:20.900625,weapon_fired 0
6,easva,Profile-Visual,2022-12-16 12:41:20.974428,weapon_fired 1
7,easva,Profile-Visual,2022-12-16 12:41:21.215783,activate_objective Saw_open_the_door
8,easva,Profile-Visual,2022-12-16 12:41:21.576817,killed an enemy
9,easva,Profile-Visual,2022-12-16 12:41:21.580807,weapon_fired 1
10,easva,Profile-Visual,2022-12-16 12:41:21.653612,weapon_fired 0
11,easva,Profile-Visual,2022-12-16 12:41:22.094177,hp 460
12,easva,Profile-Visual,2022-12-16 12:41:22.097169,armor 91
13,easva,Profile-Visual,2022-12-16 12:41:22.101157,hp 460
14,easva,Profile-Visual,2022-12-16 12:41:22.103153,armor 91
15,easva,Profile-Visual,2022-12-16 12:41:22.107142,shielded hit
16,easva,Profile-Visual,2022-12-16 12:41:22.113126,hp 460
17,easva,Profile-Visual,2022-12-16 12:41:22.117115,armor 91
18,easva,Profile-Visual,2022-12-16 12:41:22.120107,health_subtracted 0
19,easva,Profile-Visual,2022-12-16 12:41:22.377846,hp 460
20,easva,Profile-Visual,2022-12-16 12:41:22.380838,armor 81
21,easva,Profile-Visual,2022-12-16 12:41:22.386821,shielded hit
22,easva,Profile-Visual,2022-12-16 12:41:22.394799,health_subtracted 0
23,easva,Profile-Visual,2022-12-16 12:41:22.399786,hp 460
24,easva,Profile-Visual,2022-12-16 12:41:22.401781,armor 81
25,easva,Profile-Visual,2022-12-16 12:41:22.404773,hp 460
26,easva,Profile-Visual,2022-12-16 12:41:22.406769,armor 81
27,easva,Profile-Visual,2022-12-16 12:41:22.845091,stance_crouched 1
28,easva,Profile-Visual,2022-12-16 12:41:22.929375,shielded hit
29,easva,Profile-Visual,2022-12-16 12:41:22.932367,hp 460
30,easva,Profile-Visual,2022-12-16 12:41:22.934361,armor 66
31,easva,Profile-Visual,2022-12-16 12:41:22.936356,hp 460
32,easva,Profile-Visual,2022-12-16 12:41:22.938351,armor 66
33,easva,Profile-Visual,2022-12-16 12:41:22.943338,health_subtracted 0
34,easva,Profile-Visual,2022-12-16 12:41:22.946330,hp 460
35,easva,Profile-Visual,2022-12-16 12:41:22.949322,armor 66
36,easva,Profile-Visual,2022-12-16 12:41:23.494864,shielded hit
37,easva,Profile-Visual,2022-12-16 12:41:23.501844,hp 460
38,easva,Profile-Visual,2022-12-16 12:41:23.503839,armor 51
39,easva,Profile-Visual,2022-12-16 12:41:23.505833,hp 460
40,easva,Profile-Visual,2022-12-16 12:41:23.508825,armor 51
41,easva,Profile-Visual,2022-12-16 12:41:23.512815,hp 460
42,easva,Profile-Visual,2022-12-16 12:41:23.514809,armor 51
43,easva,Profile-Visual,2022-12-16 12:41:23.519795,health_subtracted 0
44,easva,Profile-Visual,2022-12-16 12:41:25.621084,hp 460
45,easva,Profile-Visual,2022-12-16 12:41:25.624077,armor 41
46,easva,Profile-Visual,2022-12-16 12:41:25.629063,auto regenerate armor
47,easva,Profile-Visual,2022-12-16 12:41:26.832777,stance_crouched 0
48,easva,Profile-Visual,2022-12-16 12:41:27.495492,stance_crouched 1
49,easva,Profile-Visual,2022-12-16 12:41:31.258665,complete_objective Saw_open_the_door
50,easva,Profile-Visual,2022-12-16 12:41:32.257025,activate_objective Defend_the_saw
51,easva,Profile-Visual,2022-12-16 12:41:35.360581,stance_crouched 0
52,easva,Profile-Visual,2022-12-16 12:41:36.700742,stance_crouched 1
53,easva,Profile-Visual,2022-12-16 12:41:46.710152,stance_crouched 0
54,easva,Profile-Visual,2022-12-16 12:41:47.243995,stance_crouched 1
55,easva,Profile-Visual,2022-12-16 12:41:48.215991,stance_crouched 0
56,easva,Profile-Visual,2022-12-16 12:41:53.997447,weapon_fired 0
57,easva,Profile-Visual,2022-12-16 12:41:54.079226,weapon_fired 0
58,easva,Profile-Visual,2022-12-16 12:41:56.246901,auto regenerate armor
59,easva,Profile-Visual,2022-12-16 12:41:56.250864,hp 460
60,easva,Profile-Visual,2022-12-16 12:41:56.253855,armor 91
61,easva,Profile-Visual,2022-12-16 12:41:58.738459,stance_crouched 1
62,easva,Profile-Visual,2022-12-16 12:42:00.874664,stance_crouched 0
63,easva,Profile-Visual,2022-12-16 12:42:48.758064,stance_crouched 1
64,easva,Profile-Visual,2022-12-16 12:42:52.233248,weapon_fired 0
65,easva,Profile-Visual,2022-12-16 12:42:52.314032,weapon_fired 0
66,easva,Profile-Visual,2022-12-16 12:42:52.374870,weapon_fired 0
67,easva,Profile-Visual,2022-12-16 12:42:52.438570,weapon_fired 0
68,easva,Profile-Visual,2022-12-16 12:42:52.512372,weapon_fired 0
69,easva,Profile-Visual,2022-12-16 12:42:52.579193,weapon_fired 0
70,easva,Profile-Visual,2022-12-16 12:42:52.663063,weapon_fired 0
71,easva,Profile-Visual,2022-12-16 12:42:53.456402,stance_crouched 1
72,easva,Profile-Visual,2022-12-16 12:42:54.212887,weapon_fired 1
73,easva,Profile-Visual,2022-12-16 12:42:54.215879,weapon_fired 0
74,easva,Profile-Visual,2022-12-16 12:42:54.856295,enemy_headshot
75,easva,Profile-Visual,2022-12-16 12:42:54.860285,killed an enemy
76,easva,Profile-Visual,2022-12-16 12:42:54.865272,hp 460
77,easva,Profile-Visual,2022-12-16 12:42:54.868263,armor 91
78,easva,Profile-Visual,2022-12-16 12:42:54.873250,weapon_fired 0
79,easva,Profile-Visual,2022-12-16 12:42:56.105397,stance_crouched 1
80,easva,Profile-Visual,2022-12-16 12:42:57.090921,hp 460
81,easva,Profile-Visual,2022-12-16 12:42:57.092913,armor 91
82,easva,Profile-Visual,2022-12-16 12:42:57.096903,auto regenerate armor
83,easva,Profile-Visual,2022-12-16 12:42:59.065545,weapon_fired 0
84,easva,Profile-Visual,2022-12-16 12:42:59.142341,enemy_headshot
85,easva,Profile-Visual,2022-12-16 12:42:59.144366,hp 460
86,easva,Profile-Visual,2022-12-16 12:42:59.146330,armor 91
87,easva,Profile-Visual,2022-12-16 12:42:59.152313,killed an enemy
88,easva,Profile-Visual,2022-12-16 12:42:59.156303,weapon_fired 1
89,easva,Profile-Visual,2022-12-16 12:43:04.276713,complete_objective Defend_the_saw
90,easva,Profile-Visual,2022-12-16 12:43:05.253481,activate_objective Remove_the_saw
91,easva,Profile-Visual,2022-12-16 12:43:09.403327,complete_objective Remove_the_saw
92,easva,Profile-Visual,2022-12-16 12:43:12.405035,activate_objective Disable_the_security_shutters
93,easva,Profile-Visual,2022-12-16 12:43:12.746090,stance_crouched 0
94,easva,Profile-Visual,2022-12-16 12:43:16.152654,complete_objective Disable_the_security_shutters
95,easva,Profile-Visual,2022-12-16 12:43:17.139528,activate_objective Retrieve_the_equipment
96,easva,Profile-Visual,2022-12-16 12:43:26.417234,weapon_fired 0
97,easva,Profile-Visual,2022-12-16 12:43:26.506016,weapon_fired 0
98,easva,Profile-Visual,2022-12-16 12:43:26.576837,weapon_fired 0
99,easva,Profile-Visual,2022-12-16 12:43:26.970752,weapon_fired 0
100,easva,Profile-Visual,2022-12-16 12:43:27.056550,weapon_fired 1
101,easva,Profile-Visual,2022-12-16 12:43:27.128332,weapon_fired 0
102,easva,Profile-Visual,2022-12-16 12:43:27.198145,weapon_fired 0
103,easva,Profile-Visual,2022-12-16 12:43:27.270951,weapon_fired 0
104,easva,Profile-Visual,2022-12-16 12:43:27.335777,weapon_fired 0
105,easva,Profile-Visual,2022-12-16 12:43:27.410577,weapon_fired 0
106,easva,Profile-Visual,2022-12-16 12:43:27.470416,weapon_fired 0
107,easva,Profile-Visual,2022-12-16 12:43:27.548208,weapon_fired 0
108,easva,Profile-Visual,2022-12-16 12:43:27.611041,weapon_fired 0
109,easva,Profile-Visual,2022-12-16 12:43:27.676864,weapon_fired 0
110,easva,Profile-Visual,2022-12-16 12:43:27.741691,weapon_fired 0
111,easva,Profile-Visual,2022-12-16 12:43:27.805091,hp 460
112,easva,Profile-Visual,2022-12-16 12:43:27.807086,armor 91
113,easva,Profile-Visual,2022-12-16 12:43:27.811075,killed an enemy
114,easva,Profile-Visual,2022-12-16 12:43:27.816061,enemy_headshot
115,easva,Profile-Visual,2022-12-16 12:43:27.821048,weapon_fired 1
116,easva,Profile-Visual,2022-12-16 12:43:27.879847,weapon_fired 0
117,easva,Profile-Visual,2022-12-16 12:43:29.866251,auto regenerate armor
118,easva,Profile-Visual,2022-12-16 12:43:29.870253,hp 460
119,easva,Profile-Visual,2022-12-16 12:43:29.873234,armor 91
120,easva,Profile-Visual,2022-12-16 12:43:58.979272,auto regenerate armor
121,easva,Profile-Visual,2022-12-16 12:43:58.983260,hp 460
122,easva,Profile-Visual,2022-12-16 12:43:58.985281,armor 91
123,easva,Profile-Visual,2022-12-16 12:44:03.498639,stance_crouched 1
124,easva,Profile-Visual,2022-12-16 12:44:04.165854,stance_crouched 0
125,easva,Profile-Visual,2022-12-16 12:44:10.674054,hp 460
126,easva,Profile-Visual,2022-12-16 12:44:10.676049,armor 91
127,easva,Profile-Visual,2022-12-16 12:44:10.680038,auto regenerate armor
128,easva,Profile-Visual,2022-12-16 12:44:13.638321,hp 460
129,easva,Profile-Visual,2022-12-16 12:44:13.640316,armor 91
130,easva,Profile-Visual,2022-12-16 12:44:13.642311,auto regenerate armor
131,easva,Profile-Visual,2022-12-16 12:44:14.186855,complete_objective Retrieve_the_equipment
132,easva,Profile-Visual,2022-12-16 12:44:15.200321,activate_objective Place_the_thermite_on_the_vault
133,easva,Profile-Visual,2022-12-16 12:44:16.038489,hp 460
134,easva,Profile-Visual,2022-12-16 12:44:16.041480,armor 91
135,easva,Profile-Visual,2022-12-16 12:44:16.045471,shielded hit
136,easva,Profile-Visual,2022-12-16 12:44:16.051454,hp 460
137,easva,Profile-Visual,2022-12-16 12:44:16.053448,armor 91
138,easva,Profile-Visual,2022-12-16 12:44:16.059433,hp 460
139,easva,Profile-Visual,2022-12-16 12:44:16.061427,armor 91
140,easva,Profile-Visual,2022-12-16 12:44:16.065416,health_subtracted 0
141,easva,Profile-Visual,2022-12-16 12:44:18.191064,hp 460
142,easva,Profile-Visual,2022-12-16 12:44:18.193059,armor 89
143,easva,Profile-Visual,2022-12-16 12:44:18.196050,auto regenerate armor
144,easva,Profile-Visual,2022-12-16 12:44:18.270851,hp 460
145,easva,Profile-Visual,2022-12-16 12:44:18.273842,armor 90
146,easva,Profile-Visual,2022-12-16 12:44:18.277833,hp 460
147,easva,Profile-Visual,2022-12-16 12:44:18.280823,armor 90
148,easva,Profile-Visual,2022-12-16 12:44:18.283815,shielded hit
149,easva,Profile-Visual,2022-12-16 12:44:18.290797,health_subtracted 0
150,easva,Profile-Visual,2022-12-16 12:44:18.292791,hp 460
151,easva,Profile-Visual,2022-12-16 12:44:18.294785,armor 90
152,easva,Profile-Visual,2022-12-16 12:44:21.213110,stance_crouched 1
153,easva,Profile-Visual,2022-12-16 12:44:21.684882,hp 460
154,easva,Profile-Visual,2022-12-16 12:44:21.687904,armor 89
155,easva,Profile-Visual,2022-12-16 12:44:21.690867,auto regenerate armor
156,easva,Profile-Visual,2022-12-16 12:44:22.326312,stance_crouched 0
157,easva,Profile-Visual,2022-12-16 12:44:23.333763,weapon_fired 0
158,easva,Profile-Visual,2022-12-16 12:44:23.407566,weapon_fired 0
159,easva,Profile-Visual,2022-12-16 12:44:23.480373,weapon_fired 0
160,easva,Profile-Visual,2022-12-16 12:44:23.698789,weapon_fired 0
161,easva,Profile-Visual,2022-12-16 12:44:23.773588,weapon_fired 0
162,easva,Profile-Visual,2022-12-16 12:44:23.838414,weapon_fired 1
163,easva,Profile-Visual,2022-12-16 12:44:23.915209,killed an enemy
164,easva,Profile-Visual,2022-12-16 12:44:23.922191,weapon_fired 1
165,easva,Profile-Visual,2022-12-16 12:44:25.395381,killed an enemy
166,easva,Profile-Visual,2022-12-16 12:44:25.399371,weapon_fired 1
167,easva,Profile-Visual,2022-12-16 12:44:25.480155,weapon_fired 0
168,easva,Profile-Visual,2022-12-16 12:44:25.545979,weapon_fired 0
169,easva,Profile-Visual,2022-12-16 12:44:25.615792,weapon_fired 0
170,easva,Profile-Visual,2022-12-16 12:44:26.395072,hp 460
171,easva,Profile-Visual,2022-12-16 12:44:26.397067,armor 91
172,easva,Profile-Visual,2022-12-16 12:44:26.406043,tased
173,easva,Profile-Visual,2022-12-16 12:44:26.414022,tased
174,easva,Profile-Visual,2022-12-16 12:44:26.417045,stance_crouched 0
175,easva,Profile-Visual,2022-12-16 12:44:26.424993,stance_crouched 0
176,easva,Profile-Visual,2022-12-16 12:44:26.427984,weapon_fired 0
177,easva,Profile-Visual,2022-12-16 12:44:26.491030,weapon_fired 0
178,easva,Profile-Visual,2022-12-16 12:44:26.570816,weapon_fired 0
179,easva,Profile-Visual,2022-12-16 12:44:26.623676,weapon_fired 0
180,easva,Profile-Visual,2022-12-16 12:44:26.685538,weapon_fired 0
181,easva,Profile-Visual,2022-12-16 12:44:26.752362,weapon_fired 0
182,easva,Profile-Visual,2022-12-16 12:44:26.817159,weapon_fired 0
183,easva,Profile-Visual,2022-12-16 12:44:26.888966,weapon_fired 0
184,easva,Profile-Visual,2022-12-16 12:44:26.945813,hp 460
185,easva,Profile-Visual,2022-12-16 12:44:26.948806,armor 91
186,easva,Profile-Visual,2022-12-16 12:44:26.951798,auto regenerate armor
187,easva,Profile-Visual,2022-12-16 12:44:27.226064,weapon_fired 0
188,easva,Profile-Visual,2022-12-16 12:44:27.309841,weapon_fired 0
189,easva,Profile-Visual,2022-12-16 12:44:27.373112,weapon_fired 0
190,easva,Profile-Visual,2022-12-16 12:44:27.440937,weapon_fired 0
191,easva,Profile-Visual,2022-12-16 12:44:27.508126,weapon_fired 0
192,easva,Profile-Visual,2022-12-16 12:44:27.592898,weapon_fired 0
193,easva,Profile-Visual,2022-12-16 12:44:27.654768,weapon_fired 0
194,easva,Profile-Visual,2022-12-16 12:44:27.718563,weapon_fired 0
195,easva,Profile-Visual,2022-12-16 12:44:27.879076,stance_crouched 0
196,easva,Profile-Visual,2022-12-16 12:44:49.452104,complete_objective Place_the_thermite_on_the_vault
197,easva,Profile-Visual,2022-12-16 12:44:50.459520,activate_objective Wait_for_the_winch_parts
198,easva,Profile-Visual,2022-12-16 12:44:55.128957,weapon_fired 0
199,easva,Profile-Visual,2022-12-16 12:44:55.200765,weapon_fired 0
