,Player,Profile,Time,Event
0,hnkgs,Profile-Visual+Weste+Thermal+Sound,2022-12-09 13:30:47.557280,auto regenerate armor
1,hnkgs,Profile-Visual+Weste+Thermal+Sound,2022-12-09 13:30:47.559287,hp 460
2,hnkgs,Profile-Visual+Weste+Thermal+Sound,2022-12-09 13:30:47.562268,armor 0
3,hnkgs,Profile-Visual+Weste+Thermal+Sound,2022-12-09 13:30:47.565266,hp 460
4,hnkgs,Profile-Visual+Weste+Thermal+Sound,2022-12-09 13:30:47.567280,armor 0
5,hnkgs,Profile-Visual+Weste+Thermal+Sound,2022-12-09 13:30:47.673998,stance_crouched 0
6,hnkgs,Profile-Visual+Weste+Thermal+Sound,2022-12-09 13:30:48.864328,activate_objective Saw_open_the_door
7,hnkgs,Profile-Visual+Weste+Thermal+Sound,2022-12-09 13:30:50.761826,stance_crouched 0
8,hnkgs,Profile-Visual+Weste+Thermal+Sound,2022-12-09 13:30:52.133269,weapon_fired 0
9,hnkgs,Profile-Visual+Weste+Thermal+Sound,2022-12-09 13:30:52.218601,weapon_fired 0
10,hnkgs,Profile-Visual+Weste+Thermal+Sound,2022-12-09 13:30:52.764142,hp 460
11,hnkgs,Profile-Visual+Weste+Thermal+Sound,2022-12-09 13:30:52.766137,armor 91
12,hnkgs,Profile-Visual+Weste+Thermal+Sound,2022-12-09 13:30:52.770127,shielded hit
13,hnkgs,Profile-Visual+Weste+Thermal+Sound,2022-12-09 13:30:52.776111,hp 460
14,hnkgs,Profile-Visual+Weste+Thermal+Sound,2022-12-09 13:30:52.779103,armor 91
15,hnkgs,Profile-Visual+Weste+Thermal+Sound,2022-12-09 13:30:52.782094,hp 460
16,hnkgs,Profile-Visual+Weste+Thermal+Sound,2022-12-09 13:30:52.784088,armor 91
17,hnkgs,Profile-Visual+Weste+Thermal+Sound,2022-12-09 13:30:52.789075,health_subtracted 0
18,hnkgs,Profile-Visual+Weste+Thermal+Sound,2022-12-09 13:30:53.250770,hp 460
19,hnkgs,Profile-Visual+Weste+Thermal+Sound,2022-12-09 13:30:53.253763,armor 31
20,hnkgs,Profile-Visual+Weste+Thermal+Sound,2022-12-09 13:30:53.258749,shielded hit
21,hnkgs,Profile-Visual+Weste+Thermal+Sound,2022-12-09 13:30:53.262739,hp 460
22,hnkgs,Profile-Visual+Weste+Thermal+Sound,2022-12-09 13:30:53.264734,armor 31
23,hnkgs,Profile-Visual+Weste+Thermal+Sound,2022-12-09 13:30:53.269720,hp 460
24,hnkgs,Profile-Visual+Weste+Thermal+Sound,2022-12-09 13:30:53.272713,armor 31
