,Player,Profile,Time,Event
0,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:12.022243,stance_crouched 0
1,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:15.070423,stance_crouched 0
2,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:15.113310,activate_objective Enter_the_bank
3,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:21.406924,complete_objective Enter_the_bank
4,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:21.648851,stance_crouched 1
5,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:22.405967,activate_objective Saw_open_the_door
6,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:22.416937,stance_crouched 0
7,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:27.445550,hp 460
8,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:27.448543,armor 91
9,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:27.451535,killed an enemy
10,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:27.454527,enemy_headshot
11,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:27.461508,weapon_fired 1
12,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:27.522345,weapon_fired 0
13,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:29.256853,shielded hit
14,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:29.260843,hp 460
15,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:29.262837,armor 91
16,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:29.268821,hp 460
17,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:29.270815,armor 91
18,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:29.274804,hp 460
19,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:29.276800,armor 91
20,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:29.279791,health_subtracted 0
21,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:29.724038,hp 460
22,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:29.726032,armor 81
23,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:29.731019,shielded hit
24,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:29.736006,hp 460
25,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:29.738998,armor 81
26,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:29.741990,hp 460
27,hnkgs,Profile-Visual+Weste+Thermal,2022-12-09 14:21:29.743985,armor 81
