,Player,Profile,Time,Event
0,hnkgs,Profile-Visual+Weste,2022-12-09 14:04:55.610631,auto regenerate armor
1,hnkgs,Profile-Visual+Weste,2022-12-09 14:04:55.715352,stance_crouched 0
2,hnkgs,Profile-Visual+Weste,2022-12-09 14:04:58.606658,stance_crouched 0
3,hnkgs,Profile-Visual+Weste,2022-12-09 14:04:58.682455,activate_objective Enter_the_bank
4,hnkgs,Profile-Visual+Weste,2022-12-09 14:05:04.070956,complete_objective Enter_the_bank
5,hnkgs,Profile-Visual+Weste,2022-12-09 14:05:04.311314,enemy_headshot
6,hnkgs,Profile-Visual+Weste,2022-12-09 14:05:04.316300,hp 460
7,hnkgs,Profile-Visual+Weste,2022-12-09 14:05:04.318295,armor 91
8,hnkgs,Profile-Visual+Weste,2022-12-09 14:05:04.321286,killed an enemy
9,hnkgs,Profile-Visual+Weste,2022-12-09 14:05:04.328268,weapon_fired 1
10,hnkgs,Profile-Visual+Weste,2022-12-09 14:05:04.394091,weapon_fired 0
11,hnkgs,Profile-Visual+Weste,2022-12-09 14:05:04.897615,killed an enemy
12,hnkgs,Profile-Visual+Weste,2022-12-09 14:05:04.901605,weapon_fired 1
13,hnkgs,Profile-Visual+Weste,2022-12-09 14:05:05.072147,activate_objective Saw_open_the_door
14,hnkgs,Profile-Visual+Weste,2022-12-09 14:05:10.079826,complete_objective Saw_open_the_door
15,hnkgs,Profile-Visual+Weste,2022-12-09 14:05:11.079547,activate_objective Defend_the_saw
16,hnkgs,Profile-Visual+Weste,2022-12-09 14:05:50.866905,stance_crouched 0
17,hnkgs,Profile-Visual+Weste,2022-12-09 14:05:51.770810,stance_crouched 0
18,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:00.174626,weapon_fired 1
19,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:00.247431,weapon_fired 0
20,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:00.831231,hp 460
21,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:00.834225,armor 91
22,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:00.837216,shielded hit
23,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:00.843200,hp 460
24,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:00.845194,armor 91
25,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:00.848187,hp 460
26,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:00.850182,armor 91
27,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:00.855168,health_subtracted 0
28,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:01.579694,shielded hit
29,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:01.586676,hp 460
30,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:01.588671,armor 83
31,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:01.594656,hp 460
32,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:01.596650,armor 83
33,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:01.600639,hp 460
34,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:01.602633,armor 83
35,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:01.605625,health_subtracted 0
36,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:04.062941,auto regenerate armor
37,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:04.066930,hp 460
38,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:04.068929,armor 73
39,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:11.648425,killed an enemy
40,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:11.654410,weapon_fired 1
41,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:11.725220,weapon_fired 0
42,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:17.433169,auto regenerate armor
43,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:17.437156,hp 460
44,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:17.439155,armor 91
45,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:21.517829,enemy_headshot
46,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:21.522815,hp 460
47,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:21.525807,armor 91
48,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:21.531791,killed an enemy
49,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:21.534783,weapon_fired 1
50,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:21.601604,weapon_fired 0
51,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:21.659449,weapon_fired 0
52,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:22.237903,hp 460
53,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:22.239897,armor 91
54,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:22.242890,shielded hit
55,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:22.248873,health_subtracted 0
56,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:22.251866,hp 460
57,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:22.253861,armor 91
58,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:22.259846,hp 460
59,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:22.262837,armor 91
60,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:22.418420,enemy_headshot
61,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:22.421414,killed an enemy
62,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:22.427397,weapon_fired 1
63,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:25.532207,killed an enemy
64,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:25.536197,enemy_headshot
65,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:25.539189,hp 460
66,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:25.542181,armor 79
67,hnkgs,Profile-Visual+Weste,2022-12-09 14:06:25.546170,weapon_fired 1
