,Player,Profile,Time,Event
0,hnkgs,Profile-Visual,2022-12-09 13:50:09.492525,stance_crouched 0
1,hnkgs,Profile-Visual,2022-12-09 13:50:10.699784,activate_objective Inspect_the_second_floor
2,hnkgs,Profile-Visual,2022-12-09 13:50:12.645196,stance_crouched 0
3,hnkgs,Profile-Visual,2022-12-09 13:50:28.675110,complete_objective Inspect_the_second_floor
4,hnkgs,Profile-Visual,2022-12-09 13:50:29.703713,activate_objective Cut_a_hole_in_the_floor
5,hnkgs,Profile-Visual,2022-12-09 13:50:35.121236,complete_objective Cut_a_hole_in_the_floor
6,hnkgs,Profile-Visual,2022-12-09 13:50:36.086944,activate_objective Defend_the_cutter
7,hnkgs,Profile-Visual,2022-12-09 13:50:38.940323,enemy_headshot
8,hnkgs,Profile-Visual,2022-12-09 13:50:38.946304,hp 460
9,hnkgs,Profile-Visual,2022-12-09 13:50:38.948298,armor 91
10,hnkgs,Profile-Visual,2022-12-09 13:50:38.954283,killed an enemy
11,hnkgs,Profile-Visual,2022-12-09 13:50:38.957274,weapon_fired 1
12,hnkgs,Profile-Visual,2022-12-09 13:50:39.093909,weapon_fired 0
13,hnkgs,Profile-Visual,2022-12-09 13:50:39.165718,weapon_fired 0
14,hnkgs,Profile-Visual,2022-12-09 13:50:40.896440,shielded hit
15,hnkgs,Profile-Visual,2022-12-09 13:50:40.901427,hp 460
16,hnkgs,Profile-Visual,2022-12-09 13:50:40.903421,armor 91
17,hnkgs,Profile-Visual,2022-12-09 13:50:40.907411,health_subtracted 0
18,hnkgs,Profile-Visual,2022-12-09 13:50:40.911400,hp 460
19,hnkgs,Profile-Visual,2022-12-09 13:50:40.913395,armor 91
20,hnkgs,Profile-Visual,2022-12-09 13:50:40.917384,hp 460
21,hnkgs,Profile-Visual,2022-12-09 13:50:40.919379,armor 91
22,hnkgs,Profile-Visual,2022-12-09 13:50:41.901439,weapon_fired 0
23,hnkgs,Profile-Visual,2022-12-09 13:50:41.979740,weapon_fired 0
24,hnkgs,Profile-Visual,2022-12-09 13:50:42.633990,shielded hit
25,hnkgs,Profile-Visual,2022-12-09 13:50:42.639974,hp 460
26,hnkgs,Profile-Visual,2022-12-09 13:50:42.643963,armor 71
27,hnkgs,Profile-Visual,2022-12-09 13:50:42.646955,hp 460
28,hnkgs,Profile-Visual,2022-12-09 13:50:42.648950,armor 71
29,hnkgs,Profile-Visual,2022-12-09 13:50:42.654933,hp 460
30,hnkgs,Profile-Visual,2022-12-09 13:50:42.656930,armor 71
31,hnkgs,Profile-Visual,2022-12-09 13:50:42.661915,health_subtracted 0
32,hnkgs,Profile-Visual,2022-12-09 13:50:43.153193,weapon_fired 0
33,hnkgs,Profile-Visual,2022-12-09 13:50:43.235972,weapon_fired 0
34,hnkgs,Profile-Visual,2022-12-09 13:50:43.312767,weapon_fired 0
35,hnkgs,Profile-Visual,2022-12-09 13:50:43.383579,weapon_fired 0
36,hnkgs,Profile-Visual,2022-12-09 13:50:44.122112,hp 460
37,hnkgs,Profile-Visual,2022-12-09 13:50:44.124107,armor 41
38,hnkgs,Profile-Visual,2022-12-09 13:50:44.129093,killed an enemy
39,hnkgs,Profile-Visual,2022-12-09 13:50:44.133082,enemy_headshot
40,hnkgs,Profile-Visual,2022-12-09 13:50:44.138069,weapon_fired 1
41,hnkgs,Profile-Visual,2022-12-09 13:50:44.209877,weapon_fired 0
42,hnkgs,Profile-Visual,2022-12-09 13:50:44.275701,weapon_fired 0
43,hnkgs,Profile-Visual,2022-12-09 13:50:44.343519,weapon_fired 0
44,hnkgs,Profile-Visual,2022-12-09 13:50:45.559482,auto regenerate armor
45,hnkgs,Profile-Visual,2022-12-09 13:50:45.566463,hp 460
46,hnkgs,Profile-Visual,2022-12-09 13:50:45.568458,armor 66
47,hnkgs,Profile-Visual,2022-12-09 13:50:52.240821,hp 460
48,hnkgs,Profile-Visual,2022-12-09 13:50:52.242816,armor 91
49,hnkgs,Profile-Visual,2022-12-09 13:50:52.245808,killed an enemy
50,hnkgs,Profile-Visual,2022-12-09 13:50:52.249797,enemy_headshot
51,hnkgs,Profile-Visual,2022-12-09 13:50:52.253786,weapon_fired 1
52,hnkgs,Profile-Visual,2022-12-09 13:50:52.332609,weapon_fired 0
53,hnkgs,Profile-Visual,2022-12-09 13:50:52.901053,weapon_fired 0
54,hnkgs,Profile-Visual,2022-12-09 13:50:52.977847,weapon_fired 0
55,hnkgs,Profile-Visual,2022-12-09 13:50:53.049655,enemy_headshot
56,hnkgs,Profile-Visual,2022-12-09 13:50:53.056637,killed an enemy
57,hnkgs,Profile-Visual,2022-12-09 13:50:53.061623,weapon_fired 1
58,hnkgs,Profile-Visual,2022-12-09 13:50:54.140560,weapon_fired 0
59,hnkgs,Profile-Visual,2022-12-09 13:50:54.223845,killed an enemy
60,hnkgs,Profile-Visual,2022-12-09 13:50:54.227836,weapon_fired 1
61,hnkgs,Profile-Visual,2022-12-09 13:50:54.288672,weapon_fired 0
62,hnkgs,Profile-Visual,2022-12-09 13:50:54.352501,weapon_fired 0
63,hnkgs,Profile-Visual,2022-12-09 13:50:59.519726,hp 460
64,hnkgs,Profile-Visual,2022-12-09 13:50:59.521721,armor 91
65,hnkgs,Profile-Visual,2022-12-09 13:50:59.526707,auto regenerate armor
66,hnkgs,Profile-Visual,2022-12-09 13:51:05.838313,auto regenerate armor
67,hnkgs,Profile-Visual,2022-12-09 13:51:05.844298,hp 460
68,hnkgs,Profile-Visual,2022-12-09 13:51:05.846292,armor 91
69,hnkgs,Profile-Visual,2022-12-09 13:51:06.552406,hp 460
70,hnkgs,Profile-Visual,2022-12-09 13:51:06.555399,armor 91
71,hnkgs,Profile-Visual,2022-12-09 13:51:06.561382,hp 460
72,hnkgs,Profile-Visual,2022-12-09 13:51:06.563377,armor 91
73,hnkgs,Profile-Visual,2022-12-09 13:51:06.567367,hp 460
74,hnkgs,Profile-Visual,2022-12-09 13:51:06.569368,armor 91
75,hnkgs,Profile-Visual,2022-12-09 13:51:06.573351,health_subtracted 0
76,hnkgs,Profile-Visual,2022-12-09 13:51:06.577339,shielded hit
77,hnkgs,Profile-Visual,2022-12-09 13:51:07.036621,hp 460
78,hnkgs,Profile-Visual,2022-12-09 13:51:07.038616,armor 61
79,hnkgs,Profile-Visual,2022-12-09 13:51:07.043602,shielded hit
80,hnkgs,Profile-Visual,2022-12-09 13:51:07.046594,hp 460
81,hnkgs,Profile-Visual,2022-12-09 13:51:07.049586,armor 61
82,hnkgs,Profile-Visual,2022-12-09 13:51:07.053577,health_subtracted 0
83,hnkgs,Profile-Visual,2022-12-09 13:51:07.056567,hp 460
84,hnkgs,Profile-Visual,2022-12-09 13:51:07.058562,armor 61
85,hnkgs,Profile-Visual,2022-12-09 13:51:07.550247,shielded hit
86,hnkgs,Profile-Visual,2022-12-09 13:51:07.554236,hp 460
87,hnkgs,Profile-Visual,2022-12-09 13:51:07.556231,armor 31
88,hnkgs,Profile-Visual,2022-12-09 13:51:07.562215,health_subtracted 0
89,hnkgs,Profile-Visual,2022-12-09 13:51:07.565207,hp 460
90,hnkgs,Profile-Visual,2022-12-09 13:51:07.568199,armor 31
91,hnkgs,Profile-Visual,2022-12-09 13:51:07.571191,hp 460
92,hnkgs,Profile-Visual,2022-12-09 13:51:07.573186,armor 31
93,hnkgs,Profile-Visual,2022-12-09 13:51:08.035839,shielded hit
94,hnkgs,Profile-Visual,2022-12-09 13:51:08.042820,hp 460
95,hnkgs,Profile-Visual,2022-12-09 13:51:08.044816,armor 1
96,hnkgs,Profile-Visual,2022-12-09 13:51:08.053792,hp 460
97,hnkgs,Profile-Visual,2022-12-09 13:51:08.055786,armor 1
98,hnkgs,Profile-Visual,2022-12-09 13:51:08.059777,health_subtracted 0
99,hnkgs,Profile-Visual,2022-12-09 13:51:08.062767,hp 460
100,hnkgs,Profile-Visual,2022-12-09 13:51:08.064795,armor 1
101,hnkgs,Profile-Visual,2022-12-09 13:51:08.532511,unshielded hit
102,hnkgs,Profile-Visual,2022-12-09 13:51:08.540490,hp 460
103,hnkgs,Profile-Visual,2022-12-09 13:51:08.543483,armor 0
104,hnkgs,Profile-Visual,2022-12-09 13:51:08.552458,health_subtracted 3
105,hnkgs,Profile-Visual,2022-12-09 13:51:08.557445,hp 430
106,hnkgs,Profile-Visual,2022-12-09 13:51:08.559439,armor 0
107,hnkgs,Profile-Visual,2022-12-09 13:51:08.564426,hp 444
108,hnkgs,Profile-Visual,2022-12-09 13:51:08.566421,armor 0
109,hnkgs,Profile-Visual,2022-12-09 13:51:08.570410,hp 444
110,hnkgs,Profile-Visual,2022-12-09 13:51:08.573401,armor 0
111,hnkgs,Profile-Visual,2022-12-09 13:51:08.578388,hp 444
112,hnkgs,Profile-Visual,2022-12-09 13:51:08.580383,armor 0
113,hnkgs,Profile-Visual,2022-12-09 13:51:08.589358,hp 444
114,hnkgs,Profile-Visual,2022-12-09 13:51:08.591354,armor 0
115,hnkgs,Profile-Visual,2022-12-09 13:51:11.007809,hp 444
116,hnkgs,Profile-Visual,2022-12-09 13:51:11.009803,armor 0
117,hnkgs,Profile-Visual,2022-12-09 13:51:11.012795,auto regenerate armor
