,Player,Profile,Time,Event
0,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:14.999714,stance_crouched 0
1,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:16.110964,activate_objective Inspect_the_second_floor
2,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:18.048398,stance_crouched 0
3,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:30.205911,weapon_fired 1
4,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:30.210912,killed an enemy
5,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:30.284929,weapon_fired 0
6,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:33.010540,complete_objective Inspect_the_second_floor
7,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:34.013605,activate_objective Cut_a_hole_in_the_floor
8,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:38.233841,complete_objective Cut_a_hole_in_the_floor
9,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:39.210060,activate_objective Defend_the_cutter
10,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:39.366095,stance_crouched 0
11,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:40.463341,weapon_fired 0
12,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:40.541359,hp 460
13,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:40.543359,armor 91
14,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:40.547360,enemy_headshot
15,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:40.550361,killed an enemy
16,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:40.554362,weapon_fired 1
17,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:41.421556,stance_crouched 0
18,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:45.512474,hp 460
19,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:45.515475,armor 91
20,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:45.531478,shielded hit
21,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:45.539480,hp 460
22,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:45.541480,armor 91
23,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:45.547482,hp 460
24,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:45.549482,armor 91
25,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:45.553483,health_subtracted 0
26,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:47.574937,hp 460
27,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:47.577937,armor 71
28,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:47.581938,enemy_headshot
29,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:47.585939,killed an enemy
30,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:47.588940,weapon_fired 1
31,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:47.674959,weapon_fired 0
32,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:48.630173,enemy_headshot
33,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:48.635174,killed an enemy
34,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:48.639175,weapon_fired 1
35,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:48.714192,weapon_fired 0
36,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:51.021105,hp 460
37,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:51.023105,armor 91
38,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:51.027106,enemy_headshot
39,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:51.031107,killed an enemy
40,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:51.034108,weapon_fired 1
41,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:51.105125,killed an enemy
42,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:51.109125,weapon_fired 1
43,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:51.261158,weapon_fired 0
44,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:51.423195,weapon_fired 0
45,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:51.494211,weapon_fired 0
46,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:51.610237,weapon_fired 0
47,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:51.685254,weapon_fired 0
48,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:51.856292,hp 460
49,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:51.858293,armor 91
50,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:51.873296,shielded hit
51,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:51.884299,hp 460
52,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:51.887299,armor 91
53,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:51.893300,hp 460
54,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:51.896301,armor 91
55,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:51.900302,health_subtracted 0
56,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:52.083343,weapon_fired 0
57,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:52.159360,weapon_fired 0
58,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:52.285388,enemy_headshot
59,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:52.290389,killed an enemy
60,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:52.296391,weapon_fired 1
61,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:52.373408,weapon_fired 0
62,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:54.335082,hp 460
63,hrzup,Profile-Visual+Weste+Thermal+Sound,2022-12-20 17:37:54.338083,armor 83
