,Player,Profile,Time,Event
0,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:19:17.023700,stance_crouched 0
1,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:19:20.087410,stance_crouched 0
2,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:19:20.186432,activate_objective Enter_the_bank
3,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:19:27.475446,stance_crouched 0
4,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:19:28.220612,stance_crouched 0
5,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:19:29.169825,complete_objective Enter_the_bank
6,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:19:30.180052,activate_objective Inspect_the_second_floor
7,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:19:52.427232,killed an enemy
8,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:19:52.430233,weapon_fired 1
9,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:19:52.509251,weapon_fired 0
10,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:19:52.579268,weapon_fired 0
11,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:19:52.652283,weapon_fired 0
12,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:19:56.285150,complete_objective Inspect_the_second_floor
13,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:19:57.288506,activate_objective Cut_a_hole_in_the_floor
14,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:04.216350,complete_objective Cut_a_hole_in_the_floor
15,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:05.186567,activate_objective Defend_the_cutter
16,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:08.003612,stance_crouched 0
17,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:08.818699,weapon_fired 0
18,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:08.901745,weapon_fired 0
19,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:09.159781,weapon_fired 0
20,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:09.236799,weapon_fired 0
21,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:09.533897,weapon_fired 0
22,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:09.619916,weapon_fired 0
23,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:09.688932,weapon_fired 0
24,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:09.792955,weapon_fired 0
25,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:09.866767,weapon_fired 0
26,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:13.095520,stance_crouched 0
27,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:14.437821,stance_crouched 0
28,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:15.049958,weapon_fired 0
29,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:15.128976,weapon_fired 0
30,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:18.606570,killed an enemy
31,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:18.610571,weapon_fired 1
32,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:18.688588,weapon_fired 0
33,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:18.982654,weapon_fired 0
34,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:19.053670,weapon_fired 0
35,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:19.122685,weapon_fired 0
36,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:20.284946,weapon_fired 1
37,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:20.355962,killed an enemy
38,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:20.360963,weapon_fired 1
39,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:20.577012,weapon_fired 0
40,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:20.659030,weapon_fired 0
41,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:20.934479,weapon_fired 1
42,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:21.010496,weapon_fired 0
43,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:21.651597,killed an enemy
44,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:21.664600,weapon_fired 1
45,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:21.732615,weapon_fired 0
46,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:21.956666,weapon_fired 0
47,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:22.040685,weapon_fired 0
48,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:22.345149,weapon_fired 0
49,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:22.424167,weapon_fired 0
50,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:23.920116,weapon_fired 0
51,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:23.992131,weapon_fired 1
52,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:24.066149,hp 460
53,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:24.069148,armor 91
54,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:24.073150,enemy_headshot
55,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:24.078151,killed an enemy
56,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:24.081151,weapon_fired 1
57,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:24.357213,weapon_fired 0
58,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:24.427229,weapon_fired 0
59,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:25.981166,killed an enemy
60,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:25.985167,weapon_fired 1
61,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:26.067979,weapon_fired 0
62,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:26.399053,weapon_fired 0
63,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:26.471381,weapon_fired 0
64,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:26.543268,weapon_fired 0
65,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:27.528588,weapon_fired 1
66,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:27.610606,hp 460
67,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:27.612607,armor 91
68,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:27.615608,enemy_headshot
69,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:27.619609,killed an enemy
70,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:27.623610,weapon_fired 1
71,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:27.753639,weapon_fired 0
72,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:27.763641,stance_crouched 0
73,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:28.612832,stance_crouched 1
74,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:30.457042,stance_crouched 0
75,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:30.726103,stance_crouched 0
76,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:31.429370,hp 460
77,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:31.431371,armor 91
78,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:31.435372,shielded hit
79,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:31.442374,hp 460
80,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:31.445374,armor 91
81,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:31.450375,hp 460
82,hrzup,Profile-Visual+Weste+Thermal,2022-12-20 17:20:31.452375,armor 91
