,Player,Profile,Time,Event
0,hrzup,Profile-Visual,2022-12-20 17:56:35.432059,stance_crouched 0
1,hrzup,Profile-Visual,2022-12-20 17:56:38.332509,stance_crouched 0
2,hrzup,Profile-Visual,2022-12-20 17:56:38.365516,activate_objective Enter_the_bank
3,hrzup,Profile-Visual,2022-12-20 17:56:40.755043,complete_objective Enter_the_bank
4,hrzup,Profile-Visual,2022-12-20 17:56:41.764269,activate_objective Saw_open_the_door
5,hrzup,Profile-Visual,2022-12-20 17:56:45.166033,hp 460
6,hrzup,Profile-Visual,2022-12-20 17:56:45.169034,armor 91
7,hrzup,Profile-Visual,2022-12-20 17:56:45.173034,shielded hit
8,hrzup,Profile-Visual,2022-12-20 17:56:45.179035,hp 460
9,hrzup,Profile-Visual,2022-12-20 17:56:45.181035,armor 91
10,hrzup,Profile-Visual,2022-12-20 17:56:45.184036,hp 460
11,hrzup,Profile-Visual,2022-12-20 17:56:45.187037,armor 91
12,hrzup,Profile-Visual,2022-12-20 17:56:45.190038,health_subtracted 0
13,hrzup,Profile-Visual,2022-12-20 17:56:45.307064,hp 460
14,hrzup,Profile-Visual,2022-12-20 17:56:45.309065,armor 84
15,hrzup,Profile-Visual,2022-12-20 17:56:45.313065,enemy_headshot
16,hrzup,Profile-Visual,2022-12-20 17:56:45.316066,killed an enemy
17,hrzup,Profile-Visual,2022-12-20 17:56:45.320067,weapon_fired 1
18,hrzup,Profile-Visual,2022-12-20 17:56:45.388082,weapon_fired 0
19,hrzup,Profile-Visual,2022-12-20 17:56:47.660593,hp 460
20,hrzup,Profile-Visual,2022-12-20 17:56:47.662593,armor 91
21,hrzup,Profile-Visual,2022-12-20 17:56:47.666593,auto regenerate armor
22,hrzup,Profile-Visual,2022-12-20 17:57:06.734314,complete_objective Saw_open_the_door
23,hrzup,Profile-Visual,2022-12-20 17:57:07.736554,activate_objective Defend_the_saw
24,hrzup,Profile-Visual,2022-12-20 17:57:24.576073,stance_crouched 0
25,hrzup,Profile-Visual,2022-12-20 17:57:25.424768,weapon_fired 1
26,hrzup,Profile-Visual,2022-12-20 17:57:25.501786,killed an enemy
