,Player,Profile,Time,Event
0,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:02.401504,stance_crouched 0
1,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:05.284159,stance_crouched 0
2,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:05.392183,activate_objective Enter_the_bank
3,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:07.564682,complete_objective Enter_the_bank
4,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:08.584918,activate_objective Inspect_the_second_floor
5,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:09.040021,stance_crouched 0
6,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:10.498538,stance_crouched 0
7,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:28.892036,complete_objective Inspect_the_second_floor
8,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:29.894584,activate_objective Saw_open_the_door
9,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:34.808534,complete_objective Saw_open_the_door
10,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:35.813761,activate_objective Defend_the_saw
11,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:38.068439,stance_crouched 0
12,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:39.612845,hp 460
13,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:39.615845,armor 91
14,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:39.646852,shielded hit
15,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:39.652853,hp 460
16,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:39.655855,armor 91
17,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:39.662855,health_subtracted 0
18,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:39.667858,hp 460
19,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:39.669857,armor 91
20,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:40.159096,hp 460
21,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:40.161096,armor 71
22,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:40.174100,shielded hit
23,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:40.181101,hp 460
24,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:40.184102,armor 71
25,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:40.188102,hp 460
26,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:40.190103,armor 71
27,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:40.194103,health_subtracted 0
28,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:40.266120,hp 460
29,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:40.268120,armor 66
30,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:40.271120,enemy_headshot
31,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:40.275122,killed an enemy
32,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:40.279122,weapon_fired 1
33,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:40.348138,weapon_fired 0
34,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:40.408152,weapon_fired 0
35,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:40.471166,weapon_fired 0
36,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:40.536189,weapon_fired 0
37,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:40.799249,hp 460
38,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:40.801250,armor 86
39,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:40.805249,shielded hit
40,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:40.810252,hp 460
41,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:40.813252,armor 86
42,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:40.818258,hp 460
43,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:40.821259,armor 86
44,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:40.825260,health_subtracted 0
45,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:43.736920,weapon_fired 0
46,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:43.753925,hp 460
47,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:43.756924,armor 76
48,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:43.760926,auto regenerate armor
49,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:43.834941,weapon_fired 0
50,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:43.891955,killed an enemy
51,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:43.895956,weapon_fired 1
52,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:43.969973,weapon_fired 0
53,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:44.033988,weapon_fired 0
54,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:44.101003,weapon_fired 0
55,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:44.166018,weapon_fired 0
56,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:44.243035,weapon_fired 0
57,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:44.307049,weapon_fired 0
58,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:44.393069,hp 460
59,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:44.395070,armor 91
60,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:44.403071,shielded hit
61,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:44.411073,hp 460
62,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:44.413074,armor 91
63,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:44.419076,hp 460
64,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:44.421076,armor 91
65,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:44.429077,health_subtracted 0
66,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:44.559107,weapon_fired 0
67,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:44.632123,weapon_fired 0
68,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:44.704140,weapon_fired 0
69,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:44.762152,weapon_fired 0
70,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:44.831169,weapon_fired 0
71,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:44.904186,weapon_fired 0
72,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:44.963199,weapon_fired 0
73,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:45.032214,weapon_fired 0
74,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:45.220257,hp 460
75,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:45.222256,armor 56
76,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:45.226258,shielded hit
77,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:45.233259,hp 460
78,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:45.235260,armor 56
79,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:45.239262,hp 460
80,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:45.242261,armor 56
81,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:45.245261,health_subtracted 0
82,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:45.477314,weapon_fired 0
83,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:45.541329,weapon_fired 0
84,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:45.617347,weapon_fired 0
85,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:45.687362,weapon_fired 0
86,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:45.727372,hp 460
87,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:45.729372,armor 21
88,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:45.737374,hp 460
89,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:45.740375,armor 21
90,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:45.743375,shielded hit
91,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:45.747376,hp 460
92,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:45.750377,armor 21
93,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:45.753379,health_subtracted 0
94,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:45.789385,weapon_fired 0
95,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:45.857401,weapon_fired 0
96,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:46.108458,weapon_fired 0
97,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:46.179473,weapon_fired 0
98,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:46.253490,weapon_fired 0
99,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:46.318505,weapon_fired 0
100,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:46.557560,hp 460
101,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:46.560560,armor 0
102,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:46.571563,unshielded hit
103,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:46.578564,hp 425
104,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:46.581565,armor 0
105,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:46.585567,health_subtracted 3.5
106,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:46.606572,hp 439
107,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:46.609572,armor 0
108,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:46.612572,hp 439
109,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:46.615573,armor 0
110,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:46.619573,hp 439
111,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:46.621573,armor 0
112,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:46.625575,hp 439
113,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:46.628576,armor 0
114,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:46.808617,stance_crouched 0
115,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:47.957876,stance_crouched 0
116,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:48.572529,stance_crouched 0
117,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:49.043746,hp 439
118,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:49.045746,armor 0
119,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:49.049748,hp 439
120,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:49.051748,armor 0
121,juheo,Profile-Visual+Weste+Thermal+Sound,2022-12-04 15:25:49.055749,auto regenerate armor
