,Player,Profile,Time,Event
0,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:45.571180,hp 368
1,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:45.574180,armor 91
2,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:45.578181,hp 368
3,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:45.581182,armor 91
4,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:45.584182,hp 368
5,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:45.586184,armor 91
6,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:45.591185,hp 368
7,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:45.594185,armor 91
8,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:47.131541,complete_objective Defend_the_saw
9,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:48.126272,activate_objective Remove_the_saw
10,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:50.560915,hp 381
11,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:50.562915,armor 91
12,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:50.567916,hp 381
13,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:50.570917,armor 91
14,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:50.575918,hp 381
15,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:50.577919,armor 91
16,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:50.583921,hp 381
17,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:50.586921,armor 91
18,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:50.603924,stance_crouched 0
19,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:52.368249,hp 381
20,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:52.371249,armor 91
21,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:52.375251,shielded hit
22,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:52.379252,hp 381
23,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:52.382252,armor 91
24,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:52.386253,hp 381
25,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:52.388254,armor 91
26,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:52.392254,health_subtracted 0
27,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:53.914131,tased
28,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:53.920132,hp 381
29,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:53.924132,armor 83
30,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:53.928133,tased
31,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:53.932135,stance_crouched 0
32,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:53.936134,stance_crouched 0
33,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:53.943137,weapon_fired 0
34,juheo,Profile-Visual+Weste+Thermal,2022-12-04 15:09:54.844798,hp 381
