,Player,Profile,Time,Event
0,juheo,Profile-Visual+Weste,2022-12-04 14:43:49.358481,stance_crouched 0
1,juheo,Profile-Visual+Weste,2022-12-04 14:43:52.586267,stance_crouched 0
2,juheo,Profile-Visual+Weste,2022-12-04 14:43:52.709299,activate_objective Enter_the_bank
3,juheo,Profile-Visual+Weste,2022-12-04 14:43:58.358848,stance_crouched 0
4,juheo,Profile-Visual+Weste,2022-12-04 14:43:58.821953,killed an enemy
5,juheo,Profile-Visual+Weste,2022-12-04 14:43:58.825954,weapon_fired 1
6,juheo,Profile-Visual+Weste,2022-12-04 14:43:58.909973,weapon_fired 0
7,juheo,Profile-Visual+Weste,2022-12-04 14:43:58.978962,weapon_fired 0
8,juheo,Profile-Visual+Weste,2022-12-04 14:44:06.386570,stance_crouched 0
9,juheo,Profile-Visual+Weste,2022-12-04 14:44:07.036896,stance_crouched 0
10,juheo,Profile-Visual+Weste,2022-12-04 14:44:09.334334,stance_crouched 0
11,juheo,Profile-Visual+Weste,2022-12-04 14:44:11.310787,stance_crouched 0
12,juheo,Profile-Visual+Weste,2022-12-04 14:44:11.392805,stance_crouched 0
13,juheo,Profile-Visual+Weste,2022-12-04 14:44:11.704875,stance_crouched 0
14,juheo,Profile-Visual+Weste,2022-12-04 14:44:12.454051,stance_crouched 0
15,juheo,Profile-Visual+Weste,2022-12-04 14:44:14.299266,complete_objective Enter_the_bank
16,juheo,Profile-Visual+Weste,2022-12-04 14:44:15.304494,activate_objective Inspect_the_second_floor
17,juheo,Profile-Visual+Weste,2022-12-04 14:44:24.943517,stance_crouched 0
18,juheo,Profile-Visual+Weste,2022-12-04 14:44:25.559629,stance_crouched 0
19,juheo,Profile-Visual+Weste,2022-12-04 14:44:26.195773,stance_crouched 0
20,juheo,Profile-Visual+Weste,2022-12-04 14:44:26.644874,stance_crouched 0
21,juheo,Profile-Visual+Weste,2022-12-04 14:44:36.640963,stance_crouched 1
22,juheo,Profile-Visual+Weste,2022-12-04 14:44:37.283109,weapon_fired 0
23,juheo,Profile-Visual+Weste,2022-12-04 14:44:42.079024,stance_crouched 0
24,juheo,Profile-Visual+Weste,2022-12-04 14:44:52.393792,hp 460
25,juheo,Profile-Visual+Weste,2022-12-04 14:44:52.396792,armor 91
26,juheo,Profile-Visual+Weste,2022-12-04 14:44:52.400794,shielded hit
27,juheo,Profile-Visual+Weste,2022-12-04 14:44:52.411796,hp 460
28,juheo,Profile-Visual+Weste,2022-12-04 14:44:52.414796,armor 91
29,juheo,Profile-Visual+Weste,2022-12-04 14:44:52.418797,hp 460
30,juheo,Profile-Visual+Weste,2022-12-04 14:44:52.420797,armor 91
31,juheo,Profile-Visual+Weste,2022-12-04 14:44:52.433800,health_subtracted 0
32,juheo,Profile-Visual+Weste,2022-12-04 14:44:52.863897,hp 460
33,juheo,Profile-Visual+Weste,2022-12-04 14:44:52.865898,armor 61
34,juheo,Profile-Visual+Weste,2022-12-04 14:44:52.868899,shielded hit
35,juheo,Profile-Visual+Weste,2022-12-04 14:44:52.878901,hp 460
36,juheo,Profile-Visual+Weste,2022-12-04 14:44:52.881902,armor 61
37,juheo,Profile-Visual+Weste,2022-12-04 14:44:52.889904,hp 460
38,juheo,Profile-Visual+Weste,2022-12-04 14:44:52.891905,armor 61
39,juheo,Profile-Visual+Weste,2022-12-04 14:44:52.895905,health_subtracted 0
40,juheo,Profile-Visual+Weste,2022-12-04 14:44:53.305998,complete_objective Inspect_the_second_floor
41,juheo,Profile-Visual+Weste,2022-12-04 14:44:54.303307,activate_objective Saw_open_the_door
42,juheo,Profile-Visual+Weste,2022-12-04 14:44:55.339617,hp 460
43,juheo,Profile-Visual+Weste,2022-12-04 14:44:55.341597,armor 31
44,juheo,Profile-Visual+Weste,2022-12-04 14:44:55.345530,auto regenerate armor
45,juheo,Profile-Visual+Weste,2022-12-04 14:44:59.573973,complete_objective Saw_open_the_door
46,juheo,Profile-Visual+Weste,2022-12-04 14:45:00.580116,activate_objective Defend_the_saw
47,juheo,Profile-Visual+Weste,2022-12-04 14:45:03.117821,stance_crouched 0
48,juheo,Profile-Visual+Weste,2022-12-04 14:45:03.641939,stance_crouched 0
49,juheo,Profile-Visual+Weste,2022-12-04 14:45:04.159057,stance_crouched 0
50,juheo,Profile-Visual+Weste,2022-12-04 14:45:06.405348,hp 460
51,juheo,Profile-Visual+Weste,2022-12-04 14:45:06.408350,armor 91
52,juheo,Profile-Visual+Weste,2022-12-04 14:45:06.411349,enemy_headshot
53,juheo,Profile-Visual+Weste,2022-12-04 14:45:06.414350,killed an enemy
54,juheo,Profile-Visual+Weste,2022-12-04 14:45:06.418353,weapon_fired 1
55,juheo,Profile-Visual+Weste,2022-12-04 14:45:06.493368,weapon_fired 0
56,juheo,Profile-Visual+Weste,2022-12-04 14:45:06.568386,enemy_headshot
57,juheo,Profile-Visual+Weste,2022-12-04 14:45:06.573386,killed an enemy
58,juheo,Profile-Visual+Weste,2022-12-04 14:45:06.577388,weapon_fired 1
59,juheo,Profile-Visual+Weste,2022-12-04 14:45:06.639401,weapon_fired 0
60,juheo,Profile-Visual+Weste,2022-12-04 14:45:06.668408,hp 460
61,juheo,Profile-Visual+Weste,2022-12-04 14:45:06.670410,armor 91
