,Player,Profile,Time,Event
0,juheo,Profile-Visual,2022-12-04 14:23:38.772930,stance_crouched 0
1,juheo,Profile-Visual,2022-12-04 14:23:39.930192,activate_objective Saw_open_the_door
2,juheo,Profile-Visual,2022-12-04 14:23:41.850622,stance_crouched 0
3,juheo,Profile-Visual,2022-12-04 14:23:44.215159,stance_crouched 1
4,juheo,Profile-Visual,2022-12-04 14:23:45.560464,stance_crouched 1
5,juheo,Profile-Visual,2022-12-04 14:23:48.700588,stance_crouched 1
6,juheo,Profile-Visual,2022-12-04 14:23:49.313016,stance_crouched 1
7,juheo,Profile-Visual,2022-12-04 14:23:50.128201,stance_crouched 1
8,juheo,Profile-Visual,2022-12-04 14:23:55.653846,stance_crouched 1
9,juheo,Profile-Visual,2022-12-04 14:23:57.484775,stance_crouched 1
10,juheo,Profile-Visual,2022-12-04 14:23:58.720055,stance_crouched 1
11,juheo,Profile-Visual,2022-12-04 14:24:00.331801,stance_crouched 1
12,juheo,Profile-Visual,2022-12-04 14:24:01.662639,killed an enemy
13,juheo,Profile-Visual,2022-12-04 14:24:01.665639,weapon_fired 0
14,juheo,Profile-Visual,2022-12-04 14:24:03.875169,stance_crouched 1
15,juheo,Profile-Visual,2022-12-04 14:24:10.528290,stance_crouched 0
16,juheo,Profile-Visual,2022-12-04 14:24:14.956269,complete_objective Saw_open_the_door
17,juheo,Profile-Visual,2022-12-04 14:24:15.959497,activate_objective Defend_the_saw
18,juheo,Profile-Visual,2022-12-04 14:24:20.172697,stance_crouched 1
19,juheo,Profile-Visual,2022-12-04 14:24:23.334298,stance_crouched 1
20,juheo,Profile-Visual,2022-12-04 14:24:24.498982,stance_crouched 1
21,juheo,Profile-Visual,2022-12-04 14:24:25.320167,stance_crouched 1
22,juheo,Profile-Visual,2022-12-04 14:24:26.224382,stance_crouched 1
23,juheo,Profile-Visual,2022-12-04 14:24:31.719760,stance_crouched 1
24,juheo,Profile-Visual,2022-12-04 14:24:34.956747,stance_crouched 1
25,juheo,Profile-Visual,2022-12-04 14:24:35.651911,stance_crouched 1
26,juheo,Profile-Visual,2022-12-04 14:24:36.970218,stance_crouched 1
27,juheo,Profile-Visual,2022-12-04 14:24:40.340569,weapon_fired 1
28,juheo,Profile-Visual,2022-12-04 14:24:40.413585,killed an enemy
29,juheo,Profile-Visual,2022-12-04 14:24:40.417586,weapon_fired 1
30,juheo,Profile-Visual,2022-12-04 14:24:40.518610,weapon_fired 0
31,juheo,Profile-Visual,2022-12-04 14:24:40.592625,weapon_fired 0
32,juheo,Profile-Visual,2022-12-04 14:24:40.686647,weapon_fired 0
33,juheo,Profile-Visual,2022-12-04 14:24:41.298787,weapon_fired 0
34,juheo,Profile-Visual,2022-12-04 14:24:41.877539,weapon_fired 0
35,juheo,Profile-Visual,2022-12-04 14:24:41.954556,weapon_fired 0
36,juheo,Profile-Visual,2022-12-04 14:24:44.133317,stance_crouched 1
37,juheo,Profile-Visual,2022-12-04 14:24:46.248410,stance_crouched 1
38,juheo,Profile-Visual,2022-12-04 14:24:53.409599,weapon_fired 0
39,juheo,Profile-Visual,2022-12-04 14:24:53.488616,weapon_fired 0
40,juheo,Profile-Visual,2022-12-04 14:24:54.817918,weapon_fired 0
41,juheo,Profile-Visual,2022-12-04 14:24:54.896936,weapon_fired 0
42,juheo,Profile-Visual,2022-12-04 14:24:54.968953,weapon_fired 0
43,juheo,Profile-Visual,2022-12-04 14:24:55.781601,weapon_fired 0
44,juheo,Profile-Visual,2022-12-04 14:24:55.871622,weapon_fired 0
45,juheo,Profile-Visual,2022-12-04 14:24:55.928635,weapon_fired 0
46,juheo,Profile-Visual,2022-12-04 14:24:56.009653,weapon_fired 0
47,juheo,Profile-Visual,2022-12-04 14:24:56.081670,weapon_fired 0
48,juheo,Profile-Visual,2022-12-04 14:24:56.141683,weapon_fired 0
49,juheo,Profile-Visual,2022-12-04 14:24:56.211699,weapon_fired 0
50,juheo,Profile-Visual,2022-12-04 14:24:56.289717,weapon_fired 0
51,juheo,Profile-Visual,2022-12-04 14:24:56.365736,weapon_fired 0
52,juheo,Profile-Visual,2022-12-04 14:24:56.424747,weapon_fired 0
53,juheo,Profile-Visual,2022-12-04 14:24:56.486762,weapon_fired 0
54,juheo,Profile-Visual,2022-12-04 14:24:56.511767,hp 460
55,juheo,Profile-Visual,2022-12-04 14:24:56.514768,armor 91
56,juheo,Profile-Visual,2022-12-04 14:24:56.517768,shielded hit
57,juheo,Profile-Visual,2022-12-04 14:24:56.524770,hp 460
58,juheo,Profile-Visual,2022-12-04 14:24:56.526771,armor 91
59,juheo,Profile-Visual,2022-12-04 14:24:56.535772,hp 460
60,juheo,Profile-Visual,2022-12-04 14:24:56.537773,armor 91
61,juheo,Profile-Visual,2022-12-04 14:24:56.541775,health_subtracted 0
62,juheo,Profile-Visual,2022-12-04 14:24:56.591785,weapon_fired 0
63,juheo,Profile-Visual,2022-12-04 14:24:56.655799,weapon_fired 0
64,juheo,Profile-Visual,2022-12-04 14:24:56.730817,weapon_fired 0
65,juheo,Profile-Visual,2022-12-04 14:24:56.793832,weapon_fired 0
66,juheo,Profile-Visual,2022-12-04 14:24:57.038887,hp 460
67,juheo,Profile-Visual,2022-12-04 14:24:57.041888,armor 81
68,juheo,Profile-Visual,2022-12-04 14:24:57.044888,shielded hit
69,juheo,Profile-Visual,2022-12-04 14:24:57.054892,hp 460
70,juheo,Profile-Visual,2022-12-04 14:24:57.057892,armor 81
71,juheo,Profile-Visual,2022-12-04 14:24:57.061892,hp 460
72,juheo,Profile-Visual,2022-12-04 14:24:57.064893,armor 81
73,juheo,Profile-Visual,2022-12-04 14:24:57.068894,health_subtracted 0
74,juheo,Profile-Visual,2022-12-04 14:24:57.605015,hp 460
75,juheo,Profile-Visual,2022-12-04 14:24:57.608016,armor 71
76,juheo,Profile-Visual,2022-12-04 14:24:57.611017,shielded hit
77,juheo,Profile-Visual,2022-12-04 14:24:57.618019,hp 460
78,juheo,Profile-Visual,2022-12-04 14:24:57.621018,armor 71
79,juheo,Profile-Visual,2022-12-04 14:24:57.627020,hp 460
80,juheo,Profile-Visual,2022-12-04 14:24:57.630020,armor 71
81,juheo,Profile-Visual,2022-12-04 14:24:57.634022,health_subtracted 0
82,juheo,Profile-Visual,2022-12-04 14:24:58.083124,hp 460
83,juheo,Profile-Visual,2022-12-04 14:24:58.086124,armor 61
84,juheo,Profile-Visual,2022-12-04 14:24:58.089124,enemy_headshot
85,juheo,Profile-Visual,2022-12-04 14:24:58.092126,killed an enemy
86,juheo,Profile-Visual,2022-12-04 14:24:58.096127,weapon_fired 1
87,juheo,Profile-Visual,2022-12-04 14:24:58.166143,weapon_fired 0
88,juheo,Profile-Visual,2022-12-04 14:24:58.235158,weapon_fired 0
89,juheo,Profile-Visual,2022-12-04 14:24:58.304174,weapon_fired 0
90,juheo,Profile-Visual,2022-12-04 14:24:58.374190,weapon_fired 0
91,juheo,Profile-Visual,2022-12-04 14:24:58.444205,weapon_fired 0
92,juheo,Profile-Visual,2022-12-04 14:24:58.514221,weapon_fired 0
93,juheo,Profile-Visual,2022-12-04 14:24:58.583237,weapon_fired 0
94,juheo,Profile-Visual,2022-12-04 14:24:58.654253,weapon_fired 0
95,juheo,Profile-Visual,2022-12-04 14:24:58.723269,weapon_fired 0
96,juheo,Profile-Visual,2022-12-04 14:24:58.793285,weapon_fired 0
97,juheo,Profile-Visual,2022-12-04 14:24:58.864301,weapon_fired 0
98,juheo,Profile-Visual,2022-12-04 14:25:00.091084,hp 460
99,juheo,Profile-Visual,2022-12-04 14:25:00.094085,armor 86
100,juheo,Profile-Visual,2022-12-04 14:25:00.098087,auto regenerate armor
101,juheo,Profile-Visual,2022-12-04 14:25:00.784241,hp 460
102,juheo,Profile-Visual,2022-12-04 14:25:00.787242,armor 91
103,juheo,Profile-Visual,2022-12-04 14:25:00.791243,shielded hit
104,juheo,Profile-Visual,2022-12-04 14:25:00.799245,hp 460
105,juheo,Profile-Visual,2022-12-04 14:25:00.802246,armor 91
106,juheo,Profile-Visual,2022-12-04 14:25:00.806247,hp 460
107,juheo,Profile-Visual,2022-12-04 14:25:00.809249,armor 91
108,juheo,Profile-Visual,2022-12-04 14:25:00.814248,health_subtracted 0
109,juheo,Profile-Visual,2022-12-04 14:25:02.061285,weapon_fired 0
110,juheo,Profile-Visual,2022-12-04 14:25:02.129303,weapon_fired 0
111,juheo,Profile-Visual,2022-12-04 14:25:02.197317,killed an enemy
112,juheo,Profile-Visual,2022-12-04 14:25:02.201319,weapon_fired 1
113,juheo,Profile-Visual,2022-12-04 14:25:02.279336,weapon_fired 0
114,juheo,Profile-Visual,2022-12-04 14:25:02.346350,weapon_fired 0
115,juheo,Profile-Visual,2022-12-04 14:25:02.355352,stance_crouched 1
116,juheo,Profile-Visual,2022-12-04 14:25:03.253556,hp 460
117,juheo,Profile-Visual,2022-12-04 14:25:03.256558,armor 81
118,juheo,Profile-Visual,2022-12-04 14:25:03.259557,auto regenerate armor
119,juheo,Profile-Visual,2022-12-04 14:25:06.022303,stance_crouched 1
120,juheo,Profile-Visual,2022-12-04 14:25:07.437966,stance_crouched 1
121,juheo,Profile-Visual,2022-12-04 14:25:07.440967,stance_crouched 0
122,juheo,Profile-Visual,2022-12-04 14:25:08.002946,weapon_fired 0
123,juheo,Profile-Visual,2022-12-04 14:25:08.077962,weapon_fired 0
124,juheo,Profile-Visual,2022-12-04 14:25:08.144977,weapon_fired 0
125,juheo,Profile-Visual,2022-12-04 14:25:08.222138,weapon_fired 0
126,juheo,Profile-Visual,2022-12-04 14:25:08.290154,weapon_fired 0
127,juheo,Profile-Visual,2022-12-04 14:25:08.358169,weapon_fired 0
128,juheo,Profile-Visual,2022-12-04 14:25:08.436111,weapon_fired 0
129,juheo,Profile-Visual,2022-12-04 14:25:08.572146,stance_crouched 0
130,juheo,Profile-Visual,2022-12-04 14:25:09.024480,weapon_fired 0
131,juheo,Profile-Visual,2022-12-04 14:25:09.099497,weapon_fired 0
132,juheo,Profile-Visual,2022-12-04 14:25:09.167513,weapon_fired 0
133,juheo,Profile-Visual,2022-12-04 14:25:09.235528,weapon_fired 0
134,juheo,Profile-Visual,2022-12-04 14:25:09.312546,weapon_fired 0
135,juheo,Profile-Visual,2022-12-04 14:25:09.383530,weapon_fired 0
136,juheo,Profile-Visual,2022-12-04 14:25:09.450545,weapon_fired 0
137,juheo,Profile-Visual,2022-12-04 14:25:09.520561,weapon_fired 0
138,juheo,Profile-Visual,2022-12-04 14:25:09.589577,weapon_fired 0
139,juheo,Profile-Visual,2022-12-04 14:25:09.664593,weapon_fired 0
140,juheo,Profile-Visual,2022-12-04 14:25:09.735609,weapon_fired 0
141,juheo,Profile-Visual,2022-12-04 14:25:09.804626,weapon_fired 0
142,juheo,Profile-Visual,2022-12-04 14:25:10.072686,weapon_fired 0
143,juheo,Profile-Visual,2022-12-04 14:25:10.148704,weapon_fired 0
144,juheo,Profile-Visual,2022-12-04 14:25:10.218719,weapon_fired 0
145,juheo,Profile-Visual,2022-12-04 14:25:10.291736,weapon_fired 0
146,juheo,Profile-Visual,2022-12-04 14:25:10.361752,weapon_fired 0
147,juheo,Profile-Visual,2022-12-04 14:25:10.431193,weapon_fired 0
148,juheo,Profile-Visual,2022-12-04 14:25:10.634238,weapon_fired 1
149,juheo,Profile-Visual,2022-12-04 14:25:10.711256,killed an enemy
150,juheo,Profile-Visual,2022-12-04 14:25:10.715256,weapon_fired 1
151,juheo,Profile-Visual,2022-12-04 14:25:10.785272,weapon_fired 0
152,juheo,Profile-Visual,2022-12-04 14:25:10.853289,weapon_fired 0
153,juheo,Profile-Visual,2022-12-04 14:25:10.923303,weapon_fired 0
154,juheo,Profile-Visual,2022-12-04 14:25:10.992319,weapon_fired 0
155,juheo,Profile-Visual,2022-12-04 14:25:11.062336,weapon_fired 0
156,juheo,Profile-Visual,2022-12-04 14:25:11.390410,weapon_fired 0
157,juheo,Profile-Visual,2022-12-04 14:25:11.467427,weapon_fired 0
158,juheo,Profile-Visual,2022-12-04 14:25:11.536442,weapon_fired 0
159,juheo,Profile-Visual,2022-12-04 14:25:12.072565,stance_crouched 0
160,juheo,Profile-Visual,2022-12-04 14:25:12.681703,stance_crouched 0
161,juheo,Profile-Visual,2022-12-04 14:25:14.435017,hp 460
162,juheo,Profile-Visual,2022-12-04 14:25:14.438017,armor 91
163,juheo,Profile-Visual,2022-12-04 14:25:14.442019,auto regenerate armor
164,juheo,Profile-Visual,2022-12-04 14:25:14.886423,stance_crouched 0
165,juheo,Profile-Visual,2022-12-04 14:25:16.273032,weapon_fired 0
166,juheo,Profile-Visual,2022-12-04 14:25:16.825019,hp 460
167,juheo,Profile-Visual,2022-12-04 14:25:16.828020,armor 91
168,juheo,Profile-Visual,2022-12-04 14:25:16.831020,shielded hit
169,juheo,Profile-Visual,2022-12-04 14:25:16.837022,hp 460
170,juheo,Profile-Visual,2022-12-04 14:25:16.840022,armor 91
171,juheo,Profile-Visual,2022-12-04 14:25:16.848024,hp 460
172,juheo,Profile-Visual,2022-12-04 14:25:16.850025,armor 91
173,juheo,Profile-Visual,2022-12-04 14:25:16.855026,health_subtracted 0
174,juheo,Profile-Visual,2022-12-04 14:25:17.378145,weapon_fired 0
175,juheo,Profile-Visual,2022-12-04 14:25:19.300831,hp 460
176,juheo,Profile-Visual,2022-12-04 14:25:19.303831,armor 71
177,juheo,Profile-Visual,2022-12-04 14:25:19.307832,auto regenerate armor
178,juheo,Profile-Visual,2022-12-04 14:25:19.438861,killed an enemy
179,juheo,Profile-Visual,2022-12-04 14:25:19.442863,weapon_fired 0
180,juheo,Profile-Visual,2022-12-04 14:25:19.445864,weapon_fired 1
181,juheo,Profile-Visual,2022-12-04 14:25:20.998232,stance_crouched 0
182,juheo,Profile-Visual,2022-12-04 14:25:22.279038,stance_crouched 0
183,juheo,Profile-Visual,2022-12-04 14:25:24.615324,stance_crouched 0
184,juheo,Profile-Visual,2022-12-04 14:25:25.552536,weapon_fired 0
185,juheo,Profile-Visual,2022-12-04 14:25:25.628554,weapon_fired 0
186,juheo,Profile-Visual,2022-12-04 14:25:25.779592,weapon_fired 0
187,juheo,Profile-Visual,2022-12-04 14:25:25.857610,weapon_fired 0
188,juheo,Profile-Visual,2022-12-04 14:25:25.979636,weapon_fired 1
189,juheo,Profile-Visual,2022-12-04 14:25:26.056655,killed an enemy
