,Player,Profile,Time,Event
0,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:03:47.816377,stance_crouched 0
1,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:03:50.844056,stance_crouched 0
2,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:03:50.886065,activate_objective Enter_the_bank
3,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:05.771269,complete_objective Enter_the_bank
4,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:06.778003,activate_objective Inspect_the_second_floor
5,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:08.686524,complete_objective Inspect_the_second_floor
6,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:09.679747,activate_objective Cut_a_hole_in_the_floor
7,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:13.547243,complete_objective Cut_a_hole_in_the_floor
8,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:14.524328,activate_objective Defend_the_cutter
9,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:17.883289,killed an enemy
10,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:17.887290,weapon_fired 1
11,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:17.969308,weapon_fired 0
12,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:18.028321,weapon_fired 0
13,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:18.094336,weapon_fired 0
14,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:18.161545,weapon_fired 0
15,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:18.229148,weapon_fired 0
16,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:18.582084,weapon_fired 0
17,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:18.661102,weapon_fired 0
18,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:18.732118,weapon_fired 0
19,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:18.804134,weapon_fired 0
20,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:18.877150,weapon_fired 0
21,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:18.970171,hp 460
22,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:18.973171,armor 91
23,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:18.977172,shielded hit
24,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:18.984174,hp 460
25,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:18.986175,armor 91
26,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:18.991175,hp 460
27,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:18.994177,armor 91
28,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:18.998180,health_subtracted 0
29,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:19.036186,weapon_fired 0
30,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:19.101200,weapon_fired 0
31,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:19.158213,weapon_fired 0
32,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:19.279240,weapon_fired 0
33,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:19.342254,weapon_fired 0
34,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:20.381980,stance_crouched 0
35,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:21.434176,hp 460
36,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:21.436176,armor 56
37,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:21.439177,auto regenerate armor
38,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:23.305898,weapon_fired 0
39,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:23.727400,weapon_fired 0
40,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:24.061127,hp 460
41,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:24.064128,armor 91
42,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:24.068129,shielded hit
43,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:24.073130,hp 460
44,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:24.076131,armor 91
45,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:24.079131,hp 460
46,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:24.082132,armor 91
47,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:24.086133,health_subtracted 0
48,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:24.326187,weapon_fired 0
49,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:24.546237,hp 460
50,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:24.548237,armor 56
51,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:24.551238,shielded hit
52,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:24.557239,hp 460
53,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:24.560239,armor 56
54,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:24.563241,hp 460
55,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:24.566241,armor 56
56,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:24.569242,health_subtracted 0
57,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:25.963437,weapon_fired 0
58,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:27.026386,hp 460
59,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:27.029386,armor 21
60,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:27.032387,auto regenerate armor
61,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:27.170418,hp 460
62,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:27.173419,armor 76
63,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:27.176420,shielded hit
64,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:27.182421,hp 460
65,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:27.185421,armor 76
66,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:27.190423,hp 460
67,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:27.193423,armor 76
68,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:27.197425,health_subtracted 0
69,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:28.200859,weapon_fired 0
70,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:28.210862,weapon_fired 1
71,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:29.531396,weapon_fired 0
72,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:29.645422,hp 460
73,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:29.647422,armor 83
74,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:29.650422,auto regenerate armor
75,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:31.310523,weapon_fired 0
76,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:31.948363,weapon_fired 0
77,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:32.704533,hp 460
78,liqox,Profile-Visual+Weste+Thermal+Sound,2022-12-21 17:04:32.707534,armor 91
