,Player,Profile,Time,Event
0,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:26.332400,stance_crouched 0
1,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:27.484164,activate_objective Inspect_the_second_floor
2,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:29.374351,stance_crouched 0
3,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:43.455319,weapon_fired 0
4,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:43.532337,weapon_fired 0
5,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:43.645363,killed an enemy
6,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:43.648363,weapon_fired 1
7,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:43.725380,weapon_fired 0
8,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:43.829403,weapon_fired 0
9,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:43.903420,weapon_fired 0
10,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:49.458006,complete_objective Inspect_the_second_floor
11,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:50.449228,activate_objective Saw_open_the_door
12,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:57.526722,hp 460
13,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:57.529723,armor 91
14,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:57.532724,shielded hit
15,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:57.537725,hp 460
16,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:57.539725,armor 91
17,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:57.543729,hp 460
18,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:57.546727,armor 91
19,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:57.549728,health_subtracted 0
20,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:57.995781,hp 460
21,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:57.997770,armor 74
22,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:58.001136,shielded hit
23,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:58.006126,hp 460
24,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:58.009126,armor 74
25,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:58.012127,hp 460
26,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:58.014128,armor 74
27,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:58.018128,health_subtracted 0
28,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:58.646824,hp 460
29,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:58.648824,armor 56
30,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:58.653826,shielded hit
31,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:58.659827,hp 460
32,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:58.662828,armor 56
33,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:58.667829,hp 460
34,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:58.670830,armor 56
35,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:58.673830,health_subtracted 0
36,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:59.117959,hp 460
37,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:59.120960,armor 39
38,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:59.123960,shielded hit
39,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:59.129961,hp 460
40,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:59.131961,armor 39
41,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:59.134963,hp 460
42,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:59.137963,armor 39
43,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:59.141964,health_subtracted 0
44,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:59.700140,hp 460
45,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:59.702141,armor 21
46,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:59.705142,shielded hit
47,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:59.712144,hp 460
48,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:59.714144,armor 21
49,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:59.718144,hp 460
50,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:59.721145,armor 21
51,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:47:59.724146,health_subtracted 0
52,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:48:00.132938,complete_objective Saw_open_the_door
53,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:48:00.156208,hp 460
54,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:48:00.158208,armor 6
55,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:48:00.162209,shielded hit
56,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:48:00.166210,hp 460
57,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:48:00.169211,armor 6
58,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:48:00.174212,hp 460
59,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:48:00.176213,armor 6
60,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:48:00.180213,health_subtracted 0
61,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:48:00.623312,hp 460
62,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:48:00.626314,armor 0
63,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:48:00.629314,unshielded hit
64,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:48:00.634315,hp 425
65,liqox,Profile-Visual+Weste+Thermal,2022-12-21 16:48:00.637315,armor 0
