,Player,Profile,Time,Event
0,liqox,Profile-Visual+Weste,2022-12-21 16:21:46.878121,stance_crouched 0
1,liqox,Profile-Visual+Weste,2022-12-21 16:21:49.907804,stance_crouched 0
2,liqox,Profile-Visual+Weste,2022-12-21 16:21:49.987821,activate_objective Enter_the_bank
3,liqox,Profile-Visual+Weste,2022-12-21 16:22:04.569114,stance_crouched 1
4,liqox,Profile-Visual+Weste,2022-12-21 16:22:06.908055,stance_crouched 0
5,liqox,Profile-Visual+Weste,2022-12-21 16:22:09.039533,stance_crouched 1
6,liqox,Profile-Visual+Weste,2022-12-21 16:22:13.519497,stance_crouched 0
7,liqox,Profile-Visual+Weste,2022-12-21 16:22:17.570741,stance_crouched 0
8,liqox,Profile-Visual+Weste,2022-12-21 16:22:18.730030,stance_crouched 0
9,liqox,Profile-Visual+Weste,2022-12-21 16:22:20.408871,complete_objective Enter_the_bank
10,liqox,Profile-Visual+Weste,2022-12-21 16:22:21.415097,activate_objective Inspect_the_second_floor
11,liqox,Profile-Visual+Weste,2022-12-21 16:23:14.059858,complete_objective Inspect_the_second_floor
12,liqox,Profile-Visual+Weste,2022-12-21 16:23:15.056081,activate_objective Cut_a_hole_in_the_floor
13,liqox,Profile-Visual+Weste,2022-12-21 16:23:18.758143,stance_crouched 1
14,liqox,Profile-Visual+Weste,2022-12-21 16:23:20.674364,stance_crouched 0
15,liqox,Profile-Visual+Weste,2022-12-21 16:23:30.249357,stance_crouched 1
16,liqox,Profile-Visual+Weste,2022-12-21 16:23:37.569630,stance_crouched 0
17,liqox,Profile-Visual+Weste,2022-12-21 16:23:52.710577,complete_objective Cut_a_hole_in_the_floor
18,liqox,Profile-Visual+Weste,2022-12-21 16:23:53.706558,activate_objective Defend_the_cutter
19,liqox,Profile-Visual+Weste,2022-12-21 16:23:56.996006,stance_crouched 1
20,liqox,Profile-Visual+Weste,2022-12-21 16:23:57.793715,stance_crouched 0
21,liqox,Profile-Visual+Weste,2022-12-21 16:23:58.306844,weapon_fired 0
22,liqox,Profile-Visual+Weste,2022-12-21 16:23:58.383862,weapon_fired 0
23,liqox,Profile-Visual+Weste,2022-12-21 16:23:58.683929,weapon_fired 0
