,Player,Profile,Time,Event
0,liqox,Profile-Visual,2022-12-21 17:24:45.567024,stance_crouched 0
1,liqox,Profile-Visual,2022-12-21 17:24:46.639264,activate_objective Inspect_the_second_floor
2,liqox,Profile-Visual,2022-12-21 17:24:48.624391,stance_crouched 0
3,liqox,Profile-Visual,2022-12-21 17:25:05.634497,complete_objective Inspect_the_second_floor
4,liqox,Profile-Visual,2022-12-21 17:25:06.416554,stance_crouched 1
5,liqox,Profile-Visual,2022-12-21 17:25:06.641603,activate_objective Cut_a_hole_in_the_floor
6,liqox,Profile-Visual,2022-12-21 17:25:06.814068,stance_crouched 0
7,liqox,Profile-Visual,2022-12-21 17:25:15.002879,complete_objective Cut_a_hole_in_the_floor
8,liqox,Profile-Visual,2022-12-21 17:25:16.009609,activate_objective Defend_the_cutter
9,liqox,Profile-Visual,2022-12-21 17:25:21.146928,stance_crouched 1
10,liqox,Profile-Visual,2022-12-21 17:25:22.429617,stance_crouched 0
11,liqox,Profile-Visual,2022-12-21 17:25:25.883167,weapon_fired 0
12,liqox,Profile-Visual,2022-12-21 17:25:25.965186,weapon_fired 0
13,liqox,Profile-Visual,2022-12-21 17:25:26.027200,weapon_fired 0
14,liqox,Profile-Visual,2022-12-21 17:25:26.090213,weapon_fired 0
15,liqox,Profile-Visual,2022-12-21 17:25:26.165230,weapon_fired 0
16,liqox,Profile-Visual,2022-12-21 17:25:26.248755,weapon_fired 0
17,liqox,Profile-Visual,2022-12-21 17:25:26.459803,weapon_fired 0
18,liqox,Profile-Visual,2022-12-21 17:25:26.543094,hp 460
19,liqox,Profile-Visual,2022-12-21 17:25:26.546095,armor 91
20,liqox,Profile-Visual,2022-12-21 17:25:26.549096,enemy_headshot
21,liqox,Profile-Visual,2022-12-21 17:25:26.553097,weapon_fired 1
22,liqox,Profile-Visual,2022-12-21 17:25:26.725058,killed an enemy
23,liqox,Profile-Visual,2022-12-21 17:25:26.729058,weapon_fired 1
24,liqox,Profile-Visual,2022-12-21 17:25:26.808076,weapon_fired 0
25,liqox,Profile-Visual,2022-12-21 17:25:26.950107,hp 460
26,liqox,Profile-Visual,2022-12-21 17:25:26.952108,armor 91
27,liqox,Profile-Visual,2022-12-21 17:25:26.956110,shielded hit
28,liqox,Profile-Visual,2022-12-21 17:25:26.961110,hp 460
29,liqox,Profile-Visual,2022-12-21 17:25:26.963111,armor 91
30,liqox,Profile-Visual,2022-12-21 17:25:26.967112,hp 460
31,liqox,Profile-Visual,2022-12-21 17:25:26.970112,armor 91
32,liqox,Profile-Visual,2022-12-21 17:25:26.974113,health_subtracted 0
33,liqox,Profile-Visual,2022-12-21 17:25:28.143925,weapon_fired 1
34,liqox,Profile-Visual,2022-12-21 17:25:28.185935,hp 460
35,liqox,Profile-Visual,2022-12-21 17:25:28.187935,armor 71
36,liqox,Profile-Visual,2022-12-21 17:25:28.190936,shielded hit
37,liqox,Profile-Visual,2022-12-21 17:25:28.198938,hp 460
38,liqox,Profile-Visual,2022-12-21 17:25:28.200939,armor 71
39,liqox,Profile-Visual,2022-12-21 17:25:28.204939,hp 460
40,liqox,Profile-Visual,2022-12-21 17:25:28.207939,armor 71
41,liqox,Profile-Visual,2022-12-21 17:25:28.214943,health_subtracted 0
42,liqox,Profile-Visual,2022-12-21 17:25:28.263953,weapon_fired 0
43,liqox,Profile-Visual,2022-12-21 17:25:28.325966,weapon_fired 0
44,liqox,Profile-Visual,2022-12-21 17:25:28.388980,killed an enemy
45,liqox,Profile-Visual,2022-12-21 17:25:28.394982,weapon_fired 1
46,liqox,Profile-Visual,2022-12-21 17:25:28.621033,weapon_fired 0
47,liqox,Profile-Visual,2022-12-21 17:25:28.700050,weapon_fired 0
48,liqox,Profile-Visual,2022-12-21 17:25:29.223828,hp 460
49,liqox,Profile-Visual,2022-12-21 17:25:29.225829,armor 61
50,liqox,Profile-Visual,2022-12-21 17:25:29.228829,shielded hit
51,liqox,Profile-Visual,2022-12-21 17:25:29.234292,hp 460
52,liqox,Profile-Visual,2022-12-21 17:25:29.236292,armor 61
53,liqox,Profile-Visual,2022-12-21 17:25:29.240294,hp 460
54,liqox,Profile-Visual,2022-12-21 17:25:29.243294,armor 61
55,liqox,Profile-Visual,2022-12-21 17:25:29.247295,health_subtracted 0
56,liqox,Profile-Visual,2022-12-21 17:25:29.723795,weapon_fired 0
57,liqox,Profile-Visual,2022-12-21 17:25:29.793810,weapon_fired 0
58,liqox,Profile-Visual,2022-12-21 17:25:29.862826,weapon_fired 0
59,liqox,Profile-Visual,2022-12-21 17:25:30.230908,stance_crouched 1
60,liqox,Profile-Visual,2022-12-21 17:25:31.962163,stance_crouched 1
61,liqox,Profile-Visual,2022-12-21 17:25:32.592733,hp 460
62,liqox,Profile-Visual,2022-12-21 17:25:32.594734,armor 36
63,liqox,Profile-Visual,2022-12-21 17:25:32.603736,auto regenerate armor
64,liqox,Profile-Visual,2022-12-21 17:25:32.607737,hp 460
65,liqox,Profile-Visual,2022-12-21 17:25:32.609737,armor 46
66,liqox,Profile-Visual,2022-12-21 17:25:32.612738,shielded hit
67,liqox,Profile-Visual,2022-12-21 17:25:32.617739,hp 460
68,liqox,Profile-Visual,2022-12-21 17:25:32.619740,armor 46
69,liqox,Profile-Visual,2022-12-21 17:25:32.624741,hp 460
70,liqox,Profile-Visual,2022-12-21 17:25:32.626741,armor 46
71,liqox,Profile-Visual,2022-12-21 17:25:32.630742,health_subtracted 0
72,liqox,Profile-Visual,2022-12-21 17:25:32.698757,hp 460
73,liqox,Profile-Visual,2022-12-21 17:25:32.700758,armor 60
74,liqox,Profile-Visual,2022-12-21 17:25:32.704759,enemy_headshot
75,liqox,Profile-Visual,2022-12-21 17:25:32.709760,killed an enemy
76,liqox,Profile-Visual,2022-12-21 17:25:32.713761,weapon_fired 0
77,liqox,Profile-Visual,2022-12-21 17:25:33.093856,weapon_fired 0
78,liqox,Profile-Visual,2022-12-21 17:25:33.174874,hp 460
79,liqox,Profile-Visual,2022-12-21 17:25:33.177875,armor 91
80,liqox,Profile-Visual,2022-12-21 17:25:33.180876,shielded hit
81,liqox,Profile-Visual,2022-12-21 17:25:33.187877,hp 460
82,liqox,Profile-Visual,2022-12-21 17:25:33.190878,armor 91
83,liqox,Profile-Visual,2022-12-21 17:25:33.194878,hp 460
84,liqox,Profile-Visual,2022-12-21 17:25:33.197879,armor 91
85,liqox,Profile-Visual,2022-12-21 17:25:33.200880,health_subtracted 0
