,Player,Profile,Time,Event
0,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:16:50.566503,stance_crouched 0
1,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:16:53.628852,stance_crouched 0
2,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:16:53.749880,activate_objective Enter_the_bank
3,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:16:56.720522,complete_objective Enter_the_bank
4,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:16:57.725914,activate_objective Saw_open_the_door
5,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:03.763244,hp 460
6,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:03.765245,armor 91
7,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:03.768245,shielded hit
8,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:03.774247,hp 460
9,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:03.776247,armor 91
10,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:03.779248,hp 460
11,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:03.782249,armor 91
12,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:03.785250,health_subtracted 0
13,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:04.227538,hp 460
14,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:04.229538,armor 81
15,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:04.232539,shielded hit
16,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:04.238540,hp 460
17,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:04.240541,armor 81
18,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:04.244542,hp 460
19,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:04.247542,armor 81
20,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:04.250543,health_subtracted 0
21,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:04.270547,weapon_fired 0
22,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:04.336562,killed an enemy
23,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:04.339563,weapon_fired 1
24,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:04.406578,weapon_fired 0
25,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:04.474594,weapon_fired 0
26,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:04.543610,weapon_fired 0
27,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:04.611625,weapon_fired 0
28,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:06.702668,hp 460
29,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:06.704669,armor 61
30,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:06.708670,auto regenerate armor
31,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:07.983963,stance_crouched 0
32,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:08.420062,weapon_fired 0
33,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:08.497080,killed an enemy
34,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:08.500080,weapon_fired 1
35,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:08.570098,weapon_fired 0
36,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:08.644113,weapon_fired 0
37,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:08.709127,weapon_fired 0
38,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:09.023199,stance_crouched 0
39,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:13.984324,complete_objective Saw_open_the_door
40,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:14.983550,activate_objective Defend_the_saw
41,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:16.403873,stance_crouched 1
42,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:17.778126,stance_crouched 0
43,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:33.250472,stance_crouched 1
44,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:34.299753,stance_crouched 0
45,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:36.526741,stance_crouched 1
46,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:38.341121,stance_crouched 1
47,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:39.858560,stance_crouched 1
48,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:42.010660,stance_crouched 0
49,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:46.783742,stance_crouched 0
50,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:48.033025,stance_crouched 1
51,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:48.755189,stance_crouched 1
52,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:49.635401,stance_crouched 1
53,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:49.962475,stance_crouched 0
54,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:50.983707,stance_crouched 1
55,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:51.247767,stance_crouched 1
56,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:51.848903,stance_crouched 1
57,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:56.322917,stance_crouched 0
58,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:56.900047,stance_crouched 0
59,lnlqi,Profile-Visual+Weste+Thermal,2022-12-12 15:17:56.972064,hp 460
