,Player,Profile,Time,Event
0,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:13.803942,stance_crouched 0
1,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:16.688383,stance_crouched 0
2,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:16.793407,activate_objective Enter_the_bank
3,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:20.677809,complete_objective Enter_the_bank
4,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:21.673540,activate_objective Saw_open_the_door
5,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:21.797569,stance_crouched 1
6,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:22.861810,stance_crouched 1
7,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:24.304143,stance_crouched 0
8,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:25.914446,stance_crouched 0
9,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:26.922042,weapon_fired 0
10,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:26.994058,weapon_fired 0
11,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:27.067074,weapon_fired 0
12,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:29.970431,stance_crouched 1
13,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:37.034438,stance_crouched 0
14,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:39.336184,stance_crouched 0
15,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:39.858238,weapon_fired 0
16,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:39.932256,weapon_fired 0
17,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:39.999271,weapon_fired 0
18,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:40.075351,weapon_fired 0
19,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:40.143366,weapon_fired 0
20,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:41.268772,stance_crouched 0
21,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:43.236218,stance_crouched 0
22,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:43.738469,killed an enemy
23,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:43.741470,weapon_fired 1
24,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:43.816487,weapon_fired 0
25,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:43.883502,weapon_fired 0
26,lnlqi,Profile-Visual+Weste,2022-12-12 14:55:44.431627,stance_crouched 0
27,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:08.624334,complete_objective Saw_open_the_door
28,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:09.627499,activate_objective Defend_the_saw
29,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:22.355603,stance_crouched 1
30,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:22.598658,stance_crouched 1
31,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:23.821935,stance_crouched 0
32,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:25.998429,stance_crouched 1
33,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:26.584549,weapon_fired 0
34,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:26.659566,killed an enemy
35,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:26.663567,weapon_fired 1
36,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:26.733583,weapon_fired 0
37,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:26.801598,weapon_fired 0
38,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:26.878616,weapon_fired 0
39,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:26.945631,weapon_fired 0
40,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:27.013646,weapon_fired 0
41,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:27.617099,stance_crouched 0
42,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:30.343261,stance_crouched 1
43,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:31.024416,stance_crouched 0
44,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:31.811594,hp 460
45,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:31.813594,armor 91
46,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:31.822596,hp 460
47,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:31.825597,armor 91
48,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:31.828598,shielded hit
49,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:31.832600,hp 460
50,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:31.835600,armor 91
51,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:31.838600,health_subtracted 0
52,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:32.554762,hp 460
53,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:32.556763,armor 71
54,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:32.559763,shielded hit
55,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:32.564765,hp 460
56,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:32.566766,armor 71
57,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:32.571766,hp 460
58,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:32.573767,armor 71
59,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:32.577768,health_subtracted 0
60,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:33.287513,stance_crouched 1
61,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:33.370532,shielded hit
62,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:33.378533,hp 460
63,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:33.381534,armor 51
64,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:33.384535,hp 460
65,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:33.387535,armor 51
66,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:33.391536,hp 460
67,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:33.393536,armor 51
68,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:33.396537,health_subtracted 0
69,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:33.930424,hp 460
70,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:33.933411,armor 31
71,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:33.937411,shielded hit
72,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:33.942413,hp 460
73,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:33.945414,armor 31
74,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:33.951415,health_subtracted 0
75,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:33.957416,hp 460
76,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:33.960416,armor 31
77,lnlqi,Profile-Visual+Weste,2022-12-12 14:56:34.663576,weapon_fired 0
