,Player,Profile,Time,Event
0,lnlqi,Profile-Visual,2022-12-12 16:13:27.954649,stance_crouched 0
1,lnlqi,Profile-Visual,2022-12-12 16:13:30.814751,stance_crouched 0
2,lnlqi,Profile-Visual,2022-12-12 16:13:30.888767,activate_objective Enter_the_bank
3,lnlqi,Profile-Visual,2022-12-12 16:13:37.764573,stance_crouched 0
4,lnlqi,Profile-Visual,2022-12-12 16:13:38.278844,stance_crouched 0
5,lnlqi,Profile-Visual,2022-12-12 16:13:38.978003,complete_objective Enter_the_bank
6,lnlqi,Profile-Visual,2022-12-12 16:13:39.969115,activate_objective Saw_open_the_door
7,lnlqi,Profile-Visual,2022-12-12 16:13:43.558585,stance_crouched 0
8,lnlqi,Profile-Visual,2022-12-12 16:13:43.814643,weapon_fired 0
9,lnlqi,Profile-Visual,2022-12-12 16:13:43.896661,weapon_fired 0
10,lnlqi,Profile-Visual,2022-12-12 16:13:43.962817,weapon_fired 0
11,lnlqi,Profile-Visual,2022-12-12 16:13:44.029832,killed an enemy
12,lnlqi,Profile-Visual,2022-12-12 16:13:44.032832,weapon_fired 1
13,lnlqi,Profile-Visual,2022-12-12 16:13:44.105849,weapon_fired 0
14,lnlqi,Profile-Visual,2022-12-12 16:13:44.173864,weapon_fired 0
15,lnlqi,Profile-Visual,2022-12-12 16:13:44.242880,weapon_fired 0
16,lnlqi,Profile-Visual,2022-12-12 16:13:44.825013,stance_crouched 0
17,lnlqi,Profile-Visual,2022-12-12 16:13:48.401044,stance_crouched 0
18,lnlqi,Profile-Visual,2022-12-12 16:13:48.688109,weapon_fired 0
19,lnlqi,Profile-Visual,2022-12-12 16:13:48.763126,killed an enemy
20,lnlqi,Profile-Visual,2022-12-12 16:13:48.767129,weapon_fired 1
21,lnlqi,Profile-Visual,2022-12-12 16:13:48.835143,weapon_fired 0
22,lnlqi,Profile-Visual,2022-12-12 16:13:48.939166,weapon_fired 0
23,lnlqi,Profile-Visual,2022-12-12 16:13:49.016184,weapon_fired 0
24,lnlqi,Profile-Visual,2022-12-12 16:13:49.083198,weapon_fired 0
25,lnlqi,Profile-Visual,2022-12-12 16:13:49.155214,weapon_fired 0
26,lnlqi,Profile-Visual,2022-12-12 16:13:49.410941,weapon_fired 0
27,lnlqi,Profile-Visual,2022-12-12 16:13:49.487958,killed an enemy
28,lnlqi,Profile-Visual,2022-12-12 16:13:49.491959,weapon_fired 1
29,lnlqi,Profile-Visual,2022-12-12 16:13:49.561975,weapon_fired 0
30,lnlqi,Profile-Visual,2022-12-12 16:13:50.150108,stance_crouched 0
31,lnlqi,Profile-Visual,2022-12-12 16:13:55.772114,complete_objective Saw_open_the_door
32,lnlqi,Profile-Visual,2022-12-12 16:13:56.774480,activate_objective Defend_the_saw
33,lnlqi,Profile-Visual,2022-12-12 16:13:58.628835,stance_crouched 1
34,lnlqi,Profile-Visual,2022-12-12 16:14:01.472349,stance_crouched 1
35,lnlqi,Profile-Visual,2022-12-12 16:14:08.680628,stance_crouched 1
36,lnlqi,Profile-Visual,2022-12-12 16:14:09.323774,stance_crouched 0
37,lnlqi,Profile-Visual,2022-12-12 16:14:16.026991,stance_crouched 0
38,lnlqi,Profile-Visual,2022-12-12 16:14:16.645353,weapon_fired 0
39,lnlqi,Profile-Visual,2022-12-12 16:14:16.719369,weapon_fired 0
40,lnlqi,Profile-Visual,2022-12-12 16:14:17.049444,stance_crouched 0
41,lnlqi,Profile-Visual,2022-12-12 16:14:19.300916,stance_crouched 0
42,lnlqi,Profile-Visual,2022-12-12 16:14:19.651118,weapon_fired 0
43,lnlqi,Profile-Visual,2022-12-12 16:14:19.728134,weapon_fired 0
44,lnlqi,Profile-Visual,2022-12-12 16:14:20.081215,stance_crouched 0
45,lnlqi,Profile-Visual,2022-12-12 16:14:24.230767,stance_crouched 0
46,lnlqi,Profile-Visual,2022-12-12 16:14:24.709808,weapon_fired 0
47,lnlqi,Profile-Visual,2022-12-12 16:14:24.782824,weapon_fired 0
48,lnlqi,Profile-Visual,2022-12-12 16:14:25.182915,stance_crouched 0
49,lnlqi,Profile-Visual,2022-12-12 16:14:25.759289,stance_crouched 0
50,lnlqi,Profile-Visual,2022-12-12 16:14:26.131373,weapon_fired 0
51,lnlqi,Profile-Visual,2022-12-12 16:14:26.197392,weapon_fired 0
52,lnlqi,Profile-Visual,2022-12-12 16:14:26.407439,stance_crouched 0
53,lnlqi,Profile-Visual,2022-12-12 16:14:27.128525,stance_crouched 0
54,lnlqi,Profile-Visual,2022-12-12 16:14:27.458604,killed an enemy
55,lnlqi,Profile-Visual,2022-12-12 16:14:27.461604,weapon_fired 1
56,lnlqi,Profile-Visual,2022-12-12 16:14:27.537980,weapon_fired 0
57,lnlqi,Profile-Visual,2022-12-12 16:14:27.604995,weapon_fired 0
58,lnlqi,Profile-Visual,2022-12-12 16:14:27.678013,weapon_fired 0
59,lnlqi,Profile-Visual,2022-12-12 16:14:27.751028,killed an enemy
60,lnlqi,Profile-Visual,2022-12-12 16:14:27.765031,weapon_fired 1
61,lnlqi,Profile-Visual,2022-12-12 16:14:27.842049,weapon_fired 0
62,lnlqi,Profile-Visual,2022-12-12 16:14:27.893060,weapon_fired 0
63,lnlqi,Profile-Visual,2022-12-12 16:14:27.963077,weapon_fired 0
64,lnlqi,Profile-Visual,2022-12-12 16:14:28.030092,weapon_fired 0
65,lnlqi,Profile-Visual,2022-12-12 16:14:28.099107,weapon_fired 0
66,lnlqi,Profile-Visual,2022-12-12 16:14:28.161122,weapon_fired 0
67,lnlqi,Profile-Visual,2022-12-12 16:14:28.233137,weapon_fired 0
68,lnlqi,Profile-Visual,2022-12-12 16:14:28.301153,weapon_fired 0
69,lnlqi,Profile-Visual,2022-12-12 16:14:28.840056,stance_crouched 0
70,lnlqi,Profile-Visual,2022-12-12 16:14:37.052431,stance_crouched 0
71,lnlqi,Profile-Visual,2022-12-12 16:14:38.146679,weapon_fired 0
72,lnlqi,Profile-Visual,2022-12-12 16:14:38.222696,weapon_fired 0
73,lnlqi,Profile-Visual,2022-12-12 16:14:38.285711,weapon_fired 0
74,lnlqi,Profile-Visual,2022-12-12 16:14:38.352726,weapon_fired 0
75,lnlqi,Profile-Visual,2022-12-12 16:14:38.423742,weapon_fired 0
76,lnlqi,Profile-Visual,2022-12-12 16:14:38.491757,weapon_fired 0
77,lnlqi,Profile-Visual,2022-12-12 16:14:38.560774,weapon_fired 0
78,lnlqi,Profile-Visual,2022-12-12 16:14:38.568775,stance_crouched 0
79,lnlqi,Profile-Visual,2022-12-12 16:14:40.818285,stance_crouched 0
80,lnlqi,Profile-Visual,2022-12-12 16:14:41.616466,stance_crouched 1
81,lnlqi,Profile-Visual,2022-12-12 16:14:42.120580,stance_crouched 1
82,lnlqi,Profile-Visual,2022-12-12 16:14:43.103695,stance_crouched 1
83,lnlqi,Profile-Visual,2022-12-12 16:14:43.770881,stance_crouched 1
84,lnlqi,Profile-Visual,2022-12-12 16:14:44.332043,weapon_fired 0
85,lnlqi,Profile-Visual,2022-12-12 16:14:44.820153,weapon_fired 0
86,lnlqi,Profile-Visual,2022-12-12 16:14:45.267125,weapon_fired 0
87,lnlqi,Profile-Visual,2022-12-12 16:14:45.736778,killed an enemy
88,lnlqi,Profile-Visual,2022-12-12 16:14:45.739778,weapon_fired 0
89,lnlqi,Profile-Visual,2022-12-12 16:14:45.742779,weapon_fired 1
90,lnlqi,Profile-Visual,2022-12-12 16:14:46.205884,killed an enemy
91,lnlqi,Profile-Visual,2022-12-12 16:14:46.208885,weapon_fired 0
92,lnlqi,Profile-Visual,2022-12-12 16:14:47.752609,killed an enemy
