,Player,Profile,Time,Event
0,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:14:37.341638,auto regenerate armor
1,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:14:37.441449,stance_crouched 0
2,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:14:40.490025,stance_crouched 0
3,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:14:40.575795,activate_objective Enter_the_bank
4,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:15:30.673104,stance_crouched 0
5,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:15:31.037131,stance_crouched 0
6,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:15:32.078682,stance_crouched 0
7,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:15:33.740265,weapon_fired 0
8,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:15:33.886872,weapon_fired 0
9,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:15:34.421001,weapon_fired 0
10,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:15:34.569888,killed an enemy
11,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:15:34.572879,weapon_fired 1
12,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:15:34.707527,weapon_fired 0
13,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:15:34.844152,weapon_fired 0
14,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:15:35.062224,stance_crouched 0
15,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:15:35.989928,stance_crouched 0
16,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:15:36.022056,complete_objective Enter_the_bank
17,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:15:36.618461,weapon_fired 0
18,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:15:36.747116,weapon_fired 0
19,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:15:36.892727,weapon_fired 0
20,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:15:37.029361,activate_objective Inspect_the_second_floor
21,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:15:37.044321,killed an enemy
22,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:15:37.049308,weapon_fired 1
23,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:15:37.186941,weapon_fired 0
24,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:15:37.260743,weapon_fired 0
25,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:15:37.332550,weapon_fired 0
26,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:15:37.572416,stance_crouched 0
27,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:00.326721,weapon_fired 0
28,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:00.470337,weapon_fired 0
29,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:00.617943,weapon_fired 0
30,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:00.705708,weapon_fired 0
31,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:00.772530,weapon_fired 0
32,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:00.846332,weapon_fired 0
33,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:00.908166,weapon_fired 0
34,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:00.979974,weapon_fired 0
35,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:03.731194,stance_crouched 0
36,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:04.017433,stance_crouched 0
37,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:05.146829,complete_objective Inspect_the_second_floor
38,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:06.143034,activate_objective Cut_a_hole_in_the_floor
39,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:13.090462,complete_objective Cut_a_hole_in_the_floor
40,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:13.576983,stance_crouched 1
41,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:14.086608,activate_objective Defend_the_cutter
42,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:15.305936,stance_crouched 0
43,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:16.379122,stance_crouched 0
44,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:19.861321,stance_crouched 0
45,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:22.011825,stance_crouched 0
46,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:22.584294,stance_crouched 0
47,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:23.575912,stance_crouched 0
48,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:24.786933,stance_crouched 0
49,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:28.449827,stance_crouched 0
50,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:28.724093,stance_crouched 0
51,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:29.480071,stance_crouched 0
52,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:29.750095,weapon_fired 0
53,twkfm,Profile-Visual+Weste+Thermal+Sound,2022-12-09 15:16:29.820905,weapon_fired 0
