,Player,Profile,Time,Event
0,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:24.426509,stance_crouched 0
1,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:25.551323,activate_objective Saw_open_the_door
2,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:27.456835,stance_crouched 0
3,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:28.366403,shielded hit
4,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:28.377374,hp 460
5,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:28.379369,armor 91
6,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:28.383359,hp 460
7,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:28.386350,armor 91
8,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:28.389342,health_subtracted 0
9,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:28.394328,hp 460
10,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:28.396325,armor 91
11,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:28.525330,killed an enemy
12,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:28.531824,weapon_fired 1
13,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:28.606624,weapon_fired 0
14,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:28.662979,weapon_fired 0
15,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:28.719828,weapon_fired 0
16,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:28.792633,weapon_fired 0
17,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:28.851476,weapon_fired 0
18,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:28.995093,weapon_fired 0
19,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:29.069475,enemy_headshot
20,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:29.074461,killed an enemy
21,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:29.077453,hp 460
22,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:29.078450,armor 51
23,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:29.081442,weapon_fired 1
24,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:29.154052,weapon_fired 0
25,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:29.224863,weapon_fired 0
26,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:29.286730,weapon_fired 0
27,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:29.351524,weapon_fired 0
28,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:30.766093,hp 460
29,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:30.768087,armor 76
30,twkfm,Profile-Visual+Weste+Thermal,2022-12-09 16:11:30.774071,auto regenerate armor
