,Player,Profile,Time,Event
0,twkfm,Profile-Visual+Weste,2022-12-09 15:54:39.966516,stance_crouched 0
1,twkfm,Profile-Visual+Weste,2022-12-09 15:54:43.271908,stance_crouched 0
2,twkfm,Profile-Visual+Weste,2022-12-09 15:54:43.355684,activate_objective Enter_the_bank
3,twkfm,Profile-Visual+Weste,2022-12-09 15:54:48.795307,stance_crouched 0
4,twkfm,Profile-Visual+Weste,2022-12-09 15:54:49.325915,weapon_fired 0
5,twkfm,Profile-Visual+Weste,2022-12-09 15:54:49.413680,weapon_fired 0
6,twkfm,Profile-Visual+Weste,2022-12-09 15:54:49.480501,weapon_fired 0
7,twkfm,Profile-Visual+Weste,2022-12-09 15:54:49.544329,weapon_fired 0
8,twkfm,Profile-Visual+Weste,2022-12-09 15:54:49.610692,weapon_fired 0
9,twkfm,Profile-Visual+Weste,2022-12-09 15:54:49.764246,weapon_fired 0
10,twkfm,Profile-Visual+Weste,2022-12-09 15:54:49.842024,weapon_fired 0
11,twkfm,Profile-Visual+Weste,2022-12-09 15:54:49.963698,stance_crouched 0
12,twkfm,Profile-Visual+Weste,2022-12-09 15:54:50.330717,killed an enemy
13,twkfm,Profile-Visual+Weste,2022-12-09 15:54:50.334707,weapon_fired 1
14,twkfm,Profile-Visual+Weste,2022-12-09 15:54:50.410504,weapon_fired 0
15,twkfm,Profile-Visual+Weste,2022-12-09 15:54:50.467352,complete_objective Enter_the_bank
16,twkfm,Profile-Visual+Weste,2022-12-09 15:54:50.491288,weapon_fired 0
17,twkfm,Profile-Visual+Weste,2022-12-09 15:54:50.556115,weapon_fired 0
18,twkfm,Profile-Visual+Weste,2022-12-09 15:54:51.381446,weapon_fired 0
19,twkfm,Profile-Visual+Weste,2022-12-09 15:54:51.453253,activate_objective Inspect_the_second_floor
20,twkfm,Profile-Visual+Weste,2022-12-09 15:54:51.462229,weapon_fired 0
21,twkfm,Profile-Visual+Weste,2022-12-09 15:54:51.528053,hp 460
22,twkfm,Profile-Visual+Weste,2022-12-09 15:54:51.531045,armor 91
23,twkfm,Profile-Visual+Weste,2022-12-09 15:54:51.535036,enemy_headshot
24,twkfm,Profile-Visual+Weste,2022-12-09 15:54:51.542016,killed an enemy
25,twkfm,Profile-Visual+Weste,2022-12-09 15:54:51.546005,weapon_fired 1
26,twkfm,Profile-Visual+Weste,2022-12-09 15:54:51.611830,weapon_fired 0
27,twkfm,Profile-Visual+Weste,2022-12-09 15:54:51.676656,weapon_fired 0
28,twkfm,Profile-Visual+Weste,2022-12-09 15:54:51.739487,weapon_fired 0
29,twkfm,Profile-Visual+Weste,2022-12-09 15:54:51.810298,weapon_fired 0
