,Player,Profile,Time,Event
0,twkfm,Profile-Visual,2022-12-09 15:38:04.245190,hp 460
1,twkfm,Profile-Visual,2022-12-09 15:38:04.246189,armor 0
2,twkfm,Profile-Visual,2022-12-09 15:38:04.250178,auto regenerate armor
3,twkfm,Profile-Visual,2022-12-09 15:38:04.350352,stance_crouched 0
4,twkfm,Profile-Visual,2022-12-09 15:38:07.619814,stance_crouched 0
5,twkfm,Profile-Visual,2022-12-09 15:38:07.732513,activate_objective Enter_the_bank
6,twkfm,Profile-Visual,2022-12-09 15:38:12.029458,stance_crouched 0
7,twkfm,Profile-Visual,2022-12-09 15:38:12.186548,killed an enemy
8,twkfm,Profile-Visual,2022-12-09 15:38:12.195525,weapon_fired 1
9,twkfm,Profile-Visual,2022-12-09 15:38:12.265338,weapon_fired 0
10,twkfm,Profile-Visual,2022-12-09 15:38:12.341135,weapon_fired 0
11,twkfm,Profile-Visual,2022-12-09 15:38:12.400975,weapon_fired 0
12,twkfm,Profile-Visual,2022-12-09 15:38:12.453833,weapon_fired 0
13,twkfm,Profile-Visual,2022-12-09 15:38:12.521652,weapon_fired 0
14,twkfm,Profile-Visual,2022-12-09 15:38:12.557557,stance_crouched 0
15,twkfm,Profile-Visual,2022-12-09 15:38:14.117837,complete_objective Enter_the_bank
16,twkfm,Profile-Visual,2022-12-09 15:38:15.119329,activate_objective Inspect_the_second_floor
17,twkfm,Profile-Visual,2022-12-09 15:38:21.604566,stance_crouched 1
18,twkfm,Profile-Visual,2022-12-09 15:38:21.799046,stance_crouched 0
19,twkfm,Profile-Visual,2022-12-09 15:38:22.225904,stance_crouched 1
20,twkfm,Profile-Visual,2022-12-09 15:38:22.249842,stance_crouched 0
21,twkfm,Profile-Visual,2022-12-09 15:38:22.731552,stance_crouched 1
22,twkfm,Profile-Visual,2022-12-09 15:38:22.860444,stance_crouched 0
23,twkfm,Profile-Visual,2022-12-09 15:38:30.430568,complete_objective Inspect_the_second_floor
24,twkfm,Profile-Visual,2022-12-09 15:38:31.428803,activate_objective Cut_a_hole_in_the_floor
25,twkfm,Profile-Visual,2022-12-09 15:38:36.521229,complete_objective Cut_a_hole_in_the_floor
