,Player,Profile,Time,Event
0,yicwd,Profile-Visual+Weste+Thermal+Sound,2022-12-09 12:26:17.195351,stance_crouched 0
1,yicwd,Profile-Visual+Weste+Thermal+Sound,2022-12-09 12:26:20.474291,stance_crouched 0
2,yicwd,Profile-Visual+Weste+Thermal+Sound,2022-12-09 12:26:20.589983,activate_objective Enter_the_bank
3,yicwd,Profile-Visual+Weste+Thermal+Sound,2022-12-09 12:26:23.142643,weapon_fired 0
4,yicwd,Profile-Visual+Weste+Thermal+Sound,2022-12-09 12:26:24.520093,stance_crouched 1
5,yicwd,Profile-Visual+Weste+Thermal+Sound,2022-12-09 12:26:25.433410,stance_crouched 0
6,yicwd,Profile-Visual+Weste+Thermal+Sound,2022-12-09 12:26:27.729902,weapon_fired 1
7,yicwd,Profile-Visual+Weste+Thermal+Sound,2022-12-09 12:26:27.812707,weapon_fired 0
8,yicwd,Profile-Visual+Weste+Thermal+Sound,2022-12-09 12:26:27.871524,complete_objective Enter_the_bank
9,yicwd,Profile-Visual+Weste+Thermal+Sound,2022-12-09 12:26:27.877507,weapon_fired 0
10,yicwd,Profile-Visual+Weste+Thermal+Sound,2022-12-09 12:26:28.280547,weapon_fired 0
11,yicwd,Profile-Visual+Weste+Thermal+Sound,2022-12-09 12:26:28.356933,weapon_fired 0
12,yicwd,Profile-Visual+Weste+Thermal+Sound,2022-12-09 12:26:28.430737,hp 460
13,yicwd,Profile-Visual+Weste+Thermal+Sound,2022-12-09 12:26:28.432731,armor 91
14,yicwd,Profile-Visual+Weste+Thermal+Sound,2022-12-09 12:26:28.437717,enemy_headshot
15,yicwd,Profile-Visual+Weste+Thermal+Sound,2022-12-09 12:26:28.441707,killed an enemy
16,yicwd,Profile-Visual+Weste+Thermal+Sound,2022-12-09 12:26:28.444698,weapon_fired 1
17,yicwd,Profile-Visual+Weste+Thermal+Sound,2022-12-09 12:26:28.512517,weapon_fired 0
18,yicwd,Profile-Visual+Weste+Thermal+Sound,2022-12-09 12:26:28.588315,weapon_fired 0
19,yicwd,Profile-Visual+Weste+Thermal+Sound,2022-12-09 12:26:28.863578,activate_objective Saw_open_the_door
