,Player,Profile,Time,Event
0,yicwd,Profile-Visual+Weste+Thermal,2022-12-09 12:09:38.108841,stance_crouched 0
1,yicwd,Profile-Visual+Weste+Thermal,2022-12-09 12:09:41.393358,stance_crouched 0
2,yicwd,Profile-Visual+Weste+Thermal,2022-12-09 12:09:41.442228,activate_objective Enter_the_bank
3,yicwd,Profile-Visual+Weste+Thermal,2022-12-09 12:09:43.932130,complete_objective Enter_the_bank
4,yicwd,Profile-Visual+Weste+Thermal,2022-12-09 12:09:44.399255,weapon_fired 0
5,yicwd,Profile-Visual+Weste+Thermal,2022-12-09 12:09:44.480039,weapon_fired 0
6,yicwd,Profile-Visual+Weste+Thermal,2022-12-09 12:09:44.541873,weapon_fired 0
7,yicwd,Profile-Visual+Weste+Thermal,2022-12-09 12:09:44.615675,weapon_fired 0
8,yicwd,Profile-Visual+Weste+Thermal,2022-12-09 12:09:44.683495,weapon_fired 0
9,yicwd,Profile-Visual+Weste+Thermal,2022-12-09 12:09:44.749319,weapon_fired 0
10,yicwd,Profile-Visual+Weste+Thermal,2022-12-09 12:09:44.927841,activate_objective Saw_open_the_door
11,yicwd,Profile-Visual+Weste+Thermal,2022-12-09 12:09:44.987681,stance_crouched 0
12,yicwd,Profile-Visual+Weste+Thermal,2022-12-09 12:09:45.287878,weapon_fired 0
13,yicwd,Profile-Visual+Weste+Thermal,2022-12-09 12:09:45.353302,weapon_fired 0
14,yicwd,Profile-Visual+Weste+Thermal,2022-12-09 12:09:45.422090,weapon_fired 0
15,yicwd,Profile-Visual+Weste+Thermal,2022-12-09 12:09:45.493898,weapon_fired 0
16,yicwd,Profile-Visual+Weste+Thermal,2022-12-09 12:09:45.569696,weapon_fired 1
17,yicwd,Profile-Visual+Weste+Thermal,2022-12-09 12:09:45.636549,weapon_fired 0
18,yicwd,Profile-Visual+Weste+Thermal,2022-12-09 12:09:45.708223,weapon_fired 0
19,yicwd,Profile-Visual+Weste+Thermal,2022-12-09 12:09:45.774047,weapon_fired 0
20,yicwd,Profile-Visual+Weste+Thermal,2022-12-09 12:09:45.844858,weapon_fired 0
21,yicwd,Profile-Visual+Weste+Thermal,2022-12-09 12:09:46.177966,stance_crouched 0
22,yicwd,Profile-Visual+Weste+Thermal,2022-12-09 12:09:46.462237,killed an enemy
23,yicwd,Profile-Visual+Weste+Thermal,2022-12-09 12:09:46.469187,weapon_fired 1
24,yicwd,Profile-Visual+Weste+Thermal,2022-12-09 12:09:46.540996,weapon_fired 0
25,yicwd,Profile-Visual+Weste+Thermal,2022-12-09 12:09:46.610809,weapon_fired 0
