,Player,Profile,Time,Event
0,yicwd,Profile-Visual+Weste,2022-12-09 12:57:58.524613,stance_crouched 0
1,yicwd,Profile-Visual+Weste,2022-12-09 12:57:59.669696,activate_objective Inspect_the_second_floor
2,yicwd,Profile-Visual+Weste,2022-12-09 12:58:01.638616,stance_crouched 0
3,yicwd,Profile-Visual+Weste,2022-12-09 12:58:12.276595,complete_objective Inspect_the_second_floor
4,yicwd,Profile-Visual+Weste,2022-12-09 12:58:13.277446,activate_objective Cut_a_hole_in_the_floor
5,yicwd,Profile-Visual+Weste,2022-12-09 12:58:13.531815,stance_crouched 1
6,yicwd,Profile-Visual+Weste,2022-12-09 12:58:17.523962,stance_crouched 0
7,yicwd,Profile-Visual+Weste,2022-12-09 12:58:17.829145,complete_objective Cut_a_hole_in_the_floor
8,yicwd,Profile-Visual+Weste,2022-12-09 12:58:18.829666,activate_objective Defend_the_cutter
9,yicwd,Profile-Visual+Weste,2022-12-09 12:58:21.267226,stance_crouched 1
10,yicwd,Profile-Visual+Weste,2022-12-09 12:58:22.773619,stance_crouched 0
11,yicwd,Profile-Visual+Weste,2022-12-09 12:58:24.645329,stance_crouched 1
12,yicwd,Profile-Visual+Weste,2022-12-09 12:58:27.126678,stance_crouched 0
13,yicwd,Profile-Visual+Weste,2022-12-09 12:58:31.105805,enemy_headshot
14,yicwd,Profile-Visual+Weste,2022-12-09 12:58:31.110792,hp 460
15,yicwd,Profile-Visual+Weste,2022-12-09 12:58:31.113782,armor 91
16,yicwd,Profile-Visual+Weste,2022-12-09 12:58:31.118770,killed an enemy
17,yicwd,Profile-Visual+Weste,2022-12-09 12:58:31.121762,weapon_fired 1
18,yicwd,Profile-Visual+Weste,2022-12-09 12:58:31.197558,weapon_fired 0
19,yicwd,Profile-Visual+Weste,2022-12-09 12:58:33.821123,hp 460
20,yicwd,Profile-Visual+Weste,2022-12-09 12:58:33.824115,armor 91
21,yicwd,Profile-Visual+Weste,2022-12-09 12:58:33.828104,shielded hit
22,yicwd,Profile-Visual+Weste,2022-12-09 12:58:33.832093,health_subtracted 0
23,yicwd,Profile-Visual+Weste,2022-12-09 12:58:33.834087,hp 460
24,yicwd,Profile-Visual+Weste,2022-12-09 12:58:33.836083,armor 91
25,yicwd,Profile-Visual+Weste,2022-12-09 12:58:33.839075,hp 460
26,yicwd,Profile-Visual+Weste,2022-12-09 12:58:33.841069,armor 91
27,yicwd,Profile-Visual+Weste,2022-12-09 12:58:34.430003,stance_crouched 0
28,yicwd,Profile-Visual+Weste,2022-12-09 12:58:34.534724,stance_crouched 1
29,yicwd,Profile-Visual+Weste,2022-12-09 12:58:35.160434,stance_crouched 0
30,yicwd,Profile-Visual+Weste,2022-12-09 12:58:35.701527,enemy_headshot
31,yicwd,Profile-Visual+Weste,2022-12-09 12:58:35.708507,hp 460
32,yicwd,Profile-Visual+Weste,2022-12-09 12:58:35.711501,armor 71
33,yicwd,Profile-Visual+Weste,2022-12-09 12:58:35.717484,killed an enemy
34,yicwd,Profile-Visual+Weste,2022-12-09 12:58:35.723468,weapon_fired 0
35,yicwd,Profile-Visual+Weste,2022-12-09 12:58:36.363756,enemy_headshot
36,yicwd,Profile-Visual+Weste,2022-12-09 12:58:36.368743,killed an enemy
37,yicwd,Profile-Visual+Weste,2022-12-09 12:58:36.372731,weapon_fired 0
38,yicwd,Profile-Visual+Weste,2022-12-09 12:58:36.375723,weapon_fired 1
39,yicwd,Profile-Visual+Weste,2022-12-09 12:58:37.203569,killed an enemy
40,yicwd,Profile-Visual+Weste,2022-12-09 12:58:37.208555,enemy_headshot
41,yicwd,Profile-Visual+Weste,2022-12-09 12:58:37.212545,weapon_fired 0
42,yicwd,Profile-Visual+Weste,2022-12-09 12:58:37.215537,weapon_fired 1
43,yicwd,Profile-Visual+Weste,2022-12-09 12:58:38.381343,stance_crouched 1
