,Player,Profile,Time,Event
0,yicwd,Profile-Visual,2022-12-09 12:41:48.888652,stance_crouched 0
1,yicwd,Profile-Visual,2022-12-09 12:41:52.297098,stance_crouched 0
2,yicwd,Profile-Visual,2022-12-09 12:41:52.347961,activate_objective Enter_the_bank
3,yicwd,Profile-Visual,2022-12-09 12:41:55.362955,killed an enemy
4,yicwd,Profile-Visual,2022-12-09 12:41:55.366945,weapon_fired 1
5,yicwd,Profile-Visual,2022-12-09 12:41:55.441745,weapon_fired 0
6,yicwd,Profile-Visual,2022-12-09 12:41:55.870391,killed an enemy
7,yicwd,Profile-Visual,2022-12-09 12:41:55.874380,enemy_headshot
8,yicwd,Profile-Visual,2022-12-09 12:41:55.878369,hp 460
9,yicwd,Profile-Visual,2022-12-09 12:41:55.879367,armor 91
10,yicwd,Profile-Visual,2022-12-09 12:41:55.884353,weapon_fired 1
11,yicwd,Profile-Visual,2022-12-09 12:41:55.949180,weapon_fired 0
12,yicwd,Profile-Visual,2022-12-09 12:41:56.020988,weapon_fired 0
13,yicwd,Profile-Visual,2022-12-09 12:41:56.091798,weapon_fired 0
14,yicwd,Profile-Visual,2022-12-09 12:41:56.833323,complete_objective Enter_the_bank
15,yicwd,Profile-Visual,2022-12-09 12:41:57.833469,activate_objective Inspect_the_second_floor
16,yicwd,Profile-Visual,2022-12-09 12:42:09.939087,complete_objective Inspect_the_second_floor
17,yicwd,Profile-Visual,2022-12-09 12:42:10.933459,activate_objective Cut_a_hole_in_the_floor
18,yicwd,Profile-Visual,2022-12-09 12:42:12.574878,stance_crouched 1
19,yicwd,Profile-Visual,2022-12-09 12:42:16.947239,complete_objective Cut_a_hole_in_the_floor
20,yicwd,Profile-Visual,2022-12-09 12:42:17.329540,stance_crouched 0
21,yicwd,Profile-Visual,2022-12-09 12:42:17.942878,activate_objective Defend_the_cutter
22,yicwd,Profile-Visual,2022-12-09 12:42:24.936107,weapon_fired 0
23,yicwd,Profile-Visual,2022-12-09 12:42:25.007916,weapon_fired 0
24,yicwd,Profile-Visual,2022-12-09 12:42:25.244283,killed an enemy
25,yicwd,Profile-Visual,2022-12-09 12:42:25.247275,enemy_headshot
