,Player,Profile,Time,Event
0,zegfw,Profile-Visual+Weste+Thermal+Sound,2022-12-15 14:03:58.541851,stance_crouched 0
1,zegfw,Profile-Visual+Weste+Thermal+Sound,2022-12-15 14:04:02.027040,stance_crouched 0
2,zegfw,Profile-Visual+Weste+Thermal+Sound,2022-12-15 14:04:02.088874,activate_objective Enter_the_bank
3,zegfw,Profile-Visual+Weste+Thermal+Sound,2022-12-15 14:04:11.498463,weapon_fired 0
4,zegfw,Profile-Visual+Weste+Thermal+Sound,2022-12-15 14:04:11.569273,killed an enemy
5,zegfw,Profile-Visual+Weste+Thermal+Sound,2022-12-15 14:04:11.572265,weapon_fired 1
6,zegfw,Profile-Visual+Weste+Thermal+Sound,2022-12-15 14:04:11.746105,weapon_fired 0
7,zegfw,Profile-Visual+Weste+Thermal+Sound,2022-12-15 14:04:11.826525,weapon_fired 0
8,zegfw,Profile-Visual+Weste+Thermal+Sound,2022-12-15 14:04:15.304254,complete_objective Enter_the_bank
9,zegfw,Profile-Visual+Weste+Thermal+Sound,2022-12-15 14:04:16.266999,activate_objective Saw_open_the_door
10,zegfw,Profile-Visual+Weste+Thermal+Sound,2022-12-15 14:04:20.546974,weapon_fired 0
11,zegfw,Profile-Visual+Weste+Thermal+Sound,2022-12-15 14:04:20.617784,killed an enemy
12,zegfw,Profile-Visual+Weste+Thermal+Sound,2022-12-15 14:04:20.621780,weapon_fired 1
13,zegfw,Profile-Visual+Weste+Thermal+Sound,2022-12-15 14:04:20.644739,stance_crouched 1
14,zegfw,Profile-Visual+Weste+Thermal+Sound,2022-12-15 14:04:20.702559,weapon_fired 0
15,zegfw,Profile-Visual+Weste+Thermal+Sound,2022-12-15 14:04:20.867149,weapon_fired 0
16,zegfw,Profile-Visual+Weste+Thermal+Sound,2022-12-15 14:04:20.936961,weapon_fired 0
17,zegfw,Profile-Visual+Weste+Thermal+Sound,2022-12-15 14:04:21.534182,stance_crouched 0
18,zegfw,Profile-Visual+Weste+Thermal+Sound,2022-12-15 14:04:23.992681,stance_crouched 1
19,zegfw,Profile-Visual+Weste+Thermal+Sound,2022-12-15 14:04:27.264560,complete_objective Saw_open_the_door
