,Player,Profile,Time,Event
0,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:43:56.553919,stance_crouched 0
1,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:43:59.712934,stance_crouched 0
2,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:43:59.821643,activate_objective Enter_the_bank
3,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:08.800517,weapon_fired 0
4,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:08.888252,weapon_fired 0
5,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:09.164512,weapon_fired 0
6,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:09.244298,weapon_fired 0
7,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:09.315109,weapon_fired 0
8,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:09.375947,weapon_fired 0
9,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:09.440773,weapon_fired 0
10,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:09.505957,enemy_headshot
11,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:09.508948,hp 460
12,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:09.510944,armor 91
13,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:09.515931,killed an enemy
14,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:09.518923,weapon_fired 1
15,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:09.581755,weapon_fired 0
16,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:09.648575,weapon_fired 0
17,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:09.723376,weapon_fired 0
18,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:09.792190,weapon_fired 0
19,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:09.860010,weapon_fired 0
20,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:10.128478,killed an enemy
21,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:10.132468,weapon_fired 1
22,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:10.212254,weapon_fired 1
23,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:10.285060,weapon_fired 0
24,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:10.360857,weapon_fired 0
25,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:10.420697,weapon_fired 0
26,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:10.484526,weapon_fired 0
27,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:11.525114,complete_objective Enter_the_bank
28,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:12.513616,activate_objective Saw_open_the_door
29,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:20.295537,complete_objective Saw_open_the_door
30,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:21.302478,activate_objective Defend_the_saw
31,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:21.563780,stance_crouched 1
32,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:22.166169,stance_crouched 1
33,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:22.814435,stance_crouched 0
34,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:23.630253,stance_crouched 0
35,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:24.694759,stance_crouched 0
36,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:26.319743,stance_crouched 0
37,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:27.201242,stance_crouched 0
38,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:27.518393,stance_crouched 0
39,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:29.903520,stance_crouched 0
40,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:30.231011,stance_crouched 0
41,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:31.932035,stance_crouched 0
42,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:32.502508,stance_crouched 1
43,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:32.578305,weapon_fired 0
44,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:32.651111,weapon_fired 0
45,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:32.724913,weapon_fired 0
46,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:33.151694,killed an enemy
47,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:33.155685,weapon_fired 1
48,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:33.231482,weapon_fired 0
49,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:33.544327,weapon_fired 0
50,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:33.623116,weapon_fired 0
51,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:34.200516,killed an enemy
52,zegfw,Profile-Visual+Weste+Thermal,2022-12-15 13:44:34.208495,weapon_fired 1
