,Player,Profile,Time,Event
0,zegfw,Profile-Visual+Weste,2022-12-15 13:20:38.467868,stance_crouched 0
1,zegfw,Profile-Visual+Weste,2022-12-15 13:20:41.651101,stance_crouched 0
2,zegfw,Profile-Visual+Weste,2022-12-15 13:20:41.752828,activate_objective Enter_the_bank
3,zegfw,Profile-Visual+Weste,2022-12-15 13:20:46.327328,stance_crouched 0
4,zegfw,Profile-Visual+Weste,2022-12-15 13:20:46.651462,killed an enemy
5,zegfw,Profile-Visual+Weste,2022-12-15 13:20:46.655452,weapon_fired 1
6,zegfw,Profile-Visual+Weste,2022-12-15 13:20:46.720277,weapon_fired 0
7,zegfw,Profile-Visual+Weste,2022-12-15 13:20:46.797072,weapon_fired 0
8,zegfw,Profile-Visual+Weste,2022-12-15 13:20:46.869878,weapon_fired 0
9,zegfw,Profile-Visual+Weste,2022-12-15 13:20:46.933706,weapon_fired 0
10,zegfw,Profile-Visual+Weste,2022-12-15 13:20:47.039423,weapon_fired 0
11,zegfw,Profile-Visual+Weste,2022-12-15 13:20:47.115221,weapon_fired 0
12,zegfw,Profile-Visual+Weste,2022-12-15 13:20:47.184037,weapon_fired 0
13,zegfw,Profile-Visual+Weste,2022-12-15 13:20:47.957167,killed an enemy
14,zegfw,Profile-Visual+Weste,2022-12-15 13:20:47.960158,weapon_fired 1
15,zegfw,Profile-Visual+Weste,2022-12-15 13:20:48.032964,weapon_fired 0
16,zegfw,Profile-Visual+Weste,2022-12-15 13:20:48.101780,weapon_fired 0
17,zegfw,Profile-Visual+Weste,2022-12-15 13:20:48.173587,weapon_fired 1
18,zegfw,Profile-Visual+Weste,2022-12-15 13:20:48.238415,weapon_fired 0
19,zegfw,Profile-Visual+Weste,2022-12-15 13:20:48.310223,weapon_fired 0
20,zegfw,Profile-Visual+Weste,2022-12-15 13:20:48.380036,weapon_fired 0
21,zegfw,Profile-Visual+Weste,2022-12-15 13:20:48.453839,weapon_fired 0
22,zegfw,Profile-Visual+Weste,2022-12-15 13:20:48.575514,stance_crouched 0
23,zegfw,Profile-Visual+Weste,2022-12-15 13:20:49.724626,complete_objective Enter_the_bank
24,zegfw,Profile-Visual+Weste,2022-12-15 13:20:50.725594,activate_objective Saw_open_the_door
25,zegfw,Profile-Visual+Weste,2022-12-15 13:20:56.081412,stance_crouched 0
26,zegfw,Profile-Visual+Weste,2022-12-15 13:20:56.308804,weapon_fired 0
27,zegfw,Profile-Visual+Weste,2022-12-15 13:20:56.379645,stance_crouched 0
28,zegfw,Profile-Visual+Weste,2022-12-15 13:20:56.397567,hp 460
29,zegfw,Profile-Visual+Weste,2022-12-15 13:20:56.399561,armor 91
30,zegfw,Profile-Visual+Weste,2022-12-15 13:20:56.405545,killed an enemy
31,zegfw,Profile-Visual+Weste,2022-12-15 13:20:56.408537,enemy_headshot
32,zegfw,Profile-Visual+Weste,2022-12-15 13:20:56.412527,weapon_fired 1
33,zegfw,Profile-Visual+Weste,2022-12-15 13:20:56.458403,weapon_fired 0
34,zegfw,Profile-Visual+Weste,2022-12-15 13:20:56.524737,weapon_fired 0
35,zegfw,Profile-Visual+Weste,2022-12-15 13:20:56.591557,weapon_fired 0
36,zegfw,Profile-Visual+Weste,2022-12-15 13:20:56.657381,weapon_fired 0
37,zegfw,Profile-Visual+Weste,2022-12-15 13:20:56.694309,stance_crouched 0
38,zegfw,Profile-Visual+Weste,2022-12-15 13:20:56.732181,weapon_fired 0
39,zegfw,Profile-Visual+Weste,2022-12-15 13:20:56.799999,weapon_fired 0
40,zegfw,Profile-Visual+Weste,2022-12-15 13:20:56.871808,weapon_fired 0
41,zegfw,Profile-Visual+Weste,2022-12-15 13:20:56.936636,weapon_fired 0
42,zegfw,Profile-Visual+Weste,2022-12-15 13:20:57.009673,weapon_fired 0
