,Player,Profile,Time,Event
0,zegfw,Profile-Visual,2022-12-15 14:25:06.835500,stance_crouched 0
1,zegfw,Profile-Visual,2022-12-15 14:25:10.111116,stance_crouched 0
2,zegfw,Profile-Visual,2022-12-15 14:25:10.165969,activate_objective Enter_the_bank
3,zegfw,Profile-Visual,2022-12-15 14:25:12.811038,stance_crouched 0
4,zegfw,Profile-Visual,2022-12-15 14:25:13.347603,stance_crouched 0
5,zegfw,Profile-Visual,2022-12-15 14:25:13.712931,stance_crouched 0
6,zegfw,Profile-Visual,2022-12-15 14:25:14.483206,stance_crouched 0
7,zegfw,Profile-Visual,2022-12-15 14:25:15.436944,stance_crouched 0
8,zegfw,Profile-Visual,2022-12-15 14:25:15.598512,stance_crouched 1
9,zegfw,Profile-Visual,2022-12-15 14:25:16.054444,stance_crouched 1
10,zegfw,Profile-Visual,2022-12-15 14:25:16.124258,stance_crouched 0
11,zegfw,Profile-Visual,2022-12-15 14:25:16.784491,stance_crouched 1
12,zegfw,Profile-Visual,2022-12-15 14:25:18.041786,stance_crouched 0
13,zegfw,Profile-Visual,2022-12-15 14:25:18.739178,weapon_fired 1
14,zegfw,Profile-Visual,2022-12-15 14:25:18.826943,killed an enemy
15,zegfw,Profile-Visual,2022-12-15 14:25:18.830932,weapon_fired 1
16,zegfw,Profile-Visual,2022-12-15 14:25:20.739749,complete_objective Enter_the_bank
17,zegfw,Profile-Visual,2022-12-15 14:25:21.738257,activate_objective Inspect_the_second_floor
18,zegfw,Profile-Visual,2022-12-15 14:25:22.236937,stance_crouched 1
19,zegfw,Profile-Visual,2022-12-15 14:25:22.802596,stance_crouched 0
20,zegfw,Profile-Visual,2022-12-15 14:25:41.552176,complete_objective Inspect_the_second_floor
21,zegfw,Profile-Visual,2022-12-15 14:25:42.548075,activate_objective Cut_a_hole_in_the_floor
22,zegfw,Profile-Visual,2022-12-15 14:25:49.623272,complete_objective Cut_a_hole_in_the_floor
23,zegfw,Profile-Visual,2022-12-15 14:25:50.614800,activate_objective Defend_the_cutter
24,zegfw,Profile-Visual,2022-12-15 14:25:51.386324,killed an enemy
25,zegfw,Profile-Visual,2022-12-15 14:25:51.390313,weapon_fired 1
26,zegfw,Profile-Visual,2022-12-15 14:25:51.459806,weapon_fired 0
27,zegfw,Profile-Visual,2022-12-15 14:25:51.530617,weapon_fired 0
28,zegfw,Profile-Visual,2022-12-15 14:25:51.612372,weapon_fired 0
29,zegfw,Profile-Visual,2022-12-15 14:25:51.676202,weapon_fired 0
30,zegfw,Profile-Visual,2022-12-15 14:25:51.736059,weapon_fired 0
31,zegfw,Profile-Visual,2022-12-15 14:25:51.808863,weapon_fired 0
32,zegfw,Profile-Visual,2022-12-15 14:25:52.241008,weapon_fired 0
33,zegfw,Profile-Visual,2022-12-15 14:25:52.313785,weapon_fired 0
34,zegfw,Profile-Visual,2022-12-15 14:25:52.391584,weapon_fired 0
35,zegfw,Profile-Visual,2022-12-15 14:25:52.643902,weapon_fired 0
36,zegfw,Profile-Visual,2022-12-15 14:25:52.708729,weapon_fired 0
37,zegfw,Profile-Visual,2022-12-15 14:25:54.389839,stance_crouched 1
38,zegfw,Profile-Visual,2022-12-15 14:25:56.046039,stance_crouched 0
39,zegfw,Profile-Visual,2022-12-15 14:25:56.435097,weapon_fired 0
40,zegfw,Profile-Visual,2022-12-15 14:25:56.516878,weapon_fired 0
41,zegfw,Profile-Visual,2022-12-15 14:25:56.578712,weapon_fired 0
42,zegfw,Profile-Visual,2022-12-15 14:25:56.719337,stance_crouched 1
43,zegfw,Profile-Visual,2022-12-15 14:25:59.927666,stance_crouched 0
44,zegfw,Profile-Visual,2022-12-15 14:26:00.594829,stance_crouched 1
45,zegfw,Profile-Visual,2022-12-15 14:26:01.435580,stance_crouched 0
46,zegfw,Profile-Visual,2022-12-15 14:26:02.009049,enemy_headshot
47,zegfw,Profile-Visual,2022-12-15 14:26:02.013037,killed an enemy
48,zegfw,Profile-Visual,2022-12-15 14:26:02.016029,hp 460
49,zegfw,Profile-Visual,2022-12-15 14:26:02.018023,armor 91
50,zegfw,Profile-Visual,2022-12-15 14:26:02.022013,weapon_fired 1
51,zegfw,Profile-Visual,2022-12-15 14:26:02.080856,weapon_fired 0
52,zegfw,Profile-Visual,2022-12-15 14:26:02.206519,weapon_fired 0
53,zegfw,Profile-Visual,2022-12-15 14:26:02.276333,weapon_fired 0
54,zegfw,Profile-Visual,2022-12-15 14:26:02.506717,killed an enemy
55,zegfw,Profile-Visual,2022-12-15 14:26:02.513698,weapon_fired 1
56,zegfw,Profile-Visual,2022-12-15 14:26:02.581516,weapon_fired 0
57,zegfw,Profile-Visual,2022-12-15 14:26:02.587533,hp 460
58,zegfw,Profile-Visual,2022-12-15 14:26:02.589496,armor 91
59,zegfw,Profile-Visual,2022-12-15 14:26:02.595480,hp 460
60,zegfw,Profile-Visual,2022-12-15 14:26:02.597473,armor 91
61,zegfw,Profile-Visual,2022-12-15 14:26:02.606451,hp 460
62,zegfw,Profile-Visual,2022-12-15 14:26:02.608445,armor 91
63,zegfw,Profile-Visual,2022-12-15 14:26:02.616424,shielded hit
64,zegfw,Profile-Visual,2022-12-15 14:26:02.618418,health_subtracted 0
65,zegfw,Profile-Visual,2022-12-15 14:26:02.695213,enemy_headshot
66,zegfw,Profile-Visual,2022-12-15 14:26:02.699202,killed an enemy
67,zegfw,Profile-Visual,2022-12-15 14:26:02.702194,weapon_fired 1
68,zegfw,Profile-Visual,2022-12-15 14:26:02.769015,weapon_fired 0
69,zegfw,Profile-Visual,2022-12-15 14:26:02.961501,weapon_fired 0
70,zegfw,Profile-Visual,2022-12-15 14:26:03.014359,stance_crouched 1
71,zegfw,Profile-Visual,2022-12-15 14:26:03.038295,weapon_fired 0
72,zegfw,Profile-Visual,2022-12-15 14:26:05.066815,hp 460
73,zegfw,Profile-Visual,2022-12-15 14:26:05.068810,armor 71
74,zegfw,Profile-Visual,2022-12-15 14:26:05.070837,auto regenerate armor
75,zegfw,Profile-Visual,2022-12-15 14:26:05.125689,stance_crouched 0
76,zegfw,Profile-Visual,2022-12-15 14:26:07.079971,weapon_fired 0
77,zegfw,Profile-Visual,2022-12-15 14:26:07.153775,weapon_fired 0
