CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,BA01_01,BA02_01,BA03_01,BA04_01,BA05_01,BA05_02,BA05_07,BA06_01,BA06_03,BA06_04,BA06_05,BA06_06,BA07_01,BA08_01,BA09_01,BB01_01,BB01_02,BB02_01,BB03_01,BB03_02,BB04_01,BB04_02,BB05_01,BB05_02,BB05_07,BB06_01,BB06_03,BB06_04,BB06_05,BB06_06,BB07_01,BB08_01,BB09_01,BC01_01,BC01_02,BC01_03,BC02_01,BC03_01,BC03_02,BC03_03,BC04_01,BC04_02,BC04_03,BC05_01,BC05_02,BC05_07,BC06_01,BC06_03,BC06_04,BC06_05,BC06_06,BC07_01,BC08_01,BC09_01,BD01_01,BD01_02,BD01_03,BD01_04,BD02_01,BD03_01,BD03_02,BD03_03,BD03_04,BD04_01,BD04_02,BD04_03,BD04_04,BD05_01,BD05_02,BD05_07,BD06_01,BD06_03,BD06_04,BD06_05,BD06_06,BD07_01,BD08_01,BD09_01,BD10_01,BD10_02,BD10_03,BD10_04,BD10_05,BD10_06,BD10_07,BD10_08,BD10_09,BD10_10,BD10_11,BD10_12,BD10_13,DD01_01,DD02,DD04,DD05_01,DD05_02,DD05_03,DD05_04,IF01,IF01_01,IF01_02,IF01_03,IF01_04,IF01_06,IF02_01,IF02_02,IF02_03,IF02_04,IF03_01,IF04_01,IF05_01,IF06_01,IF07_01,P102_01,V002_01,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME021,TIME022,TIME023,TIME024,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
38,,,base,interview,2022-11-30 21:55:53,5,5,1,1,5,7,7,1,7,1,1,7,7,5,7,5,6,7,1,3,1,2,4,5,7,1,7,3,2,7,7,6,7,2,6,6,7,1,3,1,1,1,1,2,7,7,1,7,3,1,7,7,5,7,2,6,5,1,5,1,1,1,1,1,1,1,7,1,7,7,1,7,2,1,7,1,5,1,7,6,2,1,3,7,7,2,7,1,1,7,1,27,2,2,7,7,1,1,2,1,1,2,2,1,5,7,7,1,eher keine sobald vibration da war,richtung und häufigkeit,hilfreich bei hoher häufigkeit,hat nerven gekostet.<br>konnte man aber ausblenden nach einer weile,7,dycnh,,25,62,46,212,50,1045,24,43,12,578,24,36,10,911,26,19,7,1051,33,41,12,59,95,9,0,,2022-11-30 23:09:43,1,0,24,24,1,1,,100
42,,,base,interview,2022-12-04 14:11:28,1,5,1,1,1,5,3,1,6,1,1,7,5,3,7,5,5,4,1,4,1,4,5,3,4,1,5,1,2,7,6,6,7,4,6,4,4,1,3,5,1,3,5,5,1,5,1,6,3,1,7,5,6,7,4,6,4,6,7,1,3,5,5,1,4,5,3,5,2,4,1,6,5,2,7,7,7,7,7,6,4,2,5,2,6,6,7,3,1,5,2,20,3,2,7,6,5,3,3,1,2,2,2,1,4,7,3,5,Leider eher wenig weil ich es nicht so aktiv mitbekommen habe.,Durch die Vibrationsveste wusste ich genau wo sich meine Gegner aufgehalten haben.,Das thermische Feedback hat mir mitgeteilt dass ich mich wahrscheinlich mal irgendwo verstecken sollte um nicht nochmehr Schaden zugefügt zu bekommen.,Das auditive Feedback hat mir vorallem direkt mitgeteilt wenn meine Rüstung gekaputt gegangen ist und damit dass ich mich irgendwo verstecken muss um diese wieder zu regenerieren.<br>,7,JUHEO,Hat sehr viel Spaß gemacht!,78,72,68,10,196,1318,32,61,35,1056,48,48,21,1184,49,51,18,957,50,34,6,82,252,46,0,,2022-12-04 15:47:40,1,0,24,24,0,0,,100
43,,,base,interview,2022-12-07 14:00:06,6,6,6,5,5,6,4,4,5,5,6,7,6,5,7,7,7,7,5,5,6,6,7,6,7,5,7,7,6,7,7,7,7,6,7,7,7,5,5,6,5,6,7,7,2,7,5,7,7,7,7,7,7,7,6,7,7,6,7,5,6,7,6,6,7,7,6,7,2,6,5,7,7,6,7,7,7,7,1,2,6,7,2,3,5,7,6,3,3,7,6,19,2,1,7,7,2,1,3,2,1,2,2,1,6,7,6,7,Wie viel Schaden ich bekommen habe.,Die information von wo ich angeschossen wurde war hilfreich.,Das ich mich zurückziehen muss. ,das ich einmal getroffen wurde was gut passte weil ich so direkt registrieren konnte wie oft ich getroffen wurde.,4,Auffz,Das auditive feedback könnte einen etwas härteren ton benutzen. Es hat sehr viel spaß gemacht.,40,56,81,142,34,1072,80,73,43,1276,127,57,15,833,51,42,12,957,62,56,11,104,165,47,0,,2022-12-07 15:30:43,1,0,24,24,0,0,,100
58,,,CDAB,interview,2022-12-09 12:03:14,4,5,1,1,3,6,3,4,5,3,1,7,4,3,5,5,6,5,1,1,1,2,3,5,3,4,5,3,1,7,5,6,7,5,7,5,6,1,2,5,1,1,1,6,2,4,5,5,4,2,7,7,6,7,6,7,5,5,7,1,1,2,2,1,1,1,1,5,2,5,5,5,6,1,7,7,6,7,5,6,2,6,1,5,6,3,6,2,1,4,3,25,2,2,7,7,6,1,2,1,1,2,2,1,3,7,5,4,Ich wurde angeschossen<br>,Von wo wurde ich angeschossen,ich wurde zu viel angegriffen,Ich wurde angeschossen,6,YICWD,Sehr cooles Prinzip<br>Hätte nicht gedacht das Kälte so gut dazu passt<br>Hätte es cool gefunden wenn der Rückstoss der Waffe auch durch die Weste simuliert worden wäre,39,36,41,141,48,864,72,57,17,751,38,43,15,94,882,27,48,18,815,23,43,11,83,84,0,,2022-12-09 13:14:44,1,0,24,24,0,0,,100
59,,,DABC,interview,2022-12-09 13:23:34,6,6,5,6,3,7,1,5,5,5,6,7,7,6,6,5,6,6,5,5,6,5,1,7,3,5,6,5,5,6,7,7,7,5,5,6,6,5,5,6,4,4,6,5,7,3,5,7,6,5,6,6,7,6,6,7,5,5,6,1,5,6,1,1,1,4,1,1,6,5,4,6,5,2,6,7,7,7,5,6,3,1,6,1,7,6,6,1,1,6,3,21,2,2,7,7,7,5,1,1,1,2,1,1,5,7,6,4, -Wenn ich Schaden bekommen habe<br>-Wenn ich kein Armor hatte, -Wo sind die Gegner, -Wenn ich zu viele Schaden bekommen habe, -Auditives Feedback war (im Vergleich zu andere Feedbacks) nicht Merkbar<br>-Die auditive Feedbacks haben in Chaos verschwunden,7,hnkgs,,74,30,34,160,39,814,135,66,15,96,839,52,43,16,803,58,56,15,750,59,51,22,245,24,0,,2022-12-09 14:38:30,1,0,24,24,1,1,,100
60,,,DABC,interview,2022-12-09 15:04:54,3,2,1,1,2,6,3,1,6,2,1,7,3,1,3,3,6,5,1,2,1,1,5,5,6,1,4,5,6,7,5,5,5,2,5,6,6,1,3,2,1,1,1,6,4,6,1,4,5,4,7,5,5,6,5,3,7,6,6,2,6,2,3,1,1,1,1,5,6,7,1,5,6,5,7,6,6,6,3,5,6,5,6,7,7,7,6,1,1,7,5,22,2,2,7,7,5,4,3,1,2,2,2,1,4,6,7,6,Grobe Richtung der Schadensquelle<br>Stärke des Schadens (bezogen auf Rüstungsstatus)<br>,Genaue Richtung der Schadensquelle<br><br>Ob ich getasert werde<br><br>Wie häufig ich getroffen wurde,Ob ich viel Schaden erlitten habe,Ob meine Rüstung intakt ist oder nicht<br>Welche Gegner sich in meiner Umgebung befinden<br>ungefähre Position der Gegner,5,TWKFM,Mit der Weste getasert zu werden ist sehr intensiv<br><br>Die Weste allgemein war anfangs ungewohnt und unangenehm. Jedoch habe ich mich im Laufe der Versuche mehr daran gewöhnt und konnte diese verwenden um die Position von Gegnern bzw. Schadensquellen zu orten.<br><br>Die Thermal Pads sind sehr angenehm und haben keine Eingewöhnungszeit benötigt.<br><br>Der ""fleischige"" Schadenssound ist auch sehr präsent und bietet hilfreiche Informationen.,147,114,37,150,42,995,191,119,18,64,882,90,73,20,847,55,39,10,18,858,51,12,155,101,0,,2022-12-09 16:29:42,1,0,24,24,0,0,,100
61,,,BCDA,interview,2022-12-12 14:44:02,4,3,2,3,1,6,5,2,3,2,2,7,4,5,5,5,3,5,4,6,2,3,3,6,6,5,5,3,6,7,5,6,6,5,4,4,6,6,5,6,2,4,5,5,6,6,5,5,6,6,7,6,7,6,5,4,4,5,6,4,5,6,4,3,5,6,4,4,6,6,4,5,5,3,7,6,6,6,2,3,3,5,3,6,4,5,4,6,4,5,3,19,2,2,5,2,1,1,2,1,1,2,2,1,5,6,6,2,Ungefähre Anzahl der Gegner und wellche Art von Gegnern,Wann ich angeschossen werde wieviele Schüsse mich treffen und ungefähr aus welcher Richtung,Signal wenn ich zu viel Schaden erleide,Wenn ich angeschossen werde,4,LNLQI,,20,30,48,144,33,1374,110,85,30,1749,63,54,13,1206,72,78,25,135,880,24,39,27,340,108,0,,2022-12-12 16:35:29,1,0,24,24,1,1,,100
63,,,BCDA,interview,2022-12-15 13:12:05,4,3,1,1,2,6,1,2,2,1,1,1,5,3,5,3,5,6,1,1,1,2,4,5,2,6,4,4,5,7,6,6,7,3,5,2,6,1,1,1,1,2,3,6,3,5,6,4,4,6,1,6,6,6,3,5,4,2,6,1,2,2,4,1,2,4,5,6,2,5,6,4,4,5,1,4,5,4,1,3,5,7,5,2,5,6,5,7,6,5,4,20,2,2,7,6,1,1,2,1,1,2,2,1,6,5,1,1,Wie viele Gegner von wo ob ich getroffen worden bin ,Richtung der Gegner wenn ich sie nicht schon gesehen habe,das ich viele treffer ab Bekommen habe ,das ich getroffen wurde,4,ZEGFW,Eine normale Runde zum start hatte mich nicht so überfordert in der ersten Rund mit der Weste.,36,38,51,124,91,1283,88,74,30,1095,60,63,24,938,74,43,25,141,1039,20,51,20,257,83,0,,2022-12-15 14:47:53,1,0,24,24,0,0,,100
64,,,CDAB,interview,2022-12-16 11:36:49,1,2,1,1,2,7,2,2,1,1,1,7,4,3,4,1,3,4,1,2,1,2,5,6,6,2,2,2,2,7,5,5,7,4,3,6,5,1,4,6,1,2,5,6,6,7,3,5,4,6,7,7,6,7,1,2,6,2,6,1,3,6,2,1,2,6,1,6,7,7,2,6,4,5,7,7,6,7,3,2,5,4,1,7,6,6,6,2,4,6,7,26,2,2,7,7,7,4,2,1,1,2,2,1,2,7,7,3,Nur um zu wissen wo ich hin muss und wenn ich Gegner sehe / von wo ungefähr die auf mich schießen,Dadurch konnte ich sehr gut wissen von wo ich angeschossen werde und drehte mich dementsprechend zielorientiert um!<br>Bei zu vielen Vibrationen wusste ich dass ich wieder in Deckung gehen sollte.,Das thermische Feedback war das spieleingreifenste Feedback! Ich konnte dadurch sehr gut einschätzen wenn ich zu lange nicht in Deckung und dadurch zu sehr unter beschuss war.,Leider merkte ich keinen Unterschied (vielleicht lag es auch an der Hintergrundmusik die dieses Feedback stark unterdrückte),6,EASVA,Weste: Die Sensoren fühlen sich mehr wie eine leichte Massage an (gerne etwas intensiver). Bei Taser-Schüssen könnte man einen unterschiedlichen Vibrationsstil verwenden (anstatt auf ""Dauervibration"") - genau wie bei Sniper-Schüssen etc. (unterschiedliche Waffen können gerne einen unterschiedlichen Vibrationsstil haben. Zu Orientierung war die Weste sehr gut. Ich könnte mir aber (denke das ist dann auch eher spielabhängig) noch mehr Vibratoren die dann zwar was kleiner sind aber dafür punktueller vorstellen.<br><br>Audio: prägendere Sounds für die Schüsse und Körpereinschläge (könnte aber auch an der Musik gelegen haben),567,77,48,164,34,59,1657,50,20,840,75,55,13,127,818,27,30,24,785,29,49,18,369,354,0,,2022-12-16 13:21:38,1,0,24,24,0,0,,100
65,,,DABC,interview,2022-12-16 13:24:52,5,3,2,1,3,5,6,3,4,2,3,7,4,3,4,4,7,6,3,6,1,2,2,6,5,3,6,6,5,7,6,7,6,3,6,7,6,3,5,6,1,2,4,4,5,6,2,6,7,4,7,6,6,6,6,7,6,6,7,6,6,7,5,1,2,3,1,6,3,6,4,6,6,6,7,7,7,5,3,5,3,6,2,3,6,7,3,6,7,7,3,24,2,2,7,5,2,1,1,1,1,2,1,1,2,7,6,2,Wenig sie sind mir kaum aufgefallen. ,Viele vorallem der Taser war sehr eindeutig. Die Schüsse waren teils sehr gut spührbar in einigen Fällen habe ich nur durch die Weste gemerkt wenn ich von hinten angregriffen wurde z.b. beim interagieren. Wenn viele schüsse kommen kann man es nicht mehr genau zuordnen merkt aber dass man viel getroffen wir und weg sollte.,Das Feedback war am stärksten was sinn macht weil es erst kommt wenn man viel getroffen wird. Das heißt sobald das feedback kommt sucht man schnell deckung. Das unterstützt die Weste zusätzlich auch wenn diese schon reicht um viele treffer zu merken.,Kaum ich habe es nicht wirklich wahr genommen weil alle anderen Feedbacks deutlich stärker waren. Außerdem passiert so viel dass ich genrell überreizt war sodass das Audio unter gegangen ist.,3,atpqp,,95,34,36,129,41,28,1457,62,59,105,1050,14,44,27,849,38,57,11,896,166,75,46,404,245,0,,2022-12-16 15:04:20,1,0,24,24,1,1,,100
